actual_load_g,method,metric,unit,mean,sd,n_captures
0.0,LINEAR,mean,g,75.26649248529655,,1
0.0,LINEAR,bias_g,g,75.26649248529655,,1
0.0,LINEAR,mae_g,g,75.26649248529655,,1
0.0,LINEAR,rmse_g,g,247.20286264998276,,1
0.0,LINEAR,std,g,235.4659432090064,,1
0.0,LINEAR,cv_percent,%,312.8429868776004,,1
0.0,LINEAR,mad,g,0.0,,1
0.0,LINEAR,variance,g^2,55444.21041130703,,1
0.0,LINEAR,iqr,g,11.955982599805019,,1
0.0,LINEAR,mean_estimate_absolute_percentage_error,%,,,0
0.0,GAMMA,mean,g,1.9730773934210568,,1
0.0,GAMMA,bias_g,g,1.9730773934210568,,1
0.0,GAMMA,mae_g,g,1.9730773934210568,,1
0.0,GAMMA,rmse_g,g,26.029584184497338,,1
0.0,GAMMA,std,g,25.954695498452768,,1
0.0,GAMMA,cv_percent,%,1315.4423432651438,,1
0.0,GAMMA,mad,g,0.0,,1
0.0,GAMMA,variance,g^2,673.6462184174044,,1
0.0,GAMMA,iqr,g,1.6631233788705586e-07,,1
0.0,GAMMA,mean_estimate_absolute_percentage_error,%,,,0
0.0,FIT_PRESS,mean,g,94.79964805594832,,1
0.0,FIT_PRESS,bias_g,g,94.79964805594832,,1
0.0,FIT_PRESS,mae_g,g,94.79964805594832,,1
0.0,FIT_PRESS,rmse_g,g,243.54844392047974,,1
0.0,FIT_PRESS,std,g,224.34097098959745,,1
0.0,FIT_PRESS,cv_percent,%,236.64747242225747,,1
0.0,FIT_PRESS,mad,g,36.5,,1
0.0,FIT_PRESS,variance,g^2,50328.871264555404,,1
0.0,FIT_PRESS,iqr,g,71.72365056368358,,1
0.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,,,0
70.0,LINEAR,mean,g,313.88515513535185,,1
70.0,LINEAR,bias_g,g,243.88515513535182,,1
70.0,LINEAR,mae_g,g,319.65404898985497,,1
70.0,LINEAR,rmse_g,g,618.3467843090818,,1
70.0,LINEAR,std,g,568.218951435085,,1
70.0,LINEAR,cv_percent,%,181.02766000197133,,1
