source,actual_load_g,row,column,raw_adc,common_valid,status,quality_flags,linear_g,gamma_g,fit_g,global_lut_g
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,1,1.5,True,ok,FULL_UNSTABLE,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,2,2.5,True,ok,FULL_UNSTABLE,8.631851532153647,4.441256278890735e-08,83.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,3,3.0,True,ok,FULL_UNSTABLE,0.0,0.0,36.5,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,4,5.0,True,ok,FULL_UNSTABLE,10.855405992184108,1.1108982172543042e-07,0.5721003134796239,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,5,8.0,True,ok,FULL_UNSTABLE,17.316017316017316,7.192535808575979e-07,1.0656934306569343,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,6,8.0,True,ok,FULL_UNSTABLE,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,7,4.0,True,ok,FULL_UNSTABLE,4.273504273504273,2.6682502411657957e-09,0.2973523421588595,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,8,3.0,True,ok,FULL_UNSTABLE,12.5997480050399,2.016217705744554e-07,54.75,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,9,8.0,True,ok,FULL_UNSTABLE,4.2517006802721085,2.6142114793931797e-09,0.2908366533864542,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,10,8.0,True,ok,FULL_UNSTABLE,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,11,9.0,True,ok,FULL_UNSTABLE,10.738831615120276,1.0639424027555138e-07,0.7866379310344828,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,12,13.0,True,ok,FULL_UNSTABLE,21.645021645021647,1.7559901876406196e-06,1.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,13,2.0,True,ok,FULL_UNSTABLE,0.0,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,14,12.0,True,ok,FULL_UNSTABLE,30.381944444444446,6.8163557434896026e-06,1.6976744186046513,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_0g_20260907_090552_136850\view_distribution_capture.json,0.0,1,15,14.0,True,ok,FULL_UNSTABLE,47.53673292999135,4.085143428882943e-05,2.3898809523809526,0.0
