actual_load_g,record_count,LINEAR_unit,LINEAR_valid_count_min,LINEAR_valid_count_max,LINEAR_excluded_count_total,LINEAR_mean,LINEAR_mean_sd,LINEAR_mean_n,LINEAR_std,LINEAR_std_sd,LINEAR_std_n,LINEAR_cv_percent,LINEAR_cv_percent_sd,LINEAR_cv_percent_n,LINEAR_iqr,LINEAR_iqr_sd,LINEAR_iqr_n,LINEAR_mad,LINEAR_mad_sd,LINEAR_mad_n,LINEAR_variance,LINEAR_variance_sd,LINEAR_variance_n,GAMMA_unit,GAMMA_valid_count_min,GAMMA_valid_count_max,GAMMA_excluded_count_total,GAMMA_mean,GAMMA_mean_sd,GAMMA_mean_n,GAMMA_std,GAMMA_std_sd,GAMMA_std_n,GAMMA_cv_percent,GAMMA_cv_percent_sd,GAMMA_cv_percent_n,GAMMA_iqr,GAMMA_iqr_sd,GAMMA_iqr_n,GAMMA_mad,GAMMA_mad_sd,GAMMA_mad_n,GAMMA_variance,GAMMA_variance_sd,GAMMA_variance_n,FIT_PRESS_unit,FIT_PRESS_valid_count_min,FIT_PRESS_valid_count_max,FIT_PRESS_excluded_count_total,FIT_PRESS_mean,FIT_PRESS_mean_sd,FIT_PRESS_mean_n,FIT_PRESS_std,FIT_PRESS_std_sd,FIT_PRESS_std_n,FIT_PRESS_cv_percent,FIT_PRESS_cv_percent_sd,FIT_PRESS_cv_percent_n,FIT_PRESS_iqr,FIT_PRESS_iqr_sd,FIT_PRESS_iqr_n,FIT_PRESS_mad,FIT_PRESS_mad_sd,FIT_PRESS_mad_n,FIT_PRESS_variance,FIT_PRESS_variance_sd,FIT_PRESS_variance_n
0.0,1,g (variance: g^2; CV: %),255,255,1,75.26649248529655,,1,235.4659432090064,,1,312.8429868776004,,1,11.955982599805019,,1,0.0,,1,55444.21041130703,,1,g (variance: g^2; CV: %),255,255,1,1.9730773934210568,,1,25.954695498452768,,1,1315.4423432651438,,1,1.6631233788705586e-07,,1,0.0,,1,673.6462184174044,,1,g (variance: g^2; CV: %),255,255,1,94.79964805594832,,1,224.34097098959745,,1,236.64747242225747,,1,71.72365056368358,,1,36.5,,1,50328.871264555404,,1
70.0,1,g (variance: g^2; CV: %),255,255,1,313.88515513535185,,1,568.218951435085,,1,181.02766000197133,,1,468.3600249584027,,1,8.729812309035356,,1,322872.77676998754,,1,g (variance: g^2; CV: %),255,255,1,26.821872502641966,,1,316.01129244955933,,1,1178.1850518394347,,1,0.3849559844060345,,1,4.646325304265065e-08,,1,99863.13695564092,,1,g (variance: g^2; CV: %),255,255,1,115.4261139677729,,1,326.6046579614457,,1,282.9556040088416,,1,71.5,,1,21.10843373493976,,1,106670.60260211294,,1
140.0,1,g (variance: g^2; CV: %),255,255,1,434.4685330221915,,1,555.5272436966748,,1,127.8636314193783,,1,792.3218792467482,,1,238.63636363636365,,1,308610.51848922466,,1,g (variance: g^2; CV: %),255,255,1,25.162177953337903,,1,313.88692513776004,,1,1247.4553105849934,,1,3.154733649863647,,1,0.025943972619698115,,1,98525.00177243778,,1,g (variance: g^2; CV: %),255,255,1,123.23907753647096,,1,320.9000501445927,,1,260.38822795442184,,1,52.989599973295626,,1,27.229458831626943,,1,102976.8421828021,,1
213.0,1,g (variance: g^2; CV: %),255,255,1,764.7529561142534,,1,762.8340302115286,,1,99.74907898199244,,1,1268.4958427316262,,1,606.3677313677314,,1,581915.7576487632,,1,g (variance: g^2; CV: %),255,255,1,47.48644080282016,,1,318.60188540980755,,1,670.9323335744425,,1,22.52331552439748,,1,1.1065671760202618,,1,101507.16138668414,,1,g (variance: g^2; CV: %),255,255,1,172.2511468522794,,1,315.51229134417764,,1,183.16992200624207,,1,84.11792518834866,,1,44.4229384186805,,1,99548.00598925323,,1
284.0,1,g (variance: g^2; CV: %),255,255,1,1052.1842466427854,,1,923.0831161929465,,1,87.73017835405128,,1,1619.033762354866,,1,782.3154967385009,,1,852082.4394004807,,1,g (variance: g^2; CV: %),255,255,1,91.4215820654541,,1,327.2829777442089,,1,357.99312410704914,,1,68.96862266375467,,1,8.044137826358178,,1,107114.14752111633,,1,g (variance: g^2; CV: %),255,255,1,229.0175997313706,,1,246.68303445885368,,1,107.713570812114,,1,110.35778165816862,,1,52.49690916075858,,1,60852.519489827995,,1
352.0,1,g (variance: g^2; CV: %),255,255,1,1408.9856359335452,,1,1038.5448192131846,,1,73.70868749311846,,1,1643.0474304768518,,1,767.902489983941,,1,1078575.3415145462,,1,g (variance: g^2; CV: %),255,255,1,171.7635456991026,,1,358.0305887853022,,1,208.44387400601545,,1,171.36458201580473,,1,32.70443306130788,,1,128185.90250595016,,1,g (variance: g^2; CV: %),255,255,1,277.3705640579585,,1,104.9750373967653,,1,37.846495266466,,1,112.893023255814,,1,46.78031496062988,,1,11019.758476452274,,1
421.0,1,g (variance: g^2; CV: %),255,255,1,1713.7861357010875,,1,1144.7349280245635,,1,66.79566978503227,,1,1797.6923417924409,,1,853.0077066729793,,1,1310418.0554394026,,1,g (variance: g^2; CV: %),255,255,1,283.82180498283594,,1,478.8746931999504,,1,168.72371494815567,,1,355.9214991731348,,1,82.42486941649219,,1,229320.9717873466,,1,g (variance: g^2; CV: %),255,255,1,336.93644648229036,,1,104.5890283172055,,1,31.04117390954403,,1,128.08099977881,,1,57.355001805706024,,1,10938.864844337215,,1
489.0,1,g (variance: g^2; CV: %),255,255,1,1994.7860867975462,,1,1108.681264016322,,1,55.57895512476791,,1,1524.4962555777497,,1,723.2032080822407,,1,1229174.1451808296,,1,g (variance: g^2; CV: %),255,255,1,377.7649899375221,,1,605.1706620509735,,1,160.19765678949278,,1,498.96596765788075,,1,133.79802814574967,,1,366231.5302072136,,1,g (variance: g^2; CV: %),255,255,1,378.7939201809686,,1,119.66473498914121,,1,31.590986183720016,,1,146.40696392413258,,1,65.92709529276698,,1,14319.648800021396,,1
560.0,1,g (variance: g^2; CV: %),255,255,1,2278.325529077798,,1,1115.4244574050083,,1,48.95808097521958,,1,1521.0426291509157,,1,766.734217385806,,1,1244171.7201772572,,1,g (variance: g^2; CV: %),255,255,1,532.1631137242861,,1,752.887528661945,,1,141.47683468569306,,1,680.8123540047359,,1,226.8251081695553,,1,566839.6308146911,,1,g (variance: g^2; CV: %),255,255,1,448.5195827717942,,1,171.00259901182645,,1,38.126005102174595,,1,144.28449508607918,,1,62.029239766081844,,1,29241.888868799506,,1
630.0,1,g (variance: g^2; CV: %),255,255,1,2547.5174952906773,,1,1134.9912487291167,,1,44.5528343113346,,1,1493.460432258497,,1,771.7049082533333,,1,1288205.1346916796,,1,g (variance: g^2; CV: %),255,255,1,731.9354325927682,,1,940.3626551204375,,1,128.47617607325662,,1,908.3596032389474,,1,359.48969000890105,,1,884281.9231451588,,1,g (variance: g^2; CV: %),255,255,1,517.7383467109906,,1,238.0176341101506,,1,45.9725719800731,,1,153.88506501625415,,1,85.96909817111623,,1,56652.39414739353,,1
