source,actual_load_g,row,column,raw_adc,common_valid,status,quality_flags,linear_g,gamma_g,fit_g
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,1,409.0,True,ok,FULL_UNSTABLE,1772.1518987341772,78.90304515669685,375.4867256637168
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,2,659.0,True,ok,FULL_UNSTABLE,2842.0371169615883,521.9260445091055,421.22033898305085
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,3,719.0,True,ok,FULL_UNSTABLE,3087.219343696028,726.7079879578552,437.35838150289015
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,4,705.0,True,ok,FULL_UNSTABLE,3050.3690838037346,692.6272108745579,420.0943396226415
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,5,675.0,True,ok,FULL_UNSTABLE,2904.761904761905,569.5503828137455,464.04324324324324
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,6,680.0,True,ok,FULL_UNSTABLE,2916.666666666667,578.9448302469137,467.36538461538464
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,7,820.0,True,ok,FULL_UNSTABLE,3491.4529914529912,1188.816388583494,486.3551401869159
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,8,1225.0,True,ok,FULL_UNSTABLE,5000.0,5000.0,829.7796278158662
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,9,1053.0,True,ok,FULL_UNSTABLE,4447.2789115646265,3129.4459531150083,478.3609022556391
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,10,1024.0,True,ok,FULL_UNSTABLE,4295.9830866807615,2724.835184471931,431.44086021505376
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,11,880.0,True,ok,FULL_UNSTABLE,3752.147766323024,1585.6587205667854,433.1653543307087
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,12,874.0,True,ok,FULL_UNSTABLE,3748.9177489177487,1580.205741752098,477.7260273972603
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,13,647.0,True,ok,FULL_UNSTABLE,2810.999563509384,499.4972478479177,542.4745762711865
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,14,720.0,True,ok,FULL_UNSTABLE,3103.298611111111,741.9664282286435,476.18446601941747
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,15,764.0,True,ok,FULL_UNSTABLE,3288.677614520311,935.7830955397177,500.65
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,1,16,332.0,True,ok,FULL_UNSTABLE,1456.4831261101244,36.00077226941696,583.790523690773
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,2,1,551.0,True,ok,,1923.2111692844678,109.44549181488944,256.7881773399015
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,2,2,851.5,True,ok,FULL_UNSTABLE,2982.7343199436223,633.2107398355186,355.0153846153846
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,2,3,947.0,True,ok,,3303.0090972708185,952.2019496489709,340.0851063829787
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,2,4,1044.0,True,ok,FULL_UNSTABLE,3641.304347826087,1406.4293010361243,292.3783783783784
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,2,5,847.0,True,ok,,2597.2104818258663,364.0144088212486,408.2758620689655
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,2,6,845.5,True,ok,,2422.153024911032,275.3571105609409,414.7979797979798
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,2,7,952.0,True,ok,FULL_UNSTABLE,3028.2861896838604,672.7870925659051,452.74311926605503
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,2,8,1267.0,True,ok,,4365.256124721604,2904.884761874231,528.8404255319149
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,2,9,1200.0,True,ok,FULL_UNSTABLE,3996.69011170873,2041.2297578558932,455.7401129943503
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_489g_20260907_090759_665929\view_distribution_capture.json,489.0,2,10,1140.0,True,ok,ZERO_UNSTABLE,3312.5707814269535,963.2758100723454,434.6608695652174
