row,column,method,adc_rmse,adc_r2,pressure_rmse,pressure_r2,lut_points,plateau_count,measured_adc_min,measured_adc_max
1,1,isotonic+pchip+lut,13.643388,0.998729,693.038402,0.596625,21,1,3.000,1239.000
1,2,isotonic+pchip+lut,13.643388,0.998761,632.074047,0.664470,21,1,0.500,1249.500
1,3,isotonic+pchip+lut,13.571360,0.998515,670.247230,0.622719,20,2,2.000,1252.000
1,4,isotonic+pchip+lut,13.718766,0.998111,654.187780,0.640582,21,1,2.500,1245.000
1,5,isotonic+pchip+lut,12.663476,0.998483,604.747857,0.692855,21,1,4.000,1243.000
1,6,isotonic+pchip+lut,14.698678,0.998104,697.061872,0.591927,21,1,8.000,1257.500
1,7,isotonic+pchip+lut,15.226323,0.998094,736.681199,0.544221,21,1,3.000,1274.000
1,8,isotonic+pchip+lut,18.200994,0.997711,1358.596028,-0.550156,10,12,0.000,1304.000
1,9,isotonic+pchip+lut,17.136816,0.997724,904.266463,0.313267,18,4,7.000,1296.500
1,10,isotonic+pchip+lut,16.973576,0.997247,826.108755,0.426849,20,2,8.000,1303.000
1,11,isotonic+pchip+lut,14.547922,0.997847,713.169761,0.572850,21,1,6.500,1267.000
1,12,isotonic+pchip+lut,13.115743,0.997954,694.729131,0.594654,21,1,8.000,1250.000
1,13,isotonic+pchip+lut,27.705910,0.995875,684.602314,0.606385,15,7,3.000,1217.000
1,14,isotonic+pchip+lut,11.306675,0.998686,537.522885,0.757345,21,1,5.000,1232.000
1,15,isotonic+pchip+lut,9.949874,0.998976,534.682331,0.759903,21,1,3.000,1226.000
1,16,isotonic+pchip+lut,6.523123,0.999719,336.449703,0.904932,18,4,4.000,1144.000
2,1,isotonic+pchip+lut,1.316417,0.999992,612.926452,0.684491,19,3,0.000,1441.000
2,2,isotonic+pchip+lut,3.474747,0.999946,464.081261,0.819123,20,2,3.500,1447.000
2,3,isotonic+pchip+lut,2.487469,0.999965,432.830777,0.842663,21,1,3.000,1448.500
2,4,isotonic+pchip+lut,3.895899,0.999881,446.280798,0.832733,18,4,39.000,1438.500
2,5,isotonic+pchip+lut,3.392003,0.999900,400.954376,0.864984,21,1,232.500,1438.000
2,6,isotonic+pchip+lut,2.713602,0.999941,390.007209,0.872256,21,1,301.000,1443.000
2,7,isotonic+pchip+lut,4.899559,0.999822,699.803872,0.588711,21,1,224.000,1458.500
2,8,isotonic+pchip+lut,15.901389,0.998575,937.326277,0.262136,14,8,15.000,1470.000
2,9,isotonic+pchip+lut,4.408154,0.999861,942.285198,0.254308,17,5,234.000,1471.000
2,10,isotonic+pchip+lut,4.377975,0.999775,957.671331,0.229757,17,5,555.000,1466.000
2,11,isotonic+pchip+lut,4.371914,0.999808,501.973077,0.788380,21,1,312.000,1452.000
2,12,isotonic+pchip+lut,2.159808,0.999920,392.411806,0.870676,20,2,481.000,1438.000
2,13,isotonic+pchip+lut,48.477658,0.991810,95.002638,0.992420,15,7,16.000,1411.000
2,14,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,330.000,1418.000
2,15,isotonic+pchip+lut,0.075378,1.000000,303.730476,0.922523,21,1,374.000,1426.500
2,16,isotonic+pchip+lut,11.971937,0.999350,66.410051,0.996296,18,4,127.500,1415.500
3,1,isotonic+pchip+lut,1.107823,0.999995,503.422770,0.787156,18,4,2.000,1439.000
3,2,isotonic+pchip+lut,3.365095,0.999949,457.658105,0.824095,20,2,0.000,1444.500
3,3,isotonic+pchip+lut,2.412091,0.999967,418.538969,0.852882,21,1,2.000,1449.000
3,4,isotonic+pchip+lut,2.745175,0.999940,400.676365,0.865171,19,3,40.000,1434.500
3,5,isotonic+pchip+lut,2.864358,0.999929,393.878028,0.869708,21,1,230.000,1434.000
3,6,isotonic+pchip+lut,2.412091,0.999952,377.208793,0.880503,21,1,299.500,1440.000
3,7,isotonic+pchip+lut,4.145781,0.999872,673.277343,0.619300,21,1,224.000,1455.500
3,8,isotonic+pchip+lut,16.503845,0.998471,908.432267,0.306925,16,6,7.000,1467.500
3,9,isotonic+pchip+lut,4.632723,0.999845,946.837789,0.247085,18,4,233.000,1470.500
3,10,isotonic+pchip+lut,4.338975,0.999780,960.081174,0.225876,17,5,559.000,1465.000
