quantity,load,N,n_combinations,mean,sample_sd
current_mA,ZERO,1,4,18.289499999999997,0.18173515528555928
current_mA,ZERO,2,6,36.252500000000005,0.27625549768285085
current_mA,ZERO,3,4,54.426,0.34572339618062603
current_mA,ZERO,4,1,72.513,
current_mA,MAX,1,4,20.005499999999998,0.2850806903317022
current_mA,MAX,2,6,39.629,0.3148682264059053
current_mA,MAX,3,4,58.84925,0.482343152399478
current_mA,MAX,4,1,78.72,
power_mW,ZERO,1,4,59.998745,0.6015853986204546
power_mW,ZERO,2,6,118.87180916666667,0.8847024142461495
power_mW,ZERO,3,4,178.31311574999998,1.1188884792401173
power_mW,ZERO,4,1,237.407562,
power_mW,MAX,1,4,65.6329605,0.92741606030465
power_mW,MAX,2,6,129.89057283333332,1.0201667241819656
power_mW,MAX,3,4,192.76091549999998,1.612005473411824
power_mW,MAX,4,1,257.65056,
