combo,N,module_id,load,module_main_V,module_min_V,module_max_V,source_main_V
M0,1,M0,ZERO,3.252,3.252,3.252,3.28
M0,1,M0,MAX,3.249,3.249,3.25,3.281
M1,1,M1,ZERO,3.255,3.255,3.255,3.281
M1,1,M1,MAX,3.25,3.249,3.25,3.281
M2,1,M2,ZERO,3.249,3.249,3.249,3.281
M2,1,M2,MAX,3.247,3.247,3.25,3.281
M3,1,M3,ZERO,3.251,3.25,3.251,3.28
M3,1,M3,MAX,3.248,3.248,3.248,3.28
M0-M1,2,M0,ZERO,3.251,3.251,3.251,3.281
M0-M1,2,M1,ZERO,3.252,3.252,3.252,3.281
M0-M1,2,M0,MAX,3.241,3.241,3.242,3.278
M0-M1,2,M1,MAX,3.248,3.248,3.248,3.278
M0-M2,2,M0,ZERO,3.251,3.251,3.251,3.279
M0-M2,2,M2,ZERO,3.248,3.248,3.248,3.279
M0-M2,2,M0,MAX,3.24,3.24,3.241,3.278
M0-M2,2,M2,MAX,3.241,3.241,3.242,3.278
M0-M3,2,M0,ZERO,3.25,3.25,3.25,3.279
M0-M3,2,M3,ZERO,3.241,3.241,3.242,3.279
M0-M3,2,M0,MAX,3.241,3.241,3.241,3.278
M0-M3,2,M3,MAX,3.244,3.244,3.244,3.278
M1-M2,2,M1,ZERO,3.252,3.252,3.252,3.278
M1-M2,2,M2,ZERO,3.247,3.247,3.247,3.278
M1-M2,2,M1,MAX,3.251,3.251,3.251,3.277
M1-M2,2,M2,MAX,3.244,3.244,3.244,3.277
M1-M3,2,M1,ZERO,3.248,3.247,3.248,3.278
M1-M3,2,M3,ZERO,3.245,3.245,3.245,3.278
M1-M3,2,M1,MAX,3.25,3.249,3.25,3.277
M1-M3,2,M3,MAX,3.246,3.246,3.246,3.277
M2-M3,2,M2,ZERO,3.248,3.248,3.248,3.279
M2-M3,2,M3,ZERO,3.248,3.248,3.248,3.279
M2-M3,2,M2,MAX,3.245,3.244,3.245,3.278
M2-M3,2,M3,MAX,3.246,3.245,3.246,3.278
M0-M1-M2,3,M0,ZERO,3.241,3.241,3.241,3.276
M0-M1-M2,3,M1,ZERO,3.25,3.249,3.25,3.276
M0-M1-M2,3,M2,ZERO,3.246,3.245,3.246,3.276
M0-M1-M2,3,M0,MAX,3.237,3.237,3.237,3.276
M0-M1-M2,3,M1,MAX,3.246,3.246,3.246,3.276
M0-M1-M2,3,M2,MAX,3.242,3.242,3.243,3.276
M0-M1-M3,3,M0,ZERO,3.241,3.241,3.241,3.277
M0-M1-M3,3,M1,ZERO,3.248,3.247,3.248,3.277
M0-M1-M3,3,M3,ZERO,3.249,3.249,3.249,3.277
M0-M1-M3,3,M0,MAX,3.239,3.239,3.24,3.275
M0-M1-M3,3,M1,MAX,3.248,3.248,3.248,3.275
M0-M1-M3,3,M3,MAX,3.243,3.243,3.243,3.275
M0-M2-M3,3,M0,ZERO,3.241,3.241,3.241,3.276
M0-M2-M3,3,M2,ZERO,3.242,3.242,3.242,3.276
M0-M2-M3,3,M3,ZERO,3.244,3.244,3.244,3.276
M0-M2-M3,3,M0,MAX,3.24,3.24,3.24,3.275
M0-M2-M3,3,M2,MAX,3.242,3.242,3.242,3.275
M0-M2-M3,3,M3,MAX,3.243,3.243,3.244,3.275
M1-M2-M3,3,M1,ZERO,3.249,3.248,3.249,3.276
M1-M2-M3,3,M2,ZERO,3.245,3.245,3.246,3.276
M1-M2-M3,3,M3,ZERO,3.249,3.248,3.249,3.276
M1-M2-M3,3,M1,MAX,3.249,3.249,3.249,3.276
M1-M2-M3,3,M2,MAX,3.243,3.243,3.243,3.276
M1-M2-M3,3,M3,MAX,3.243,3.243,3.244,3.276
M0-M1-M2-M3,4,M0,ZERO,3.24,3.24,3.24,3.274
M0-M1-M2-M3,4,M1,ZERO,3.245,3.244,3.245,3.274
M0-M1-M2-M3,4,M2,ZERO,3.243,3.243,3.243,3.274
M0-M1-M2-M3,4,M3,ZERO,3.248,3.248,3.249,3.274
M0-M1-M2-M3,4,M0,MAX,3.237,3.236,3.239,3.273
M0-M1-M2-M3,4,M1,MAX,3.245,3.244,3.245,3.273
M0-M1-M2-M3,4,M2,MAX,3.24,3.24,3.24,3.273
M0-M1-M2-M3,4,M3,MAX,3.242,3.24,3.242,3.273
