group,run_id,scope,metadata_condition,actual_condition,actual_condition_source,actual_load_protocol,slots,N,M,target_Hz,threshold,metadata_load_layers,batch_id,repeat,block,independent_setup_n,summary_status,summary_review_reasons,independent_raw_status,duration_s,valid_outer_packets,valid_USB_bytes,rate_Hz,Lmean_B,valid_USB_Mbit_s,raw_arrival_Mbit_s,ESKD_count,ESKF_count,q_ESKF,q_ESKF_pct,K_ESKD_mean,K_ESKD_median,K_ESKD_p25,K_ESKD_p75,K_ESKD_IQR,K_ESKD_max,K1_ESKD_mean,K2_ESKD_mean,matched_FULL_packet_B,equal_rate_FULL_USB_saving_pct,FULL_USB_at_same_actual_rate_Mbit_s,model_byte_identity_pass,initial_unanchored_delta,missing_valid_expected_updates,known_start_boundary_bytes,unassigned_raw_bytes,session_observed_counters
rolling,20260907_053858_001637,main,zero_load,rolling,user_confirmation,rolling,M1,1,4,200,8,unspecified,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,1,1,not_established,PASS,[],PASS: audited main window,30.000817799998913,6010,2072490,200.3278723955391,344.8402662229617,0.5526489347900576,0.5526489347900577,5980,30,0.004991680532445923,0.49916805324459235,108.56605351170569,126.0,67.0,155.0,88.0,245,107.86789297658864,0.6981605351170569,1084,68.18816732260501,1.737243309414115,True,0,0,0,1,"{""candidate_packets"": 6010, ""valid_packets"": 6010, ""outer_crc_errors"": 0, ""sequence_gap_events"": 0, ""lost_frames"": 0, ""duplicate_frames"": 0, ""out_of_order_frames"": 0, ""format_errors"": 0, ""inner_crc_errors"": 0, ""delta_base_mismatches"": 0}"
rolling,20260907_053858_001637,full_run,zero_load,rolling,user_confirmation,rolling,M1,1,4,200,8,unspecified,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,1,1,not_established,CHECK REQUIRED,"[""initial_delta_prefix_cache_not_verifiable_from_file"", ""unassigned_raw_bytes_in_full_capture""]",CHECK REQUIRED: initial file anchoring/boundary limits retained,40.00081779999891,8012,2347284,200.29590495022873,292.97104343484773,0.4694472021519648,0.46947440159587217,7972,40,0.004992511233150275,0.4992511233150275,82.50100351229302,93.0,1.0,146.0,145.0,245,81.94405418966382,0.5569493226292022,1084,72.97315097464505,1.7369660877283835,True,195,0,135,1,"{""candidate_packets"": 8013, ""valid_packets"": 8013, ""outer_crc_errors"": 0, ""sequence_gap_events"": 0, ""lost_frames"": 0, ""duplicate_frames"": 0, ""out_of_order_frames"": 0, ""format_errors"": 0, ""inner_crc_errors"": 0, ""delta_base_mismatches"": 0}"
rolling,20260907_053938_027960,main,zero_load,rolling,user_confirmation,rolling,M1,1,4,200,8,unspecified,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,2,1,not_established,PASS,[],PASS: audited main window,30.003481899999315,6011,2193336,200.34341414221453,364.88704042588586,0.5848217236413618,0.5848219902770818,5981,30,0.004990850108135086,0.4990850108135086,118.64002675137937,134.0,75.0,165.0,90.0,250,117.72663434208326,0.9133924092961043,1084,66.33883390905112,1.7373780874412845,True,0,0,0,1,"{""candidate_packets"": 6011, ""valid_packets"": 6011, ""outer_crc_errors"": 0, ""sequence_gap_events"": 0, ""lost_frames"": 0, ""duplicate_frames"": 0, ""out_of_order_frames"": 0, ""format_errors"": 0, ""inner_crc_errors"": 0, ""delta_base_mismatches"": 0}"
rolling,20260907_053938_027960,full_run,zero_load,rolling,user_confirmation,rolling,M1,1,4,200,8,unspecified,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,2,1,not_established,CHECK REQUIRED,"[""initial_delta_prefix_cache_not_verifiable_from_file"", ""unassigned_raw_bytes_in_full_capture""]",CHECK REQUIRED: initial file anchoring/boundary limits retained,40.003481899999315,8019,2699770,200.45755067136136,336.671654819803,0.5399070024452138,0.539985795586468,7979,40,0.004988153136301285,0.4988153136301285,104.46258929690437,109.0,53.0,155.0,102.0,250,103.72866273969169,0.7339265572126833,1084,68.94172926016577,1.7383678794220458,True,182,0,393,1,"{""candidate_packets"": 8020, ""valid_packets"": 8020, ""outer_crc_errors"": 0, ""sequence_gap_events"": 0, ""lost_frames"": 0, ""duplicate_frames"": 0, ""out_of_order_frames"": 0, ""format_errors"": 0, ""inner_crc_errors"": 0, ""delta_base_mismatches"": 0}"
rolling,20260907_054018_056649,main,zero_load,rolling,user_confirmation,rolling,M1,1,4,200,8,unspecified,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,3,1,not_established,PASS,[],PASS: audited main window,30.00060110000777,6012,2184928,200.39598473240068,363.42781104457754,0.5826357925873517,0.5826357925873517,5982,30,0.00499001996007984,0.499001996007984,117.9070544968238,135.0,80.0,163.0,83.0,254,117.0229020394517,0.8841524573721163,1084,66.47344916562939,1.7378339795993787,True,0,0,0,0,"{""candidate_packets"": 6012, ""valid_packets"": 6012, ""outer_crc_errors"": 0, ""sequence_gap_events"": 0, ""lost_frames"": 0, ""duplicate_frames"": 0, ""out_of_order_frames"": 0, ""format_errors"": 0, ""inner_crc_errors"": 0, ""delta_base_mismatches"": 0}"
rolling,20260907_054018_056649,full_run,zero_load,rolling,user_confirmation,rolling,M1,1,4,200,8,unspecified,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,3,1,not_established,CHECK REQUIRED,"[""initial_delta_prefix_cache_not_verifiable_from_file""]",CHECK REQUIRED: initial file anchoring/boundary limits retained,40.00060110000777,8020,2459732,200.49698703148843,306.6997506234414,0.4919390073864709,0.4919640070107891,7980,40,0.004987531172069825,0.4987531172069825,89.4017543859649,103.0,3.0,153.0,150.0,254,88.71203007518797,0.6897243107769424,1084,71.70666507163826,1.7387098715370677,True,162,0,125,0,"{""candidate_packets"": 8021, ""valid_packets"": 8021, ""outer_crc_errors"": 0, ""sequence_gap_events"": 0, ""lost_frames"": 0, ""duplicate_frames"": 0, ""out_of_order_frames"": 0, ""format_errors"": 0, ""inner_crc_errors"": 0, ""delta_base_mismatches"": 0}"
previous_press_release_main_PASS,20260907_051941_159689,main,zero_load,large_area,user_confirmation,repeated_press_release,M1,1,4,200,8,unspecified,BATCH_01a68db283d446ceb790e6516fb50a79,1,1,not_established,PASS,[],PASS: audited main window,30.004190199979348,6012,1335762,200.3720133731234,222.18263473053892,0.3561534548600267,0.35615345486002664,5981,31,0.005156353958749168,0.5156353958749168,46.857883297107506,18.0,1.0,81.0,80.0,314,25.74184918909881,21.116034108008694,1084,79.50344698057759,1.7376260999717261,True,0,0,0,1,"{""candidate_packets"": 6012, ""valid_packets"": 6012, ""outer_crc_errors"": 0, ""sequence_gap_events"": 0, ""lost_frames"": 0, ""duplicate_frames"": 0, ""out_of_order_frames"": 0, ""format_errors"": 0, ""inner_crc_errors"": 0, ""delta_base_mismatches"": 0}"
previous_press_release_main_PASS,20260907_051941_159689,full_run,zero_load,large_area,user_confirmation,repeated_press_release,M1,1,4,200,8,unspecified,BATCH_01a68db283d446ceb790e6516fb50a79,1,1,not_established,CHECK REQUIRED,"[""initial_delta_prefix_cache_not_verifiable_from_file"", ""unassigned_raw_bytes_in_full_capture""]",CHECK REQUIRED: initial file anchoring/boundary limits retained,40.00419019997935,8015,1596682,200.35401191558523,199.21172800998127,0.31930295141948895,0.319327748821837,7974,41,0.005115408608858391,0.511540860885839,35.33120140456484,5.0,0.0,53.0,53.0,314,19.408703285678456,15.92249811888638,1084,81.62253431642239,1.7374699913319551,True,7,0,123,1,"{""candidate_packets"": 8016, ""valid_packets"": 8016, ""outer_crc_errors"": 0, ""sequence_gap_events"": 0, ""lost_frames"": 0, ""duplicate_frames"": 0, ""out_of_order_frames"": 0, ""format_errors"": 0, ""inner_crc_errors"": 0, ""delta_base_mismatches"": 0}"
previous_press_release_main_PASS,20260907_052021_196300,main,zero_load,large_area,user_confirmation,repeated_press_release,M1,1,4,200,8,unspecified,BATCH_01a68db283d446ceb790e6516fb50a79,2,1,not_established,PASS,[],PASS: audited main window,30.000933600007556,6014,1252620,200.4604283380863,208.2840039906884,0.3340216052475605,0.3340216052475606,5984,30,0.004988360492184902,0.49883604921849023,39.94685828877005,15.0,1.0,65.0,64.0,293,20.805648395721924,19.141209893048128,1084,80.78560848794388,1.7383928345478845,True,0,0,0,1,"{""candidate_packets"": 6014, ""valid_packets"": 6014, ""outer_crc_errors"": 0, ""sequence_gap_events"": 0, ""lost_frames"": 0, ""duplicate_frames"": 0, ""out_of_order_frames"": 0, ""format_errors"": 0, ""inner_crc_errors"": 0, ""delta_base_mismatches"": 0}"
previous_press_release_main_PASS,20260907_052021_196300,full_run,zero_load,large_area,user_confirmation,repeated_press_release,M1,1,4,200,8,unspecified,BATCH_01a68db283d446ceb790e6516fb50a79,2,1,not_established,CHECK REQUIRED,"[""initial_delta_prefix_cache_not_verifiable_from_file"", ""unassigned_raw_bytes_in_full_capture""]",CHECK REQUIRED: initial file anchoring/boundary limits retained,40.000933600007556,8021,1515976,200.5203198556967,189.00087270913852,0.30318812358913816,0.30321292301031966,7981,40,0.004986909362922329,0.4986909362922329,30.25761182809172,4.0,0.0,45.0,45.0,293,15.796266132063652,14.461345696028067,1084,82.56449513753334,1.7389122137886017,True,191,0,123,1,"{""candidate_packets"": 8022, ""valid_packets"": 8022, ""outer_crc_errors"": 0, ""sequence_gap_events"": 0, ""lost_frames"": 0, ""duplicate_frames"": 0, ""out_of_order_frames"": 0, ""format_errors"": 0, ""inner_crc_errors"": 0, ""delta_base_mismatches"": 0}"
