run_id,N,modules,slot,batch_id,repeat,main_status,ESKF_count,ESKD_count,K_ESKD,K1_ESKD,K2_ESKD,K_zero_fraction,K_max,q_ESKF,valid_update_rate_Hz,ESKF_PC_interval_mean_s,ESKF_trigger_reason
20260907_013132_404213,1,M0,M0,BATCH_2f989cb36d334ac587213f1a297dc628,1,PASS,30,5974,7.8572145965852025,3.9228322731837966,3.934382323401406,0.012889186474723802,64,0.004996668887408394,200.11774482818532,0.9987621724139899,unknown_without_correlated_firmware_events
20260907_013212_470890,1,M0,M0,BATCH_2f989cb36d334ac587213f1a297dc628,2,PASS,31,5974,8.34650150652829,4.477904251757616,3.868597254770673,0.002343488449949782,56,0.005162364696086595,200.1603362623859,0.9991985799996959,unknown_without_correlated_firmware_events
20260907_013252_522986,1,M0,M0,BATCH_2f989cb36d334ac587213f1a297dc628,3,PASS,30,5973,9.637870416875941,5.738489871086556,3.8993805457893855,0.0003348401138456387,66,0.004997501249375313,200.0932635267464,0.9993535137930002,unknown_without_correlated_firmware_events
20260907_013403_341631,1,M1,M1,BATCH_8bcb3e1a139a4809be4bd491c4a085c4,1,PASS,30,5980,0.7028428093645485,0.438628762541806,0.26421404682274247,0.8190635451505017,59,0.004991680532445923,200.30853914244685,0.9982239586212833,unknown_without_correlated_firmware_events
20260907_013443_415053,1,M1,M1,BATCH_8bcb3e1a139a4809be4bd491c4a085c4,2,PASS,30,5981,0.7286406955358635,0.44306972078247786,0.2855709747533857,0.7923424176559104,61,0.004990850108135086,200.34297610971458,0.9980321689659393,unknown_without_correlated_firmware_events
20260907_013523_479494,1,M1,M1,BATCH_8bcb3e1a139a4809be4bd491c4a085c4,3,PASS,30,5981,0.7018893161678649,0.4286908543721786,0.27319846179568635,0.8232737000501589,61,0.004990850108135086,200.3637186485865,0.9984564862067506,unknown_without_correlated_firmware_events
20260907_013624_365237,1,M2,M2,BATCH_b2fdee22f9b94a5f97759036b00fa981,1,PASS,30,5973,21.222501255650428,21.02611752887996,0.19638372677046712,0.03934371337686255,44,0.004997501249375313,200.09237648044729,0.9990605896545558,unknown_without_correlated_firmware_events
20260907_013704_454625,1,M2,M2,BATCH_b2fdee22f9b94a5f97759036b00fa981,2,PASS,30,5978,20.66744730679157,20.510873201739713,0.15657410505185682,0.027266644362663097,41,0.004993342210386152,200.24915821521606,0.9986023965516481,unknown_without_correlated_firmware_events
20260907_013744_540625,1,M2,M2,BATCH_b2fdee22f9b94a5f97759036b00fa981,3,PASS,30,5975,21.186276150627616,21.017907949790796,0.16836820083682008,0.06175732217573222,42,0.004995836802664446,200.16335996802508,0.9993573724139675,unknown_without_correlated_firmware_events
20260907_013917_548818,1,M3,M3,BATCH_6f194970f8d14e3c94be44510f39fa22,1,PASS,30,5979,2.822545576183308,0.8591737748787422,1.963371801304566,0.12878407760495067,63,0.004992511233150275,200.27816834434825,0.998185600000554,unknown_without_correlated_firmware_events
20260907_013957_653007,1,M3,M3,BATCH_6f194970f8d14e3c94be44510f39fa22,2,PASS,30,5961,2.7270592182519713,0.6160040261701056,2.1110551920818654,0.12833417211877202,45,0.005007511266900351,199.34187567563535,1.006603013792332,unknown_without_correlated_firmware_events
20260907_014038_027023,1,M3,M3,BATCH_6f194970f8d14e3c94be44510f39fa22,3,PASS,30,5982,2.4689067201604815,0.6773654296221999,1.7915412905382815,0.12688064192577733,35,0.00499001996007984,200.38364268330403,0.9982287379308876,unknown_without_correlated_firmware_events
20260907_014203_200469,2,M0_M1,M0,BATCH_dfc2ebbd8db041c5b2d9018b1dee2619,1,PASS,30,5974,6.012387010378306,5.79812520924004,0.21426180113826582,0.0015065282892534316,56,0.004996668887408394,200.13104983794662,0.9991975413787917,unknown_without_correlated_firmware_events
20260907_014203_200469,2,M0_M1,M1,BATCH_dfc2ebbd8db041c5b2d9018b1dee2619,1,PASS,30,5974,1.1079678607298293,0.25845329762303315,0.8495145631067961,0.5667894208235688,15,0.004996668887408394,200.13104983794662,0.9993909275859739,unknown_without_correlated_firmware_events
