N,modules,mode,condition,target_hz,temporal_repeat_n,recorded_repeat_n,eligible_repeat_n,batch_n,batch_id,statistics_scope,statistic_run_ids,rate_Hz_mean,rate_Hz_sample_sd,rate_Hz_known_n,Lmean_B_mean,Lmean_B_sample_sd,Lmean_B_known_n,packet_Mbit_s_mean,packet_Mbit_s_sample_sd,packet_Mbit_s_known_n,raw_arrival_Mbit_s_mean,raw_arrival_Mbit_s_sample_sd,raw_arrival_Mbit_s_known_n,K_ESKD_mean,K_ESKD_sample_sd,K_ESKD_known_n,q_ESKF_mean,q_ESKF_sample_sd,q_ESKF_known_n,q_ESKF_pct_mean,q_ESKF_pct_sample_sd,q_ESKF_pct_known_n,K_effective_mean,K_effective_sample_sd,K_effective_known_n
1,M0,DELTA,zero_load,200,3,3,3,1,BATCH_2f989cb36d334ac587213f1a297dc628,all_recorded,20260907_013132_404213;20260907_013212_470890;20260907_013252_522986,200.12378153910586,0.03394141092522887,3,145.9908069239253,1.8105175128279027,3,0.2337296805227408,0.002876964922231073,3,0.23372985829060247,0.002876994714128254,3,8.61386217332981,0.9199429776884199,3,0.005052178277623434,9.542514509768941e-05,3,0.5052178277623434,0.009542514509768932,3,10.995403461962647,0.9052587564139526,3
1,M1,DELTA,zero_load,200,3,3,3,1,BATCH_8bcb3e1a139a4809be4bd491c4a085c4,all_recorded,20260907_013403_341631;20260907_013443_415053;20260907_013523_479494,200.3384113002493,0.027871537247611974,3,130.20663176854634,0.029988372693007186,3,0.208683118427604,5.851616264707646e-05,3,0.208683118427604,5.851616264707646e-05,3,0.7111242736894257,0.015177155960383546,3,0.004991126916238698,4.79445699403703e-07,3,0.49911269162386984,4.794456994036829e-05,3,3.1033158842731754,0.014994186346500364,3
1,M2,DELTA,zero_load,200,3,3,3,1,BATCH_b2fdee22f9b94a5f97759036b00fa981,all_recorded,20260907_013624_365237;20260907_013704_454625;20260907_013744_540625,200.16829822122946,0.07850743816868146,3,170.63648596491427,0.6197670143189811,3,0.27324788205333894,0.0008953710521551489,3,0.273248059819959,0.0008952956434167673,3,21.02540823768987,0.3105319397351305,3,0.0049955600874753035,2.093282064191777e-06,3,0.49955600874753037,0.00020932820641915333,3,23.31824298245714,0.3098835071594892,3
1,M3,DELTA,zero_load,200,3,3,3,1,BATCH_6f194970f8d14e3c94be44510f39fa22,all_recorded,20260907_013917_548818;20260907_013957_653007;20260907_014038_027023,200.00122890109589,0.573446785664057,3,134.1157764209261,0.36761285332652976,3,0.2145861496383992,0.0006789447687939452,3,0.21458632739923314,0.0006790465835267335,3,2.67283717153192,0.1829484432433545,3,0.004996680820043489,9.46179394815563e-06,3,0.49966808200434887,0.0009461793948155607,3,5.0578882104630445,0.18380642666326333,3
2,M0_M1,DELTA,zero_load,200,3,3,3,1,BATCH_dfc2ebbd8db041c5b2d9018b1dee2619,all_recorded,20260907_014203_200469;20260907_014243_220995;20260907_014323_266112,200.11936466853496,0.018000636243325333,3,233.43982664822744,2.3750071279410174,3,0.3737264107897375,0.0037685394512696787,3,0.37372658856472185,0.003768633650266167,3,3.9813170351654796,0.5965059500016204,3,0.004996946341397367,4.805644056635064e-07,3,0.4996946341397367,4.805644056634063e-05,3,6.359956662056861,0.5937517819852578,3
2,M0_M2,DELTA,zero_load,200,3,3,3,1,BATCH_7f9647ea41b9438fa2f830b83baf29c6,all_recorded,20260907_014425_784635;20260907_014505_874750;20260907_014545_965962,200.324236571949,0.4811906527202267,3,269.00166142351054,3.993924441066787,3,0.43109544310704095,0.005961073957165931,3,0.43109570973200384,0.005961073971111869,3,12.906153562320632,1.0116300019741218,3,0.005018798649256269,3.616948790231048e-05,3,0.5018798649256269,0.003616948790231019,3,15.250415355877642,0.9984811102666978,3
2,M0_M3,DELTA,zero_load,200,3,3,3,1,BATCH_b99cdc1d65b44cb59677a2c5e3e39f6a,all_recorded,20260907_014715_022979;20260907_014755_224321;20260907_014835_279154,199.8560981735626,0.34765593958073027,3,236.2665200954925,2.603805873681417,3,0.37775686828504884,0.004531685281129696,3,0.37775713489310836,0.004531685304941842,3,4.688879765328954,0.6561476782032415,3,0.005002509696878347,7.964686831677426e-06,3,0.5002509696878348,0.0007964686831677727,3,7.066630023873121,0.6509514684203528,3
2,M1_M2,DELTA,zero_load,200,3,3,3,1,BATCH_87a8929733aa49f48b160c96f56b245f,all_recorded,20260907_014946_645414;20260907_015026_779606;20260907_015106_825879,200.10660589690943,0.09451492483184264,3,265.9385206337746,0.38274541934935546,3,0.4257286019769564,0.0007906926960097543,3,0.4257286908611163,0.0007908123392122988,3,12.14744489347441,0.09596869890238696,3,0.004995559533444629,4.802443760981543e-07,3,0.4995559533444629,4.802443760980341e-05,3,14.484630158443647,0.09568635483734322,3
2,M1_M3,DELTA,zero_load,200,3,3,3,1,BATCH_949b70f5ee8047728fe43b97d160acd0,all_recorded,20260907_015217_328962;20260907_015257_395753;20260907_015337_478535,201.61315369943856,2.07130397188088,3,239.45445684079334,4.828411659277801,3,0.386167470689804,0.004339360111149246,3,0.3861674706896266,0.004339095947715153,3,5.510255172767875,1.190507216325082,3,0.004959847073796997,5.085163207528142e-05,3,0.49598470737969974,0.005085163207528153,3,7.863614210198331,1.2071029148194485,3
2,M2_M3,DELTA,zero_load,200,3,3,3,1,BATCH_d8bda735d5aa42709b25fbc143ad2769,all_recorded,20260907_015550_103879;20260907_015630_225115;20260907_015710_248741,200.21637333047724,0.018359642038114108,3,267.7884501312161,0.5531864842709602,3,0.4289250095797328,0.0008507571563308782,3,0.428925187288772,0.0008508834432702012,3,12.613420691063064,0.13940967411593044,3,0.004993065402374579,1.2693085926303891e-06,3,0.49930654023745785,0.00012693085926304497,3,14.947112532804024,0.1382966210677394,3
