run_id,combination,N,packets,pc_dt_zero_count,pc_dt_negative_count,pc_dt_gt_20ms_count,pc_dt_gt_100ms_count,host_dt_gt_20ms_count,host_dt_gt_100ms_count,sequence_step_not_one_count,observed_pc_span_ms,observed_host_span_ms,pc_packet_span_rate_Hz,host_packet_span_rate_Hz,pc_completion_dt_ms_n,pc_completion_dt_ms_mean,pc_completion_dt_ms_sd_population,pc_completion_dt_ms_min,pc_completion_dt_ms_p50,pc_completion_dt_ms_p95,pc_completion_dt_ms_p99,pc_completion_dt_ms_max,host_enqueue_dt_ms_n,host_enqueue_dt_ms_mean,host_enqueue_dt_ms_sd_population,host_enqueue_dt_ms_min,host_enqueue_dt_ms_p50,host_enqueue_dt_ms_p95,host_enqueue_dt_ms_p99,host_enqueue_dt_ms_max
20260907_013132_404213,M0,1,6004,1543,0,114,7,0,0,0,29994.417200010503,29996,200.13724420682854,200.1266835578077,6003,4.996571247711228,7.99963655644061,0.0,4.691500012995675,13.35197999433148,28.890501998248407,239.07320000580512,6003,4.996834915875396,0.18656341445506455,3.0,5.0,5.0,6.0,7.0
20260907_013212_470890,M0,1,6005,870,0,61,2,0,0,0,29996.19469998288,30001,200.15872213295864,200.12666244458518,6004,4.996035093268301,5.155124717638012,0.0,4.872100005741231,11.89710998296504,20.059181978285846,184.25229997956194,6004,4.996835443037975,0.2028034173419255,3.0,5.0,5.0,6.0,7.0
20260907_013252_522986,M0,1,6003,662,0,44,1,0,0,0,29991.409199981717,29992,200.1239741680314,200.12003200853562,6002,4.99690256580835,4.4300882421483285,0.0,4.873649988439865,10.869320022175089,18.213719009654593,125.15189999248832,6002,4.997000999666778,0.20160387304098423,3.0,5.0,5.0,6.0,7.0
20260907_013403_341631,M1,1,6010,718,0,57,0,0,0,0,29997.658600012073,29992,200.31563396743175,200.3534275806882,6009,4.99212158429224,4.032902068763748,0.0,4.868699994403869,11.483860010048359,19.527315995655957,88.21759998681955,6009,4.991179896821435,0.17428862355913005,3.0,5.0,5.0,5.0,7.0
20260907_013443_415053,M1,1,6011,297,0,15,0,0,0,0,30000.03850000212,29998,200.33307623920467,200.3466897793186,6010,4.991686938436293,3.1301413639698854,0.0,4.912499993224628,10.364364986889996,15.466331005445666,44.51069998322055,6010,4.99134775374376,0.1738044893883929,3.0,5.0,5.0,5.0,7.0
20260907_013523_479494,M1,1,6011,1086,0,75,3,0,0,0,29995.34080000012,29997,200.3644512683775,200.35336867020035,6010,4.9909052911813845,5.723600913740062,0.0,4.8249500105157495,12.46146001067246,21.820628007117193,155.87329998379573,6010,4.991181364392679,0.17522631542125308,3.0,5.0,5.0,5.0,7.0
20260907_013624_365237,M2,1,6003,1094,0,65,0,0,0,0,29979.197899985593,29985,200.20548982075616,200.16675004168752,6002,4.994868027321825,4.480166734835677,0.0,4.863100009970367,12.279915000544857,21.184632013027947,86.91879999241792,6002,4.9958347217594135,0.28715006463657744,3.0,5.0,5.0,6.0,7.0
20260907_013704_454625,M2,1,6008,1313,0,94,4,0,0,0,29995.910400000867,30010,200.2606328627994,200.16661112962345,6007,4.993492658565152,6.509478302529954,0.0,4.737200011732057,12.723790007294156,25.411429990199338,152.8173999977298,6007,4.995838188779757,0.29048960544896635,3.0,5.0,5.0,6.0,7.0
20260907_013744_540625,M2,1,6005,767,0,56,0,0,0,0,29995.343299990054,29996,200.16440351932863,200.16002133617815,6004,4.995893287806472,4.059846391451627,0.0,4.838299981201999,11.558530015463468,19.422394987777807,85.66979999886826,6004,4.9960026648900735,0.2850669544987554,3.0,5.0,5.0,6.0,7.0
20260907_013917_548818,M3,1,6009,978,0,74,1,0,0,0,29989.029300020775,29990,200.33992897515486,200.33344448149384,6008,4.991516195076693,4.956378128807688,0.0,4.8555499815847725,12.133529993297977,21.528024987201206,116.64960000780411,6008,4.99167776298269,0.19030421373816298,3.0,5.0,5.0,5.0,7.0
