run_id,scope,slot,repeat,batch_id,loading_relationship_between_modules,valid_updates,expected_opportunities,update_coverage,ESKD_count,ESKF_count,q_ESKF,q_ESKF_pct,K_ESKD_mean,K_ESKD_median,K_ESKD_p25,K_ESKD_p75,K_ESKD_IQR,K_ESKD_max,K1_ESKD_mean,K2_ESKD_mean,initial_unanchored_delta,valid_payload_bytes,independent_raw_status
20260907_054752_155421,main,M1,1,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,5989,5989,1.0,5956,33,0.0055101018533978965,0.5510101853397896,78.83159838817998,29.0,8.0,78.0,70.0,480,34.471121558092676,44.36047683008731,0,1473798,PASS: audited main window
20260907_054752_155421,main,M3,1,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,5989,5989,1.0,5941,48,0.008014693604942395,0.8014693604942394,73.51388655108568,24.0,8.0,58.0,50.0,480,42.43814172698199,31.075744824103687,0,1422648,PASS: audited main window
20260907_054752_155421,full_run,M1,1,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,7992,7992,1.0,7949,43,0.0053803803803803806,0.5380380380380381,64.07359416278777,22.0,7.0,55.0,48.0,480,27.769153352622972,36.3044408101648,59,1731250,CHECK REQUIRED: file start anchoring/boundary limits retained
20260907_054752_155421,full_run,M3,1,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,7992,7992,1.0,7934,58,0.007257257257257258,0.7257257257257257,57.99684900428535,18.0,4.0,40.0,36.0,480,33.28132089740358,24.715528106881774,115,1647302,CHECK REQUIRED: file start anchoring/boundary limits retained
20260907_054832_183609,main,M1,2,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,5989,5989,1.0,5953,36,0.006011020203706796,0.6011020203706796,74.19385183940871,21.0,8.0,58.0,50.0,480,33.232151856206954,40.96169998320175,0,1420988,PASS: audited main window
20260907_054832_183609,main,M3,2,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,5989,5989,1.0,5951,38,0.006344965770579396,0.6344965770579396,68.19173248193582,22.0,5.0,59.0,54.0,480,42.30767938161654,25.884053100319274,0,1351174,PASS: audited main window
20260907_054832_183609,full_run,M1,2,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,7998,7998,1.0,7952,46,0.005751437859464866,0.5751437859464866,58.22007042253521,17.0,4.0,39.0,35.0,480,25.842555331991953,32.37751509054326,151,1641924,CHECK REQUIRED: file start anchoring/boundary limits retained
20260907_054832_183609,full_run,M3,2,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,7998,7998,1.0,7950,48,0.006001500375093774,0.6001500375093773,53.73924528301887,16.0,4.0,40.0,36.0,480,33.76050314465409,19.97874213836478,49,1572366,CHECK REQUIRED: file start anchoring/boundary limits retained
20260907_054912_204552,main,M1,3,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,5990,5990,1.0,5956,34,0.005676126878130217,0.5676126878130217,72.06665547347212,19.0,6.0,64.25,58.25,480,32.342511752854264,39.72414372061787,0,1394258,PASS: audited main window
20260907_054912_204552,main,M3,3,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,5990,5990,1.0,5943,47,0.007846410684474123,0.7846410684474123,71.51590106007068,25.0,10.0,68.0,58.0,480,44.551236749116605,26.964664310954063,0,1398318,PASS: audited main window
20260907_054912_204552,full_run,M1,3,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,7998,7998,1.0,7954,44,0.005501375343835959,0.5501375343835959,56.921800352024135,15.0,4.0,39.0,35.0,480,25.366482273070154,31.555318078953984,175,1619584,CHECK REQUIRED: file start anchoring/boundary limits retained
20260907_054912_204552,full_run,M3,3,BATCH_29a9913ec9454e27a7c47e72af6171f5,simultaneous_coverage_and_loading_of_both_modules,7998,7998,1.0,7941,57,0.007126781695423856,0.7126781695423856,56.50384082609243,20.0,6.0,45.0,39.0,480,35.67296310288377,20.830877723208665,79,1623946,CHECK REQUIRED: file start anchoring/boundary limits retained
