run_id,started_at,mode,condition,N,target_hz,modules,block,batch_id,repeat,old_relative_path,new_relative_path,duration_s,main_duration_s,main_packets,main_status,full_status,full_review_reasons,main_rate_Hz,main_Lmean_B,main_packet_Mbit_s,main_raw_arrival_Mbit_s,main_K_ESKD_mean,main_q_ESKF,main_ESKF_count,main_ESKD_count,source_local_firmware,deployment_confirmed,main_eligible,main_review_reasons,main_outer_crc_errors,main_outer_missing_sequence_numbers,main_missing_valid_expected_updates,main_interior_unassigned_raw_bytes,source_review,timing_note,replacement_batch_id,primary_matrix_selected,selection_reason,pc_max_completion_gap_ms,host_max_enqueue_gap_ms,host_packet_span_rate_Hz,independent_raw_audit,load_layers,load_description,independent_review_reasons,main_inner_sequence_events,recorded_condition,dataset_role,dynamic_analysis_selected,main_q_ESKF_pct,actual_load_protocol,loading_relationship_between_modules,independent_main_status,main_equal_rate_FULL_saving_pct,dynamic_batch_eligible,dynamic_selection_reason
20260907_040621_371357,2026-09-07T04:06:21.371357+01:00,DELTA,large_area,1,200,M1,1,BATCH_b85c7425a5b149dabf8cd9a9dcb33094,1,20260907_040621_371357,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area/Repeat_1,40.00260340000386,30.002603400003863,5998,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file,199.9159846241619,284.67255751917304,0.45528475705539073,0.45528475705539073,77.04437720625315,0.008169389796598866,49,5949,four-module-variable-spi,False,False,,0,0,0,0,20260907_delta_large_area_review,PC maximum completion gap 106.9175 ms; bridge maximum enqueue gap 27 ms. Do not infer physical scan loss or SCK instability.,,False,excluded_pending_independent_inner_sequence_review; original recorder PASS preserved,106.91750000114553,27,199.91332755517035,CHECK_inner_sequence_discontinuity,both,large_area; both layers; area/force/rhythm not recorded,inner_sequence_reset_to_2_on_ESKF,1,large_area,dynamic_load,False,,,,,,,
20260907_040701_400114,2026-09-07T04:07:01.400114+01:00,DELTA,large_area,1,200,M1,1,BATCH_b85c7425a5b149dabf8cd9a9dcb33094,2,20260907_040701_400114,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area/Repeat_2,40.000133699999424,30.000133699999424,5950,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,198.33244943172085,269.2339495798319,0.427182629522756,0.4271828961882342,68.39718118526065,0.010252100840336134,61,5889,four-module-variable-spi,False,False,,0,0,0,0,20260907_delta_large_area_review,PC maximum completion gap 55.7936 ms; bridge maximum enqueue gap 48 ms. Do not infer physical scan loss or SCK instability.,,False,excluded_pending_independent_inner_sequence_review; original recorder PASS preserved,55.793600011384115,48,198.33966793358672,CHECK_inner_sequence_discontinuity,both,large_area; both layers; area/force/rhythm not recorded,inner_sequence_reset_to_2_on_ESKF,11,large_area,dynamic_load,False,,,,,,,
20260907_040741_429011,2026-09-07T04:07:41.429011+01:00,DELTA,large_area,1,200,M1,1,BATCH_b85c7425a5b149dabf8cd9a9dcb33094,3,20260907_040741_429011,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area/Repeat_3,40.000762200012105,30.000762200012105,5979,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,199.29493657989755,262.79745776885767,0.41899362143522234,0.41899388809511406,66.56365779723812,0.0068573340023415285,41,5938,four-module-variable-spi,False,False,,0,0,0,0,20260907_delta_large_area_review,PC maximum completion gap 127.6216 ms; bridge maximum enqueue gap 126 ms. Do not infer physical scan loss or SCK instability.,,False,excluded_pending_independent_inner_sequence_review; original recorder PASS preserved,127.62159999692813,126,199.29323909854648,CHECK_inner_sequence_discontinuity,both,large_area; both layers; area/force/rhythm not recorded,inner_sequence_forward_gaps_on_ESKF,2,large_area,dynamic_load,False,,,,,,,
20260907_050453_154588,2026-09-07T05:04:53.154588+01:00,DELTA,large_area,1,200,M1,1,BATCH_186513a0ad4b411b80b5bd09c7d05b91,1,20260907_050453_154588,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area/Batch_20260907_050453_154588/Repeat_1,40.00356099999044,30.00356099999044,6004,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.10958032621238,278.4723517654897,0.4457998835539642,0.4458001501889813,74.53487592219986,0.006662225183211193,40,5964,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_followup_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,47.57840000092983,7,200.14670089687593,PASS,unspecified,大面积动态加载，与上一批相同,,0,zero_load,dynamic_load,True,0.6662225183211192,large_area_dynamic,,PASS,74.31066865632015,True,complete_three_window_batch_passed
20260907_050533_183636,2026-09-07T05:05:33.183636+01:00,DELTA,large_area,1,200,M1,1,BATCH_186513a0ad4b411b80b5bd09c7d05b91,2,20260907_050533_183636,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area/Batch_20260907_050453_154588/Repeat_2,40.00399400002789,30.003994000027888,6002,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.040034669865,281.1129623458847,0.44987077387055385,0.449871040501723,76.13409319477037,0.005998000666444518,36,5966,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_followup_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,17.20000000204891,7,200.06667777962994,PASS,unspecified,大面积动态加载，与上一批相同,,0,zero_load,dynamic_load,True,0.5998000666444518,large_area_dynamic,,PASS,74.06706989429108,True,complete_three_window_batch_passed
20260907_050613_222506,2026-09-07T05:06:13.222506+01:00,DELTA,large_area,1,200,M1,1,BATCH_186513a0ad4b411b80b5bd09c7d05b91,3,20260907_050613_222506,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area/Batch_20260907_050453_154588/Repeat_3,40.00127799998154,30.00127799998154,6003,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.09147610324112,287.671830751291,0.4604854499867806,0.46048571664208776,79.83609576427256,0.004997501249375313,30,5973,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_followup_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,17.568400013260543,7,200.09334577943727,PASS,unspecified,大面积动态加载，与上一批相同,,0,zero_load,dynamic_load,True,0.49975012493753124,large_area_dynamic,,PASS,73.46200823327574,True,complete_three_window_batch_passed
20260907_051941_159689,2026-09-07T05:19:41.159689+01:00,DELTA,large_area,1,200,M1,1,BATCH_01a68db283d446ceb790e6516fb50a79,1,20260907_051941_159689,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area_press_release/Repeat_1,40.00419019997935,30.004190199979348,6012,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.3720133731234,222.18263473053892,0.35615345486002664,0.35615345486002664,46.857883297107506,0.005156353958749168,31,5981,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_press_release_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,18.224200000986457,7,200.3599880004,PASS,unspecified,大面积反复按压、释放,,0,zero_load,dynamic_load,True,0.5156353958749168,repeated_press_release,,PASS,79.50344698057759,True,complete_three_window_batch_passed
20260907_052021_196300,2026-09-07T05:20:21.196300+01:00,DELTA,large_area,1,200,M1,1,BATCH_01a68db283d446ceb790e6516fb50a79,2,20260907_052021_196300,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area_press_release/Repeat_2,40.000933600007556,30.000933600007556,6014,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.4604283380863,208.2840039906884,0.3340216052475606,0.3340216052475606,39.94685828877005,0.004988360492184902,30,5984,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_press_release_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,46.16120000719093,7,200.3798986936817,PASS,unspecified,大面积反复按压、释放,,0,zero_load,dynamic_load,True,0.49883604921849023,repeated_press_release,,PASS,80.78560848794388,True,complete_three_window_batch_passed
20260907_052101_230925,2026-09-07T05:21:01.230925+01:00,DELTA,large_area,1,200,M1,1,BATCH_01a68db283d446ceb790e6516fb50a79,3,20260907_052101_230925,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area_press_release/Repeat_3,40.00004310000804,30.000043100008043,6013,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file,200.4330453778044,201.4455346748711,0.3230107359411561,0.3230107359411561,36.51011198395454,0.004989190088142358,30,5983,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_press_release_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,19.420000026002526,7,200.4200420042004,PASS,unspecified,大面积反复按压、释放,,0,zero_load,dynamic_load,True,0.4989190088142358,repeated_press_release,,PASS,81.41646359087905,True,complete_three_window_batch_passed
20260907_053858_001637,2026-09-07T05:38:58.001637+01:00,DELTA,rolling,1,200,M1,1,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,1,20260907_053858_001637,DELTA/Dynamic_load/N=1/200Hz/M1/Rolling/Repeat_1,40.00081779999891,30.000817799998913,6010,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.3278723955391,344.8402662229617,0.5526489347900577,0.5526489347900577,108.56605351170569,0.004991680532445923,30,5980,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_rolling_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,15.997100010281429,7,200.29332355588147,PASS,unspecified,rolling（滚动加载）,,0,zero_load,dynamic_load,True,0.49916805324459235,rolling,,PASS,68.18816732260501,True,complete_three_window_batch_passed
