run_id,scope,slot,repeat,batch_id,loading_relationship_between_modules,valid_updates,received_outer_opportunities,update_coverage,missing_valid_updates,ESKD_count,ESKF_count,q_ESKF,q_ESKF_pct,K_ESKD_mean,K_ESKD_median,K_ESKD_p25,K_ESKD_p75,K_ESKD_IQR,K_ESKD_max,K1_ESKD_mean,K2_ESKD_mean,initial_unanchored_delta,valid_payload_bytes,status_counts,run_scope_independent_status
20260907_060147_020562,main,M0,1,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,simultaneous_coverage_and_loading_of_all_four_modules,5978,5978,1.0,0,5948,30,0.005018400802944129,0.5018400802944128,137.27706792199058,113.0,89.0,162.0,73.0,379,90.17552118359113,47.10154673839946,0,2164000,"{""0x00"": 5978}",PASS
20260907_060147_020562,main,M1,1,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,simultaneous_coverage_and_loading_of_all_four_modules,5978,5978,1.0,0,5947,31,0.0051856808297089324,0.5185680829708933,155.07146460400202,103.0,59.0,217.0,158.0,480,76.96670590213553,78.10475870186649,0,2376332,"{""0x00"": 5978}",PASS
20260907_060147_020562,main,M2,1,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,simultaneous_coverage_and_loading_of_all_four_modules,5978,5978,1.0,0,5948,30,0.005018400802944129,0.5018400802944128,171.3046402151984,149.0,106.0,221.0,115.0,411,88.74932750504371,82.55531271015468,0,2568792,"{""0x00"": 5978}",PASS
20260907_060147_020562,main,M3,1,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,simultaneous_coverage_and_loading_of_all_four_modules,5978,5978,1.0,0,5948,30,0.005018400802944129,0.5018400802944128,151.4551109616678,115.0,70.0,204.0,134.0,471,89.75756556825824,61.69754539340955,0,2332662,"{""0x00"": 5978}",PASS
20260907_060147_020562,full_run,M0,1,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,simultaneous_coverage_and_loading_of_all_four_modules,7979,7979,1.0,0,7939,40,0.005013159543802482,0.5013159543802481,108.27522357979595,97.0,39.0,141.0,102.0,379,71.42813956417685,36.847084015619096,45,2427830,"{""0x00"": 7979}",CHECK REQUIRED
20260907_060147_020562,full_run,M1,1,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,simultaneous_coverage_and_loading_of_all_four_modules,7979,7979,1.0,0,7938,41,0.005138488532397544,0.5138488532397544,122.83887629125725,72.0,38.0,172.0,134.0,480,60.464474678760396,62.374401612496854,194,2659786,"{""0x00"": 7979}",CHECK REQUIRED
20260907_060147_020562,full_run,M2,1,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,simultaneous_coverage_and_loading_of_all_four_modules,7979,7979,1.0,0,7939,40,0.005013159543802482,0.5013159543802481,139.2774908678675,121.0,64.0,190.0,126.0,411,72.97657135659404,66.30091951127346,115,2920084,"{""0x00"": 7979}",CHECK REQUIRED
20260907_060147_020562,full_run,M3,1,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,simultaneous_coverage_and_loading_of_all_four_modules,7979,7979,1.0,0,7939,40,0.005013159543802482,0.5013159543802481,124.67250283411009,89.0,46.0,161.0,115.0,471,73.65713565940295,51.015367174707144,189,2688186,"{""0x00"": 7979}",CHECK REQUIRED
20260907_060227_053987,main,M0,2,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,simultaneous_coverage_and_loading_of_all_four_modules,5851,5852,0.9998291182501708,1,5819,32,0.0054691505725517,0.5469150572551701,139.39096064615913,113.0,88.0,161.0,73.0,392,93.23217047602681,46.15879017013233,0,2144436,"{""0x00"": 5851, ""0x80"": 1}",CHECK REQUIRED
20260907_060227_053987,main,M1,2,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,simultaneous_coverage_and_loading_of_all_four_modules,5851,5852,0.9998291182501708,1,5816,35,0.005981883438728423,0.5981883438728423,162.8796423658872,120.0,83.0,224.0,141.0,480,80.26977303988996,82.60986932599725,0,2419700,"{""0x00"": 5851, ""0x80"": 1}",CHECK REQUIRED
