run_id,date,date_bucket,mode,target_Hz,N,modules,load,repeat_label,module_id,ESKF_count,ESKD_count,q_ESKF,module_update_rate_Hz,unupdated_packets_for_this_module,K_n,K_mean,K_sd_population,K_p05,K_p25,K_median,K_p75,K_p95,K_min,K_max,K_zero_fraction,K_FSR1_mean,K_FSR2_mean,ESKF_interval_count,ESKF_interval_mean_s,ESKF_interval_min_s,ESKF_interval_max_s,flags_counts,base_link_discontinuities,break_events_after_anchor,unapplied_after_anchor,initial_unanchored_delta_frames,full_trigger_reason
20260901_212641,2026-09-01,before_2026-09-05,DELTA,200,1,M1,rolling,Repeat_1,M1,30,5978,0.004993342210386152,200.26172420736913,0,5978,213.7172967547675,42.42348164835378,128.0,195.0,223.0,243.0,265.0,20,286,0.0,29.158748745399798,184.55854800936768,29,0.9987012413793104,0.9935110000000016,1.0051070000000006,"{""0x33"": 6008}",0,0,0,177,not_identifiable_from_recorded_frame_type
20260901_210355,2026-09-01,before_2026-09-05,DELTA,200,1,M1,large_area,Repeat_1,M1,31,5962,0.00517270148506591,199.7598302192908,0,5962,110.74958067762496,92.47448774076605,22.0,39.0,79.0,159.0,290.0,1,475,0.0,62.16839986581684,48.58118081180812,30,0.9795159333333333,0.4180020000000013,1.0050019999999993,"{""0x33"": 5993}",0,0,0,106,not_identifiable_from_recorded_frame_type
20260901_210456,2026-09-01,before_2026-09-05,DELTA,200,1,M1,large_area,Repeat_2,M1,30,5962,0.005006675567423231,199.72714911503377,0,5962,106.30174438108017,91.8451508133113,24.0,38.0,68.0,150.0,312.0,8,478,0.0,57.284132841328415,49.01761153975176,29,0.9883787931034483,0.6959610000000005,1.0031660000000002,"{""0x33"": 5992}",0,0,0,132,not_identifiable_from_recorded_frame_type
20260901_210531,2026-09-01,before_2026-09-05,DELTA,200,1,M1,large_area,Repeat_3,M1,31,5964,0.005170975813177648,199.8065346149416,0,5964,109.40291750503017,92.62742848595165,24.0,40.0,75.0,153.0,291.0,7,480,0.0,59.27330650570087,50.12961099932931,30,0.9878638000000001,0.678526999999999,1.00591,"{""0x33"": 5995}",0,0,0,32,not_identifiable_from_recorded_frame_type
20260905_192429,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,large_area,Repeat_4,M1,36,5959,0.006005004170141785,199.80066592449248,0,5959,95.39973149857359,94.11628331105993,19.0,31.0,47.0,142.0,286.09999999999945,1,480,0.0,51.311293841248535,44.08843765732505,35,0.8302522571428571,0.005074000000000467,1.0055619999999976,"{""0x33"": 5995}",0,0,0,29,not_identifiable_from_recorded_frame_type
20260905_192558,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,large_area,Repeat_5,M1,36,5961,0.006003001500750375,199.87414494689264,0,5961,85.46250629089079,88.25376880600824,18.0,28.0,43.0,117.0,263.0,3,480,0.0,42.726891461164236,42.73561482972656,35,0.8019297714285714,0.0005489999999994666,1.0070650000000008,"{""0x33"": 5997}",0,0,0,191,not_identifiable_from_recorded_frame_type
20260905_192704,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,large_area,Repeat_6,M1,33,5960,0.005506424161521775,199.73730328573473,0,5960,99.60805369127517,93.78571750336657,23.0,35.0,52.0,143.0,300.0,4,480,0.0,50.92382550335571,48.684228187919466,32,0.90298809375,0.0002999999999993008,1.0041479999999998,"{""0x33"": 5993}",0,0,0,148,not_identifiable_from_recorded_frame_type
20260901_211257,2026-09-01,before_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,Repeat_1,M1,30,5980,0.004991680532445923,200.30646222143838,0,5980,79.01036789297659,71.12517741564136,21.0,31.0,42.0,117.0,230.0,4,408,0.0,40.014715719063545,38.995652173913044,29,0.9986586206896552,0.9922349999999991,1.0064980000000006,"{""0x33"": 6010}",0,0,0,180,not_identifiable_from_recorded_frame_type
20260901_211411,2026-09-01,before_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,Repeat_2,M1,31,5980,0.005157211778406255,200.33632105634638,0,5980,76.90986622073578,64.88571431929049,22.0,32.0,44.0,111.0,212.05000000000018,4,391,0.0,38.45986622073578,38.45,30,0.9984917333333333,0.9938789999999997,1.0030660000000005,"{""0x33"": 6011}",0,0,0,3,not_identifiable_from_recorded_frame_type
20260901_211445,2026-09-01,before_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,Repeat_3,M1,30,5979,0.004992511233150275,200.26045256582483,0,5979,74.82037129954841,66.14008341150245,21.0,31.0,41.0,105.0,218.0,8,395,0.0,38.55979260745944,36.26057869208898,29,0.9983848965517241,0.9908229999999989,1.0084920000000004,"{""0x33"": 6009}",0,0,0,117,not_identifiable_from_recorded_frame_type
20260905_193003,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,Repeat_4,M1,30,5980,0.004991680532445923,200.315314970749,0,5980,67.10150501672241,67.49197076790885,16.0,25.0,34.0,88.25,217.0,2,352,0.0,35.25752508361204,31.84397993311037,29,0.9985611379310345,0.988271000000001,1.006615,"{""0x33"": 6010}",0,0,0,147,not_identifiable_from_recorded_frame_type
20260905_193110,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,Repeat_5,M1,30,5981,0.004990850108135086,200.36135508712854,0,5981,60.33389065373683,54.76684971936334,15.0,24.0,34.0,81.0,182.0,1,337,0.0,31.85186423674971,28.482026416987125,29,0.9982910344827587,0.9940809999999995,1.0028389999999998,"{""0x33"": 6011}",0,0,0,20,not_identifiable_from_recorded_frame_type
20260905_193204,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,Repeat_6,M1,30,5982,0.00499001996007984,200.3908521576369,0,5982,65.65011701771982,58.99512457248466,14.0,23.0,36.0,99.0,192.0,1,325,0.0,32.12771648278168,33.52240053493815,29,0.9984233448275862,0.9941949999999977,1.0045249999999974,"{""0x33"": 6012}",0,0,0,37,not_identifiable_from_recorded_frame_type
20260901_220515,2026-09-01,before_2026-09-05,DELTA,200,2,M1+M3,full_area_simultaneous,Repeat_1,M1,37,5884,0.006248944435061645,197.29247088718637,0,5884,139.9284500339905,102.51703351816103,50.0,68.0,99.0,167.0,394.0,24,479,0.0,74.04690686607749,65.88154316791298,36,0.8167775833333334,0.005539999999999878,1.009599999999999,"{""0x33"": 5921}",0,0,0,110,not_identifiable_from_recorded_frame_type
20260901_220515,2026-09-01,before_2026-09-05,DELTA,200,2,M1+M3,full_area_simultaneous,Repeat_1,M3,41,5880,0.00692450599560885,197.29247088718637,0,5880,188.58146258503402,99.76825952548836,96.0,118.0,148.0,220.0,430.0,70,480,0.0,86.04608843537414,102.53537414965986,40,0.72860605,0.0008330000000000837,1.008674,"{""0x33"": 5921}",0,0,0,107,not_identifiable_from_recorded_frame_type
20260901_215751,2026-09-01,before_2026-09-05,DELTA,200,4,M0+M1+M2+M3,full_area_simultaneous,Repeat_1,M0,30,5811,0.005136106831022085,194.64484089630957,0,5811,124.14937188091551,61.65647547522826,67.0,82.0,100.0,144.0,275.0,40,364,0.0,86.41868869385648,37.73068318705903,29,1.0011082413793102,0.9951970000000001,1.0058450000000008,"{""0x33"": 5841}",0,0,0,139,not_identifiable_from_recorded_frame_type
20260901_215751,2026-09-01,before_2026-09-05,DELTA,200,4,M0+M1+M2+M3,full_area_simultaneous,Repeat_1,M1,30,5811,0.005136106831022085,194.64484089630957,0,5811,224.8415074858028,71.57209629378985,157.0,177.0,199.0,243.0,401.0,125,477,0.0,122.86473928755808,101.97676819824471,29,0.9996621724137932,0.9870230000000006,1.0116039999999984,"{""0x33"": 5841}",0,0,0,97,not_identifiable_from_recorded_frame_type
20260901_215751,2026-09-01,before_2026-09-05,DELTA,200,4,M0+M1+M2+M3,full_area_simultaneous,Repeat_1,M2,30,5811,0.005136106831022085,194.64484089630957,0,5811,289.51918774737567,73.14044101087923,179.5,235.0,266.0,357.0,417.0,116,466,0.0,151.25761486835313,138.26157287902254,29,1.0010815862068967,0.9962879999999998,1.0066030000000001,"{""0x33"": 5841}",0,0,0,138,not_identifiable_from_recorded_frame_type
20260901_215751,2026-09-01,before_2026-09-05,DELTA,200,4,M0+M1+M2+M3,full_area_simultaneous,Repeat_1,M3,30,5811,0.005136106831022085,194.64484089630957,0,5811,243.04009636895543,69.86073327915692,170.0,196.0,220.0,260.0,403.0,118,476,0.0,130.42574427809328,112.61435209086216,29,0.9819292068965517,0.3654890000000002,1.0104729999999975,"{""0x33"": 5841}",0,0,0,163,not_identifiable_from_recorded_frame_type
20260901_192407,2026-09-01,before_2026-09-05,DELTA,200,1,M0,zero_load,Repeat_1,M0,30,5976,0.004995004995004995,200.17636984688278,0,5976,25.367469879518072,7.423832738386546,13.0,20.0,25.0,30.0,38.0,2,59,0.0,20.23627844712182,5.1311914323962515,29,0.9993944827586208,0.985301999999999,1.020289,"{""0x33"": 6006}",0,0,0,119,not_identifiable_from_recorded_frame_type
20260901_192450,2026-09-01,before_2026-09-05,DELTA,200,1,M0,zero_load,Repeat_2,M0,30,5976,0.004995004995004995,200.17809250955767,0,5976,26.744143239625167,8.00656310242313,14.0,21.0,27.0,32.0,40.0,3,74,0.0,21.461847389558233,5.282295850066935,29,0.9993898275862069,0.9933460000000001,1.0090569999999985,"{""0x33"": 6006}",0,0,0,53,not_identifiable_from_recorded_frame_type
20260901_192525,2026-09-01,before_2026-09-05,DELTA,200,1,M0,zero_load,Repeat_3,M0,30,5975,0.004995836802664446,200.15174268551206,0,5975,25.208200836820083,7.782062823180776,13.0,20.0,25.0,31.0,38.0,4,57,0.0,20.108451882845188,5.0997489539748955,29,0.9992064827586207,0.982977,1.0155009999999995,"{""0x33"": 6005}",0,0,0,116,not_identifiable_from_recorded_frame_type
20260905_185935,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M0,zero_load,Repeat_4,M0,30,5974,0.004996668887408394,200.12753763988098,0,5974,38.98259122865752,11.2424671763011,20.0,31.0,40.0,47.0,56.0,9,80,0.0,33.44861064613325,5.533980582524272,29,0.9995088620689655,0.9925469999999983,1.0063940000000002,"{""0x33"": 6004}",0,0,0,100,not_identifiable_from_recorded_frame_type
20260905_190017,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M0,zero_load,Repeat_5,M0,30,5975,0.004995836802664446,200.08355062584434,0,5975,44.77020920502092,9.879368614644141,27.0,38.0,46.0,52.0,59.0,11,99,0.0,38.36,6.41020920502092,29,0.9993493448275863,0.9914400000000008,1.0080409999999986,"{""0x33"": 6005}",0,0,0,154,not_identifiable_from_recorded_frame_type
20260905_190049,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M0,zero_load,Repeat_6,M0,30,5975,0.004995836802664446,200.09718158635945,0,5975,45.474811715481174,9.381241490877187,29.0,39.0,46.0,52.0,60.0,13,80,0.0,38.90276150627615,6.572050209205021,29,0.9989907931034482,0.9892129999999999,1.009398000000001,"{""0x33"": 6005}",0,0,0,160,not_identifiable_from_recorded_frame_type
20260901_192613,2026-09-01,before_2026-09-05,DELTA,200,1,M1,zero_load,Repeat_1,M1,30,5985,0.004987531172069825,200.47484308020304,0,5985,26.156223893066,7.38370635762304,14.0,22.0,26.0,31.0,37.0,1,68,0.0,13.824561403508772,12.331662489557226,29,0.998028551724138,0.9876909999999999,1.0167000000000006,"{""0x33"": 6015}",0,0,0,92,not_identifiable_from_recorded_frame_type
20260901_192646,2026-09-01,before_2026-09-05,DELTA,200,1,M1,zero_load,Repeat_2,M1,30,5983,0.004989190088142358,200.4097557937126,0,5983,25.69697476182517,7.244651588655895,14.0,21.0,26.0,30.0,36.0,0,71,0.00016714023065351831,13.564766839378239,12.132207922446932,29,0.9981281379310345,0.7291099999999986,1.2647340000000007,"{""0x33"": 6013}",0,0,0,91,not_identifiable_from_recorded_frame_type
20260901_192721,2026-09-01,before_2026-09-05,DELTA,200,1,M1,zero_load,Repeat_3,M1,30,5984,0.004988360492184902,200.46369044897256,0,5984,24.836229946524064,7.028987741801612,13.0,20.0,25.0,29.0,35.0,0,67,0.00016711229946524063,13.137366310160427,11.698863636363637,29,0.9980357241379311,0.4533440000000013,1.5423790000000004,"{""0x33"": 6014}",0,0,0,88,not_identifiable_from_recorded_frame_type
20260905_190158,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,zero_load,Repeat_4,M1,30,5984,0.004988360492184902,200.42211817436407,0,5984,19.946524064171122,6.221846855412118,10.0,16.0,20.0,24.0,30.0,0,53,0.000501336898395722,11.119986631016042,8.82653743315508,29,0.998236275862069,0.9891119999999995,1.0050669999999968,"{""0x33"": 6014}",0,0,0,136,not_identifiable_from_recorded_frame_type
