run_id,started_at,date,date_bucket,mode,target_Hz,N,modules,load,load_source,load_metadata,repeat_label,duration_s,raw_bytes,raw_packets,complete_outer_packets,valid_inner_packets,valid_module_frames,expected_module_frames,unupdated_expected_module_frames,all_expected_modules_updated_packets,partial_update_packets,f_all_expected_modules_Hz,diagnostic_payload_bytes,unupdated_module_status_counts,fixed_N_mixture_applicable,K_effective_present_module_frames,Lmean_B,Lmodel_mean_B,f_packet_Hz,f_complete_Hz,f_valid_inner_Hz,bytes_per_s,Mbit_per_s,ESKF_count,ESKD_count,q_ESKF_module_frames,K_ESKD_mean,K_ESKD_sd_population,K_ESKD_median,K_ESKD_p05,K_ESKD_p95,K_zero_fraction,K_effective_all_frames,summary_result,summary_session_base_mismatches,log_parse_errors,raw_base_break_events_after_anchor,raw_unapplied_after_anchor,raw_initial_unanchored_delta_frames,raw_sha256,source_dir,audit_issue_counts
20260901_212641,2026-09-01T21:26:41.390616+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M1,rolling,directory_and_metadata,High-frequency rolling load,Repeat_1,30.000740399991628,3328996,6008,6008,6008,6008,6008,0,6008,0,200.26172420736913,0,{},True,215.0469374167776,554.0938748335552,554.0938748335552,200.26172420736913,200.26172420736913,200.26172420736913,110963.79474690995,0.8877103579752795,30,5978,0.004993342210386152,213.7172967547675,42.42348164835378,223.0,128.0,265.0,0.0,215.0469374167776,PASS: no recorded transport/parser/cache error,0,0,0,0,177,94964501e7181396e8c2bb6a49d34e15a3896f27e5a4383962311514107c66a3,DELTA\Dynamic_load\M1\High_frequency_rolling\Repeat_1,"{""requested_vs_observed_algorithm"": 1}"
20260901_210355,2026-09-01T21:03:55.800797+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M1,large_area,directory_and_metadata,Large-area dynamic load,Repeat_1,30.001026700017974,2093470,5993,5993,5993,5993,5993,0,5993,0,199.7598302192908,0,{},True,112.65960287001502,349.31920574003004,349.31920574003004,199.7598302192908,199.7598302192908,199.7598302192908,69779.94523096591,0.5582395618477273,31,5962,0.00517270148506591,110.74958067762496,92.47448774076605,79.0,22.0,290.0,0.0,112.65960287001502,CHECK REQUIRED: one or more transport/parser/cache counters are non-zero,1,0,0,0,106,d3b7c7cc282c1d6bc3ed0daddf76d2e2eaec620592e7ab3da2a066b57d9090a3,DELTA\Dynamic_load\M1\Large_area\Repeat_1,"{""requested_vs_observed_algorithm"": 1}"
20260901_210456,2026-09-01T21:04:56.986169+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M1,large_area,directory_and_metadata,Large-area dynamic load,Repeat_2,30.000928900000872,2039350,5992,5992,5992,5992,5992,0,5992,0,199.72714911503377,0,{},True,108.17273030707611,340.3454606141522,340.3454606141522,199.72714911503377,199.72714911503377,199.72714911503377,67976.22856270763,0.543809828501661,30,5962,0.005006675567423231,106.30174438108017,91.8451508133113,68.0,24.0,312.0,0.0,108.17273030707611,CHECK REQUIRED: one or more transport/parser/cache counters are non-zero,1,0,0,0,132,328f654f513071b14c7a1e47ad6953a2050fe19fe3752dd6f38ad0ccee1706e5,DELTA\Dynamic_load\M1\Large_area\Repeat_2,"{""requested_vs_observed_algorithm"": 1}"
20260901_210531,2026-09-01T21:05:31.148679+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M1,large_area,directory_and_metadata,Large-area dynamic load,Repeat_3,30.004023699992104,2078098,5995,5995,5995,5995,5995,0,5995,0,199.8065346149416,0,{},True,111.31926605504586,346.6385321100917,346.6385321100917,199.8065346149416,199.8065346149416,199.8065346149416,69260.64386492758,0.5540851509194207,31,5964,0.005170975813177648,109.40291750503017,92.62742848595165,75.0,24.0,291.0,0.0,111.31926605504586,CHECK REQUIRED: one or more transport/parser/cache counters are non-zero,1,0,0,0,32,fd73837900359fb22c051368b9c5c86b07fd569c369d1ffa49adf5f105c67621,DELTA\Dynamic_load\M1\Large_area\Repeat_3,"{""requested_vs_observed_algorithm"": 1}"
20260905_192429,2026-09-05T19:24:29.023932+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,large_area,directory_and_metadata,Large-area dynamic load,Repeat_4,30.004904999994324,1914914,5995,5995,5995,5995,5995,0,5995,0,199.80066592449248,0,{},True,97.70925771476232,319.41851542952463,319.41851542952463,199.80066592449248,199.80066592449248,199.80066592449248,63820.03209143179,0.5105602567314543,36,5959,0.006005004170141785,95.39973149857359,94.11628331105993,47.0,19.0,286.09999999999945,0.0,97.70925771476232,PASS: no recorded transport/parser/cache error,0,0,0,0,29,168e6912d3d7adb2e4854abfcf35e8e44e4ab9a587261323240f012b3a0ebaef,DELTA\Dynamic_load\M1\Large_area\Repeat_4,"{""requested_vs_observed_algorithm"": 1}"
20260905_192558,2026-09-05T19:25:58.158405+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,large_area,directory_and_metadata,Large-area dynamic load,Repeat_5,30.003880699994625,1797072,5997,5997,5997,5997,5997,0,5997,0,199.87414494689264,0,{},True,87.83091545772888,299.66183091545776,299.66183091545776,199.87414494689264,199.87414494689264,199.87414494689264,59894.652227447434,0.4791572178195795,36,5961,0.006003001500750375,85.46250629089079,88.25376880600824,43.0,18.0,263.0,0.0,87.83091545772888,PASS: no recorded transport/parser/cache error,0,0,0,0,191,40044f9017af19b7681b9b072e9e5a23f3a5fbb0c6d92efeffd2cbf9f541bb87,DELTA\Dynamic_load\M1\Large_area\Repeat_5,"{""requested_vs_observed_algorithm"": 1}"
20260905_192704,2026-09-05T19:27:04.382105+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,large_area,directory_and_metadata,Large-area dynamic load,Repeat_6,30.00441029999638,1962140,5993,5993,5993,5993,5993,0,5993,0,199.73730328573473,0,{},True,101.70265309527781,327.4053061905556,327.4053061905556,199.73730328573473,199.73730328573473,199.73730328573473,65395.05293994186,0.5231604235195348,33,5960,0.005506424161521775,99.60805369127517,93.78571750336657,52.0,23.0,300.0,0.0,101.70265309527781,PASS: no recorded transport/parser/cache error,0,0,0,0,148,0dbf4c8bb3e37462840fc44403f25cc59ceae8a85ec586ece38004edf9828ce4,DELTA\Dynamic_load\M1\Large_area\Repeat_6,"{""requested_vs_observed_algorithm"": 1}"
20260901_211257,2026-09-01T21:12:57.197875+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,directory_and_metadata,Small-area dynamic load (3 x 1.6 cm),Repeat_1,30.004024499998195,1719004,6010,6010,6010,6010,6010,0,6010,0,200.30646222143838,0,{},True,81.01198003327787,286.02396006655573,286.02396006655573,200.30646222143838,200.30646222143838,200.30646222143838,57292.447551497746,0.458339580411982,30,5980,0.004991680532445923,79.01036789297659,71.12517741564136,42.0,21.0,230.0,0.0,81.01198003327787,CHECK REQUIRED: one or more transport/parser/cache counters are non-zero,1,0,0,0,180,e4e08e6d3ee88621ecf8229d984cb67d302d1e493c6990041c59b8feeb1804c0,DELTA\Dynamic_load\M1\Small_area_3x1.6cm\Repeat_1,"{""requested_vs_observed_algorithm"": 1}"
20260901_211411,2026-09-01T21:14:11.952499+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,directory_and_metadata,Small-area dynamic load (3 x 1.6 cm),Repeat_2,30.004544199997326,1694966,6011,6011,6011,6011,6011,0,6011,0,200.33632105634638,0,{},True,78.98868740642156,281.9773748128431,281.9773748128431,200.33632105634638,200.33632105634638,200.33632105634638,56490.30989113146,0.45192247912905165,31,5980,0.005157211778406255,76.90986622073578,64.88571431929049,44.0,22.0,212.05000000000018,0.0,78.98868740642155,CHECK REQUIRED: one or more transport/parser/cache counters are non-zero,1,0,0,0,3,62578ea0890ef4179ab69d2cb7fb8dcfe3f95aa33ad3598c627f12587f02ea8d,DELTA\Dynamic_load\M1\Small_area_3x1.6cm\Repeat_2,"{""requested_vs_observed_algorithm"": 1}"
20260901_211445,2026-09-01T21:14:45.324977+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,directory_and_metadata,Small-area dynamic load (3 x 1.6 cm),Repeat_3,30.005924400000367,1668618,6009,6009,6009,6009,6009,0,6009,0,200.26045256582483,0,{},True,76.84323514727909,277.68647029455815,277.68647029455815,200.26045256582483,200.26045256582483,200.26045256582483,55609.618212594694,0.44487694570075753,30,5979,0.004992511233150275,74.82037129954841,66.14008341150245,41.0,21.0,218.0,0.0,76.84323514727907,CHECK REQUIRED: one or more transport/parser/cache counters are non-zero,1,0,0,0,117,2b5c49a20e207b4ed25b84c7da7643219e4bf8c65a8744469a8c54caa18f1f2b,DELTA\Dynamic_load\M1\Small_area_3x1.6cm\Repeat_3,"{""requested_vs_observed_algorithm"": 1}"
