mode,target_Hz,N,modules,load,n_before,K_before,K_SD_before,q_before,q_SD_before,Mbit_before,Mbit_SD_before,Lmean_before,Lmean_SD_before,f_before,f_SD_before,n_yesterday,K_yesterday,K_SD_yesterday,q_yesterday,q_SD_yesterday,Mbit_yesterday,Mbit_SD_yesterday,Lmean_yesterday,Lmean_SD_yesterday,f_yesterday,f_SD_yesterday
DELTA,200,1,M0,zero_load,3,25.77327131865444,0.8445625330237687,0.004995282264224812,4.802443760981543e-07,0.2883784142379546,0.002704350211785292,180.08452439409976,1.680434807340342,200.16873501398416,0.014740973911207487,3,43.07587071638654,3.562347385914809,0.004996114164245762,4.804043509069931e-07,0.3434037059006283,0.011312964690015435,214.51758936543922,7.088679303469349,200.1027566173616,0.02251721738961334
DELTA,200,1,M1,large_area,3,108.81808085457844,2.2808632929220094,0.005116784288555596,9.536085327806283e-05,0.552044847089603,0.007428083931817172,345.43439948809134,4.606460346576117,199.7645046497554,0.03989864814790388,3,93.49009716024652,7.263549772233875,0.005838143277471312,0.0002872789264563785,0.5042926326901895,0.022661263453526287,315.495217511846,14.281782276667634,199.80403805237327,0.06848312560001824
DELTA,200,1,M1,small_area_3x1.6cm,3,76.9135351377536,2.095000706192958,0.005047134514667485,9.533061161073199e-05,0.4517130017472637,0.006733761498752153,281.89593505798564,4.169341464763291,200.30107861453652,0.03821968577787632,3,64.36183756272635,3.5629901778058395,0.004990850200220283,8.302861868713773e-07,0.4117266975117818,0.011339548936033977,256.872449934142,7.090554966213175,200.3558407385048,0.038069314168932486
DELTA,200,1,M1,zero_load,3,25.56314286713841,0.6700964383978055,0.004988360584132362,8.294580400886269e-07,0.2881020746443417,0.0021380941680465815,179.660075800359,1.3332498481252244,200.44942977429608,0.03480824395662003,2,20.31135965829753,0.5159554452500119,0.004989190226132371,1.1734210016722237e-06,0.27129073520422176,0.0016251866035939064,169.20966685407592,1.0278413073805297,200.41024346578325,0.016793373924243224
DELTA,200,1,M2,zero_load,3,20.915169853469983,0.2669164503704601,0.00499472781810055,4.800844811834073e-07,0.2728544284482236,0.0009478955172621988,170.41634720642546,0.5312814422570412,200.13796238752784,0.113669587772526,4,43.22760481617585,1.2080504733986237,0.0049935500238625285,4.1562695275417297e-07,0.34412839921191296,0.003863230926580909,214.8172999648435,2.403686263090359,200.24474998530766,0.007919395739686716
DELTA,200,1,M3,zero_load,3,10.309689426211373,1.312373024606396,0.004954083693088053,9.688844960509615e-05,0.23836095766937693,0.004228043774292071,149.27302266355494,2.6803048815754504,199.60201927722136,0.04706789878170033,3,43.74651273528116,0.5190789006247961,0.004988637024170721,4.789674493558823e-07,0.3461292113052219,0.0016728240074262413,215.84564626105802,1.0327350051701099,200.4494672962862,0.016210643518223634
DELTA,200,3,M0+M1+M3,zero_load,1,51.71995750153777,,0.004841402337228714,,0.9816645569894646,,614.7606010016694,,199.60301526113878,,3,51.63438201948819,0.5986979481636968,0.004996946341397367,4.805644056635064e-07,0.9839952475652206,0.005778817012854774,614.6494125614666,3.573810173718324,200.11306678168185,0.028194300903185025
DELTA,200,3,M0+M2+M3,zero_load,1,51.773040120866206,,0.005010856856522465,,0.9824475534368579,,615.5129447135461,,199.51805276290327,,3,60.88735909003574,1.961020077321769,0.004996668979816051,8.322233592809506e-07,1.072448868062636,0.018641807548505165,669.8891546962142,11.70816986779352,200.11707268865123,0.03977363711585699
DELTA,200,3,M1+M2+M3,zero_load,1,48.300833473177825,,0.005009183503088996,,0.9498952138517595,,594.7797628986475,,199.63171099300345,,3,44.6989120952442,0.12492321919754373,0.004995005271997238,1.4407332081885546e-06,0.9179343998775102,0.0009310791564230303,573.2394592310895,0.7495285187520647,200.16387181636267,0.06168354986563243
DELTA,200,4,M0+M1+M2+M3,zero_load,1,74.2191235059761,,0.0049657820063428474,,1.574969325783168,,985.8731430479052,,199.69218870721352,,5,79.40203344756345,3.9362402581223277,0.005182808614722056,0.00041808194061729716,1.6398253072707571,0.04324602779129008,1027.7693322049215,32.170290764012925,199.4670727061277,1.5402576559507146
