elapsed_s,packet_sequence,module_id,expected,status,status_name,payload_bytes,valid,marker,mode,flags,sequence,base_sequence,K,K1,K2,cache_outcome,main_window,error,diagnostic_prefix_hex
0.002448499988531694,224226,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224226,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223553,223552,0,0,0,initial_unanchored_delta,False,,
0.002448499988531694,224226,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224226,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224227,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224227,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223554,223553,0,0,0,initial_unanchored_delta,False,,
0.002448499988531694,224227,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224227,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224228,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224228,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223555,223554,0,0,0,initial_unanchored_delta,False,,
0.002448499988531694,224228,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224228,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224229,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224229,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223556,223555,0,0,0,initial_unanchored_delta,False,,
0.002448499988531694,224229,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224229,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224230,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224230,1,True,0x00,OK,90,True,ESKD,DELTA,0x33,223557,223556,3,0,3,initial_unanchored_delta,False,,
0.002448499988531694,224230,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224230,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224231,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224231,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223558,223557,0,0,0,initial_unanchored_delta,False,,
0.002448499988531694,224231,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224231,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224232,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224232,1,True,0x00,OK,92,True,ESKD,DELTA,0x33,223559,223558,4,0,4,initial_unanchored_delta,False,,
0.002448499988531694,224232,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.002448499988531694,224232,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.01110449997941032,224233,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.01110449997941032,224233,1,True,0x00,OK,86,True,ESKD,DELTA,0x33,223560,223559,1,0,1,initial_unanchored_delta,False,,
0.01110449997941032,224233,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.01110449997941032,224233,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.015897899982519448,224234,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.015897899982519448,224234,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223561,223560,0,0,0,initial_unanchored_delta,False,,
0.015897899982519448,224234,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.015897899982519448,224234,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.016678799991495907,224235,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.016678799991495907,224235,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223562,223561,0,0,0,initial_unanchored_delta,False,,
0.016678799991495907,224235,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.016678799991495907,224235,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.022835399984614924,224236,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.022835399984614924,224236,1,True,0x00,OK,86,True,ESKD,DELTA,0x33,223563,223562,1,0,1,initial_unanchored_delta,False,,
0.022835399984614924,224236,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.022835399984614924,224236,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.027520300005562603,224237,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.027520300005562603,224237,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223564,223563,0,0,0,initial_unanchored_delta,False,,
0.027520300005562603,224237,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.027520300005562603,224237,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.03167679999023676,224238,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.03167679999023676,224238,1,True,0x00,OK,86,True,ESKD,DELTA,0x33,223565,223564,1,1,0,initial_unanchored_delta,False,,
0.03167679999023676,224238,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.03167679999023676,224238,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.03664569999091327,224239,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.03664569999091327,224239,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223566,223565,0,0,0,initial_unanchored_delta,False,,
0.03664569999091327,224239,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.03664569999091327,224239,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.04218879999825731,224240,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.04218879999825731,224240,1,True,0x00,OK,86,True,ESKD,DELTA,0x33,223567,223566,1,1,0,initial_unanchored_delta,False,,
0.04218879999825731,224240,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.04218879999825731,224240,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.046591199992690235,224241,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.046591199992690235,224241,1,True,0x00,OK,88,True,ESKD,DELTA,0x33,223568,223567,2,1,1,initial_unanchored_delta,False,,
0.046591199992690235,224241,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.046591199992690235,224241,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.06099790000007488,224242,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.06099790000007488,224242,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223569,223568,0,0,0,initial_unanchored_delta,False,,
0.06099790000007488,224242,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.06099790000007488,224242,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.06099790000007488,224243,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.06099790000007488,224243,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223570,223569,0,0,0,initial_unanchored_delta,False,,
0.06099790000007488,224243,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.06099790000007488,224243,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.06183319998672232,224244,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.06183319998672232,224244,1,True,0x00,OK,86,True,ESKD,DELTA,0x33,223571,223570,1,0,1,initial_unanchored_delta,False,,
0.06183319998672232,224244,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.06183319998672232,224244,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.066657799994573,224245,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.066657799994573,224245,1,True,0x00,OK,90,True,ESKD,DELTA,0x33,223572,223571,3,0,3,initial_unanchored_delta,False,,
0.066657799994573,224245,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.066657799994573,224245,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.07163379999110475,224246,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.07163379999110475,224246,1,True,0x00,OK,88,True,ESKD,DELTA,0x33,223573,223572,2,0,2,initial_unanchored_delta,False,,
0.07163379999110475,224246,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.07163379999110475,224246,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.07972019998123869,224247,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.07972019998123869,224247,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223574,223573,0,0,0,initial_unanchored_delta,False,,
0.07972019998123869,224247,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.07972019998123869,224247,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.08176609998918138,224248,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.08176609998918138,224248,1,True,0x00,OK,84,True,ESKD,DELTA,0x33,223575,223574,0,0,0,initial_unanchored_delta,False,,
0.08176609998918138,224248,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.08176609998918138,224248,3,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.08670709998114035,224249,0,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
0.08670709998114035,224249,1,True,0x00,OK,88,True,ESKD,DELTA,0x33,223576,223575,2,0,2,initial_unanchored_delta,False,,
0.08670709998114035,224249,2,False,0x85,MODE_TRANSITION,0,False,,,,,,,,,not_updated,False,,
