elapsed_s,mul_start_time,packet_completed_time,raw_offset,received_bytes,declared_length,packet_sequence,host_ms,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,main_window,error
0.0022984000097494572,2026-09-07T04:07:41.431+01:00,2026-09-07T04:07:41.431309+01:00,459,514,514,4008941,28528347,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
0.0022984000097494572,2026-09-07T04:07:41.431+01:00,2026-09-07T04:07:41.431309+01:00,973,668,668,4008942,28528353,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
0.0022984000097494572,2026-09-07T04:07:41.431+01:00,2026-09-07T04:07:41.431309+01:00,1641,828,828,4008943,28528358,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
0.0022984000097494572,2026-09-07T04:07:41.431+01:00,2026-09-07T04:07:41.431309+01:00,2469,1032,1032,4008944,28528363,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
0.0022984000097494572,2026-09-07T04:07:41.431+01:00,2026-09-07T04:07:41.431309+01:00,3501,888,888,4008945,28528368,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
0.011424900003476068,2026-09-07T04:07:41.440+01:00,2026-09-07T04:07:41.440436+01:00,4389,1018,1018,4008946,28528374,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
0.012084599991794676,2026-09-07T04:07:41.441+01:00,2026-09-07T04:07:41.441096+01:00,5407,1028,1028,4008947,28528379,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
0.02086240000789985,2026-09-07T04:07:41.449+01:00,2026-09-07T04:07:41.449873+01:00,6435,996,996,4008948,28528384,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
0.022296400013146922,2026-09-07T04:07:41.451+01:00,2026-09-07T04:07:41.451307+01:00,7431,1034,1034,4008949,28528390,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
0.027648799994494766,2026-09-07T04:07:41.456+01:00,2026-09-07T04:07:41.456660+01:00,8465,1068,1068,4008950,28528395,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
0.03803560000960715,2026-09-07T04:07:41.467+01:00,2026-09-07T04:07:41.467047+01:00,9533,1054,1054,4008951,28528400,True,True,0x02,"MODE_TRANSITION,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,DELTA,NONE,NONE",False,
