run_id,started_at,mode,condition,N,target_hz,modules,block,batch_id,repeat,old_relative_path,new_relative_path,duration_s,main_duration_s,main_packets,main_status,full_status,full_review_reasons,main_rate_Hz,main_Lmean_B,main_packet_Mbit_s,main_raw_arrival_Mbit_s,main_K_ESKD_mean,main_q_ESKF,main_ESKF_count,main_ESKD_count,source_local_firmware,deployment_confirmed,main_eligible,main_review_reasons,main_outer_crc_errors,main_outer_missing_sequence_numbers,main_missing_valid_expected_updates,main_interior_unassigned_raw_bytes,source_review,timing_note,replacement_batch_id,primary_matrix_selected,selection_reason,pc_max_completion_gap_ms,host_max_enqueue_gap_ms,host_packet_span_rate_Hz,independent_raw_audit,load_layers,load_description,independent_review_reasons,main_inner_sequence_events,recorded_condition,dataset_role,dynamic_analysis_selected,main_q_ESKF_pct,actual_load_protocol,loading_relationship_between_modules,independent_main_status,main_equal_rate_FULL_saving_pct,dynamic_batch_eligible,dynamic_selection_reason
20260907_050453_154588,2026-09-07T05:04:53.154588+01:00,DELTA,large_area,1,200,M1,1,BATCH_186513a0ad4b411b80b5bd09c7d05b91,1,20260907_050453_154588,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area/Batch_20260907_050453_154588/Repeat_1,40.00356099999044,30.00356099999044,6004,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.10958032621238,278.4723517654897,0.4457998835539642,0.4458001501889813,74.53487592219986,0.006662225183211193,40,5964,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_followup_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,47.57840000092983,7,200.14670089687593,PASS,unspecified,大面积动态加载，与上一批相同,,0,zero_load,dynamic_load,True,0.6662225183211192,large_area_dynamic,,PASS,74.31066865632015,True,complete_three_window_batch_passed
20260907_050533_183636,2026-09-07T05:05:33.183636+01:00,DELTA,large_area,1,200,M1,1,BATCH_186513a0ad4b411b80b5bd09c7d05b91,2,20260907_050533_183636,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area/Batch_20260907_050453_154588/Repeat_2,40.00399400002789,30.003994000027888,6002,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.040034669865,281.1129623458847,0.44987077387055385,0.449871040501723,76.13409319477037,0.005998000666444518,36,5966,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_followup_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,17.20000000204891,7,200.06667777962994,PASS,unspecified,大面积动态加载，与上一批相同,,0,zero_load,dynamic_load,True,0.5998000666444518,large_area_dynamic,,PASS,74.06706989429108,True,complete_three_window_batch_passed
20260907_050613_222506,2026-09-07T05:06:13.222506+01:00,DELTA,large_area,1,200,M1,1,BATCH_186513a0ad4b411b80b5bd09c7d05b91,3,20260907_050613_222506,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area/Batch_20260907_050453_154588/Repeat_3,40.00127799998154,30.00127799998154,6003,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.09147610324112,287.671830751291,0.4604854499867806,0.46048571664208776,79.83609576427256,0.004997501249375313,30,5973,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_followup_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,17.568400013260543,7,200.09334577943727,PASS,unspecified,大面积动态加载，与上一批相同,,0,zero_load,dynamic_load,True,0.49975012493753124,large_area_dynamic,,PASS,73.46200823327574,True,complete_three_window_batch_passed
20260907_051941_159689,2026-09-07T05:19:41.159689+01:00,DELTA,large_area,1,200,M1,1,BATCH_01a68db283d446ceb790e6516fb50a79,1,20260907_051941_159689,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area_press_release/Repeat_1,40.00419019997935,30.004190199979348,6012,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.3720133731234,222.18263473053892,0.35615345486002664,0.35615345486002664,46.857883297107506,0.005156353958749168,31,5981,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_press_release_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,18.224200000986457,7,200.3599880004,PASS,unspecified,大面积反复按压、释放,,0,zero_load,dynamic_load,True,0.5156353958749168,repeated_press_release,,PASS,79.50344698057759,True,complete_three_window_batch_passed
20260907_052021_196300,2026-09-07T05:20:21.196300+01:00,DELTA,large_area,1,200,M1,1,BATCH_01a68db283d446ceb790e6516fb50a79,2,20260907_052021_196300,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area_press_release/Repeat_2,40.000933600007556,30.000933600007556,6014,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.4604283380863,208.2840039906884,0.3340216052475606,0.3340216052475606,39.94685828877005,0.004988360492184902,30,5984,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_press_release_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,46.16120000719093,7,200.3798986936817,PASS,unspecified,大面积反复按压、释放,,0,zero_load,dynamic_load,True,0.49883604921849023,repeated_press_release,,PASS,80.78560848794388,True,complete_three_window_batch_passed
20260907_052101_230925,2026-09-07T05:21:01.230925+01:00,DELTA,large_area,1,200,M1,1,BATCH_01a68db283d446ceb790e6516fb50a79,3,20260907_052101_230925,DELTA/Dynamic_load/N=1/200Hz/M1/Large_area_press_release/Repeat_3,40.00004310000804,30.000043100008043,6013,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file,200.4330453778044,201.4455346748711,0.3230107359411561,0.3230107359411561,36.51011198395454,0.004989190088142358,30,5983,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_press_release_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,19.420000026002526,7,200.4200420042004,PASS,unspecified,大面积反复按压、释放,,0,zero_load,dynamic_load,True,0.4989190088142358,repeated_press_release,,PASS,81.41646359087905,True,complete_three_window_batch_passed
20260907_053858_001637,2026-09-07T05:38:58.001637+01:00,DELTA,rolling,1,200,M1,1,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,1,20260907_053858_001637,DELTA/Dynamic_load/N=1/200Hz/M1/Rolling/Repeat_1,40.00081779999891,30.000817799998913,6010,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.3278723955391,344.8402662229617,0.5526489347900577,0.5526489347900577,108.56605351170569,0.004991680532445923,30,5980,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_rolling_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,15.997100010281429,7,200.29332355588147,PASS,unspecified,rolling（滚动加载）,,0,zero_load,dynamic_load,True,0.49916805324459235,rolling,,PASS,68.18816732260501,True,complete_three_window_batch_passed
20260907_053938_027960,2026-09-07T05:39:38.027960+01:00,DELTA,rolling,1,200,M1,1,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,2,20260907_053938_027960,DELTA/Dynamic_load/N=1/200Hz/M1/Rolling/Repeat_2,40.003481899999315,30.003481899999315,6011,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.34341414221453,364.88704042588586,0.5848217236413618,0.5848219902770818,118.64002675137937,0.004990850108135086,30,5981,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_rolling_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,24.662099982379004,7,200.36004800640086,PASS,unspecified,rolling（滚动加载）,,0,zero_load,dynamic_load,True,0.4990850108135086,rolling,,PASS,66.33883390905112,True,complete_three_window_batch_passed
20260907_054018_056649,2026-09-07T05:40:18.056649+01:00,DELTA,rolling,1,200,M1,1,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,3,20260907_054018_056649,DELTA/Dynamic_load/N=1/200Hz/M1/Rolling/Repeat_3,40.00060110000777,30.00060110000777,6012,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file,200.39598473240068,363.42781104457754,0.5826357925873517,0.5826357925873517,117.9070544968238,0.00499001996007984,30,5982,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_rolling_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,17.750400002114475,7,200.3867053372004,PASS,unspecified,rolling（滚动加载）,,0,zero_load,dynamic_load,True,0.499001996007984,rolling,,PASS,66.47344916562939,True,complete_three_window_batch_passed
20260907_054752_155421,2026-09-07T05:47:52.155421+01:00,DELTA,large_area,2,200,M1_M3,1,BATCH_29a9913ec9454e27a7c47e72af6171f5,1,20260907_054752_155421,DELTA/Dynamic_load/N=2/200Hz/M1_M3/Large_area_simultaneous/Repeat_1,40.003281000012066,30.003281000012066,5989,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file,199.61150248859755,523.6276506929371,0.8361768167951336,0.8361768167951336,76.17609481381861,0.006762397729170145,81,11897,four-module-variable-spi,False,True,,0,0,0,0,20260907_n2_large_area_review,PC completion rate is not physical scan rate; see independent audit and timing evidence.,,False,dynamic condition; kept separate from the 90-run zero-load matrix,48.59400002169423,7,199.6066535551185,PASS,unspecified,N=2 大面积覆盖测试，同时覆盖、加载 M1 和 M3,,0,zero_load,dynamic_load,True,0.6762397729170145,large_area_coverage,simultaneous_coverage_and_loading_of_both_modules,PASS,75.39343746743717,True,complete_three_window_batch_passed
