slot,N,temporal_window_n,combination_n,batch_n,comparison_scope,K_ESKD_mean,K_ESKD_sample_sd,K_ESKD_known_n,K1_ESKD_mean,K1_ESKD_sample_sd,K1_ESKD_known_n,K2_ESKD_mean,K2_ESKD_sample_sd,K2_ESKD_known_n,q_ESKF_mean,q_ESKF_sample_sd,q_ESKF_known_n,K_ESKD_between_combination_sample_sd,K1_ESKD_between_combination_sample_sd,K2_ESKD_between_combination_sample_sd,q_ESKF_between_combination_sample_sd
M0,1,3,1,1,same CS slot; physical board identity unverified,8.61386217332981,0.9199429776884199,3,4.713075465342657,0.9303936011064351,3,3.9007867079871548,0.03291506923557038,3,0.005052178277623434,9.542514509768941e-05,3,,,,
M0,2,9,3,3,same CS slot; physical board identity unverified,5.652766618968965,1.3184270348870255,9,5.351123143012475,1.3168244976063341,9,0.3016434759564897,0.10211927938692915,9,0.005015302675096617,4.831395257116648e-05,9,1.1810024464183604,1.192908525508246,0.10379007355767339,2.7119134494912124e-05
M0,3,9,3,3,same CS slot; physical board identity unverified,8.293044181065277,6.0044056729715445,9,6.764945473064721,4.073564171512528,9,1.5280987080005548,1.9620309464042898,9,0.0049960219566980504,1.2324634433661022e-06,9,6.360328016392265,4.267921999607877,2.1034589883895882,1.154556132696356e-06
M0,4,3,1,1,same CS slot; physical board identity unverified,6.752843782382719,1.5317161479579386,3,6.193303955262138,1.4095960959386962,3,0.55953982712058,0.1246591582036966,3,0.004984551745044749,2.0987506216377936e-05,3,,,,
M1,1,3,1,1,same CS slot; physical board identity unverified,0.7111242736894257,0.015177155960383546,3,0.43679644589882083,0.007362471597325767,3,0.27432782779060483,0.010723161535738011,3,0.004991126916238698,4.79445699403703e-07,3,,,,
M1,2,9,3,3,same CS slot; physical board identity unverified,3.7636014576279004,3.3847931707479257,9,1.2431742633226435,1.3338073096583585,9,2.520427194305257,2.070436862121237,9,0.004984117649546331,3.1277705298507876e-05,9,3.657910104188752,1.3617016559241903,2.29620922860127,2.103036957539183e-05
M1,3,9,3,3,same CS slot; physical board identity unverified,3.1836122575635346,1.5213509970070846,9,1.1129750881780982,0.5849622222025351,9,2.0706371693854364,0.96572581701866,9,0.004995282479704236,1.176492560037412e-06,9,1.70358765226804,0.6433241078536803,1.0602728387371563,9.606221322421284e-07
M1,4,3,1,1,same CS slot; physical board identity unverified,2.1868808565071287,0.7060159637437395,3,0.6253968756491878,0.10396246422026097,3,1.5614839808579408,0.606113870834194,3,0.005039666383492721,7.447384781629828e-05,3,,,,
M2,1,3,1,1,same CS slot; physical board identity unverified,21.02540823768987,0.3105319397351305,3,20.851632893470157,0.29513509606343946,3,0.17377534421971466,0.020448212513985122,3,0.0049955600874753035,2.093282064191777e-06,3,,,,
M2,2,9,3,3,same CS slot; physical board identity unverified,21.912930331734504,0.7717182712997412,9,21.66951583872123,0.8136679699369909,9,0.24341449301327045,0.07679449321347072,9,0.00499325674910587,6.2109160901665545e-06,9,0.4556431181490177,0.5426521837971204,0.08739742273590387,2.2133230731912175e-06
M2,3,9,3,3,same CS slot; physical board identity unverified,20.564220944017272,4.868034363106105,9,20.11919542075845,4.718246010674807,9,0.4450255232588189,0.2926606605312592,9,0.004995467356637947,1.255517382837663e-06,9,2.83300317444554,2.5512877812111774,0.3228352836566183,1.2808383743001052e-06
M2,4,3,1,1,same CS slot; physical board identity unverified,24.59656912534353,0.29000760691182637,3,23.522339112929412,0.14659529581926928,3,1.0742300124141209,0.2896215643257575,3,0.004984551745044749,2.0987506216377936e-05,3,,,,
M3,1,3,1,1,same CS slot; physical board identity unverified,2.67283717153192,0.1829484432433545,3,0.7175144102236826,0.1264588358093615,3,1.9553227613082376,0.15990895410685305,3,0.004996680820043489,9.46179394815563e-06,3,,,,
M3,2,9,3,3,same CS slot; physical board identity unverified,3.2355195379310415,0.5245957840879126,9,1.3041147990840758,0.5126850784671485,9,1.931404738846966,0.4187102860636854,9,0.004985140724349974,3.223860882358882e-05,9,0.3351621569295324,0.28731062627851983,0.45698055922662123,2.2408151271146237e-05
M3,3,9,3,3,same CS slot; physical board identity unverified,4.367285883241365,1.059433795655868,9,2.372274247651777,1.2374568439147264,9,1.9950116355895884,0.43600581735861244,9,0.005014525086738969,5.545506602940465e-05,9,0.7415059679679422,0.8801645421334187,0.42720732676264944,3.092884769136055e-05
M3,4,3,1,1,same CS slot; physical board identity unverified,6.6412011779266225,0.551700984221625,3,2.656308795593653,0.8233035287905994,3,3.98489238233297,0.47691795141621546,3,0.004984551745044749,2.0987506216377936e-05,3,,,,
