N,modules,delta_temporal_repeat_n,full_temporal_repeat_n,delta_batch_id,full_batch_id,delta_run_ids,full_run_ids,full_Lmean_B,full_raw_rate_Mbit_s_mean,full_raw_rate_Mbit_s_sample_sd,full_rate_Hz_mean,equal_rate_USB_reduction_pct_mean,equal_rate_USB_reduction_pct_sample_sd,equal_rate_module_payload_reduction_pct_mean,equal_rate_module_payload_reduction_pct_sample_sd,observed_raw_rate_reduction_pct,comparison_basis
1,M0,3,3,BATCH_2f989cb36d334ac587213f1a297dc628,BATCH_a3da6b70a7684d359fd18d817b963390,20260907_013132_404213;20260907_013212_470890;20260907_013252_522986,20260906_225934_745706;20260906_230014_784220;20260906_230054_835519,1084.0,1.735270763077039,0.0002102277229067094,200.100390372608,86.53221338340173,0.16702191077748482,89.84762385786156,0.17342121770382699,86.53064044736483,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
1,M1,3,3,BATCH_8bcb3e1a139a4809be4bd491c4a085c4,BATCH_d49624f461e24a80b1176d3a6386840c,20260907_013403_341631;20260907_013443_415053;20260907_013523_479494,20260906_230200_451593;20260906_230240_486802;20260906_230320_515930,1084.0,1.7376397635364376,0.0004569844258505209,200.3735582207302,87.98831810253262,0.0027664550454773377,91.35951802983273,0.002872449491661444,87.99042685332587,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
1,M2,3,3,BATCH_b2fdee22f9b94a5f97759036b00fa981,BATCH_bd456b8e61be480ca230158c349c63e4,20260907_013624_365237;20260907_013704_454625;20260907_013744_540625,20260906_230445_150722;20260906_230525_193234;20260906_230605_248880,1084.0,1.7361094821910459,0.00016842301029596846,200.1970958882664,84.25862675600422,0.057174078811714574,87.48692663171319,0.059364656543959,84.26089698703171,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
1,M3,3,3,BATCH_6f194970f8d14e3c94be44510f39fa22,BATCH_cc0eb326656541f899210da5cd6ce59e,20260907_013917_548818;20260907_013957_653007;20260907_014038_027023,20260906_230909_089519;20260906_230949_124162;20260906_231029_180830,1084.0,1.7372744890607865,0.000429272457195377,200.33143708789476,87.6276959021286,0.03391262484561645,90.98507888688447,0.03521195913089962,87.64810461729373,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
2,M0_M1,3,3,BATCH_dfc2ebbd8db041c5b2d9018b1dee2619,BATCH_011a17c511724e4c87760f72a6433c4a,20260907_014203_200469;20260907_014243_220995;20260907_014323_266112,20260906_234631_872633;20260906_234711_905577;20260906_234751_945640,2128.0,3.406062058392866,0.0002735188578106335,200.07411840612573,89.03008333419984,0.11160747781677438,90.735640486196,0.11374555210445174,89.02760483638801,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
2,M0_M2,3,3,BATCH_7f9647ea41b9438fa2f830b83baf29c6,BATCH_8b70d810a0494c63acc0cb8f81cf45f4,20260907_014425_784635;20260907_014505_874750;20260907_014545_965962,20260906_232205_264776;20260906_232245_299955;20260906_232325_329233,2128.0,3.4063798118154027,0.000619575307046796,200.09278865480894,87.35894448197789,0.18768441922306553,89.03248747971693,0.19127990618136181,87.34446146502216,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
2,M0_M3,3,3,BATCH_b99cdc1d65b44cb59677a2c5e3e39f6a,BATCH_990964af54fc4a8e9e474a2376acbf02,20260907_014715_022979;20260907_014755_224321;20260907_014835_279154,20260906_232950_210894;20260906_233030_242504;20260906_233110_283624,2128.0,3.407359634530753,0.00028286520035762224,200.15034402957784,88.89724999551257,0.12235929857526072,90.6002624475339,0.12470334644068487,88.91349386589972,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
2,M1_M2,3,3,BATCH_87a8929733aa49f48b160c96f56b245f,BATCH_9870b18f5c6f405aba45d08917c5bf8e,20260907_014946_645414;20260907_015026_779606;20260907_015106_825879,20260906_233400_039763;20260906_233440_083230;20260906_233520_115774,2128.0,3.4083501909497174,0.0003918400958917708,200.2085299100343,87.50288906796172,0.017986156924307925,89.17918962481922,0.01833071931749293,87.50924444349747,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
2,M1_M3,3,3,BATCH_949b70f5ee8047728fe43b97d160acd0,BATCH_d441cd5ac6fb45fe847fa468454f1d8b,20260907_015217_328962;20260907_015257_395753;20260907_015337_478535,20260906_233935_041252;20260906_234015_080026;20260906_234055_124089,2128.0,3.4115587568320476,0.0004880559428294428,200.39700299971162,88.74744093793265,0.22689904413898956,90.44758348463634,0.23124576912250094,88.68061498526792,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
2,M2_M3,3,3,BATCH_d8bda735d5aa42709b25fbc143ad2769,BATCH_9161ebb9271141febb469a6abcd14cb4,20260907_015550_103879;20260907_015630_225115;20260907_015710_248741,20260906_234339_617031;20260906_234419_667943;20260906_234459_699129,2128.0,3.4082396729294477,0.00036754584586190926,200.20203279427105,87.41595629082632,0.02599560546385496,89.0905914688115,0.02649360556853053,87.41505209579049,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
3,M0_M1_M2,3,3,BATCH_5fbbc50f1d3f4cbc9371467ee380b749,BATCH_6b6313d281364eaa891ce82942b3d531,20260907_020547_996772;20260907_020628_047087;20260907_020708_105510,20260907_004948_668301;20260907_005028_724004;20260907_005108_797842,3172.0,5.077343835505069,0.0014602531696287064,200.08447929677854,87.71601217120852,0.28499098126976286,88.83626775449343,0.2886307128313145,87.7091867585371,USB-byte reduction at equal actual f uses L; raw-rate comparison uses each campaign actual rate; runs are not paired
