link,model,frequency_Hz,reference,raw_Mbit_s,continuous_N,integer_modules_at_reference,payload_B_per_module,mean_K_D_per_ESKD,within_figure_domain,M_policy,assumptions,q_ESKF_total,q_basis,T_sync_s
USB,FULL,200,USB HS raw signaling,480.0,286.23664122137404,286,1044.0,,True,"current M=4; extrapolation uses M=max(4,N), N<=M",application mean bytes vs raw signaling; H(M)=24+4M; segmentation overhead excluded; FULL every frame,1.0,FULL_every_frame,1.0
USB,Mean DELTA K_D=0,200,USB HS raw signaling,480.0,3408.818181818182,3408,84.0,0,False,"current M=4; extrapolation uses M=max(4,N), N<=M",application mean bytes vs raw signaling; H(M)=24+4M; segmentation overhead excluded; q=0 ordinary-ESKD bound; no ESKF,0.0,no_ESKF_bound,1.0
USB,Mean DELTA K_D=27,200,USB HS raw signaling,480.0,2112.507042253521,2112,138.0,27,False,"current M=4; extrapolation uses M=max(4,N), N<=M",application mean bytes vs raw signaling; H(M)=24+4M; segmentation overhead excluded; q=0 ordinary-ESKD bound; no ESKF,0.0,no_ESKF_bound,1.0
USB,Mean DELTA K_D=240,200,USB HS raw signaling,480.0,528.1267605633802,528,564.0,240,True,"current M=4; extrapolation uses M=max(4,N), N<=M",application mean bytes vs raw signaling; H(M)=24+4M; segmentation overhead excluded; q=0 ordinary-ESKD bound; no ESKF,0.0,no_ESKF_bound,1.0
USB,Mean DELTA K_D=480,200,USB HS raw signaling,480.0,286.23664122137404,286,1044.0,480,True,"current M=4; extrapolation uses M=max(4,N), N<=M",application mean bytes vs raw signaling; H(M)=24+4M; segmentation overhead excluded; q=0 ordinary-ESKD bound; no ESKF,0.0,no_ESKF_bound,1.0
USB,Mean DELTA K_D=0,200,USB HS raw signaling,480.0,3232.5,3232,88.8,0,False,"current M=4; extrapolation uses M=max(4,N), N<=M",application mean bytes vs raw signaling; H(M)=24+4M; segmentation overhead excluded; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement,0.005,nominal_periodic_only,1.0
USB,Mean DELTA K_D=27,200,USB HS raw signaling,480.0,2047.1985258991333,2047,142.53,27,False,"current M=4; extrapolation uses M=max(4,N), N<=M",application mean bytes vs raw signaling; H(M)=24+4M; segmentation overhead excluded; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement,0.005,nominal_periodic_only,1.0
USB,Mean DELTA K_D=240,200,USB HS raw signaling,480.0,525.9046283309958,525,566.4,240,True,"current M=4; extrapolation uses M=max(4,N), N<=M",application mean bytes vs raw signaling; H(M)=24+4M; segmentation overhead excluded; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement,0.005,nominal_periodic_only,1.0
USB,Mean DELTA K_D=480,200,USB HS raw signaling,480.0,286.23664122137404,286,1044.0,480,True,"current M=4; extrapolation uses M=max(4,N), N<=M",application mean bytes vs raw signaling; H(M)=24+4M; segmentation overhead excluded; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement,0.005,nominal_periodic_only,1.0
HOST_SPI,FULL,200,10 MHz tested setting: 10 Mbit/s raw,10.0,5.986590038314176,5,1044.0,,True,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; FULL every frame",1.0,FULL_every_frame,1.0
