N,M_configured_slots,frequency_Hz,FULL_Mbit_s,DELTA_K0_Mbit_s,DELTA_K240_Mbit_s,DELTA_K480_Mbit_s,USB_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_Mbit_s,DELTA_K240_no_ESKF_bound_Mbit_s,DELTA_K480_no_ESKF_bound_Mbit_s
1,4,0,0.0,0.0,0.0,0.0,480.0,0.0,1.0,0.0,0.0,0.0
1,4,25,0.2168,0.03248,0.12463999999999999,0.2168,480.0,0.04,1.0,0.0248,0.1208,0.2168
1,4,50,0.4336,0.05727999999999999,0.24544,0.4336,480.0,0.02,1.0,0.0496,0.2416,0.4336
1,4,75,0.6504,0.08208,0.36624,0.6504,480.0,0.013333333333333334,1.0,0.0744,0.3624,0.6504
1,4,100,0.8672,0.10688,0.4870400000000001,0.8672,480.0,0.01,1.0,0.0992,0.4832,0.8672
1,4,125,1.084,0.13168,0.6078399999999999,1.084,480.0,0.008,1.0,0.124,0.604,1.084
1,4,150,1.3008,0.15648,0.72864,1.3008,480.0,0.006666666666666667,1.0,0.1488,0.7248,1.3008
1,4,175,1.5176,0.18128,0.84944,1.5176,480.0,0.005714285714285714,1.0,0.1736,0.8456,1.5176
1,4,200,1.7344,0.20608000000000004,0.97024,1.7344,480.0,0.005,1.0,0.1984,0.9664,1.7344
1,4,225,1.9512,0.23087999999999997,1.09104,1.9512,480.0,0.0044444444444444444,1.0,0.2232,1.0872,1.9512
1,4,250,2.168,0.25568,1.2118400000000003,2.168,480.0,0.004,1.0,0.248,1.208,2.168
1,4,275,2.3848,0.28048,1.3326399999999998,2.3848,480.0,0.0036363636363636364,1.0,0.2728,1.3288,2.3848
1,4,300,2.6016,0.30528,1.45344,2.6016,480.0,0.0033333333333333335,1.0,0.2976,1.4496,2.6016
1,4,325,2.8184,0.33008,1.57424,2.8184,480.0,0.003076923076923077,1.0,0.3224,1.5704,2.8184
