N,M_configured_slots,frequency_Hz,FULL_Mbit_s,DELTA_K0_Mbit_s,DELTA_K240_Mbit_s,DELTA_K480_Mbit_s,USB_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_Mbit_s,DELTA_K240_no_ESKF_bound_Mbit_s,DELTA_K480_no_ESKF_bound_Mbit_s
1,4,200,1.7344,0.20608000000000004,0.97024,1.7344,480.0,0.005,1.0,0.1984,0.9664,1.7344
2,4,200,3.4048,0.34816,1.87648,3.4048,480.0,0.005,1.0,0.3328,1.8688,3.4048
3,4,200,5.0752,0.49023999999999995,2.7827199999999994,5.0752,480.0,0.005,1.0,0.4672,2.7712,5.0752
4,4,200,6.7456,0.63232,3.68896,6.7456,480.0,0.005,1.0,0.6016,3.6736,6.7456
5,5,200,8.4224,0.7808,4.6016,8.4224,480.0,0.005,1.0,0.7424,4.5824,8.4224
6,6,200,10.0992,0.9292799999999999,5.514239999999999,10.0992,480.0,0.005,1.0,0.8832,5.4912,10.0992
7,7,200,11.776,1.07776,6.42688,11.776,480.0,0.005,1.0,1.024,6.4,11.776
8,8,200,13.4528,1.22624,7.33952,13.4528,480.0,0.005,1.0,1.1648,7.3088,13.4528
9,9,200,15.1296,1.37472,8.25216,15.1296,480.0,0.005,1.0,1.3056,8.2176,15.1296
10,10,200,16.8064,1.5232,9.1648,16.8064,480.0,0.005,1.0,1.4464,9.1264,16.8064
11,11,200,18.4832,1.67168,10.07744,18.4832,480.0,0.005,1.0,1.5872,10.0352,18.4832
12,12,200,20.16,1.8201599999999998,10.990079999999999,20.16,480.0,0.005,1.0,1.728,10.944,20.16
13,13,200,21.8368,1.9686399999999997,11.90272,21.8368,480.0,0.005,1.0,1.8688,11.8528,21.8368
14,14,200,23.5136,2.11712,12.81536,23.5136,480.0,0.005,1.0,2.0096,12.7616,23.5136
15,15,200,25.1904,2.2656,13.728,25.1904,480.0,0.005,1.0,2.1504,13.6704,25.1904
16,16,200,26.8672,2.41408,14.64064,26.8672,480.0,0.005,1.0,2.2912,14.5792,26.8672
17,17,200,28.544,2.56256,15.553279999999997,28.544,480.0,0.005,1.0,2.432,15.488,28.544
18,18,200,30.2208,2.71104,16.465919999999997,30.2208,480.0,0.005,1.0,2.5728,16.3968,30.2208
19,19,200,31.8976,2.85952,17.37856,31.8976,480.0,0.005,1.0,2.7136,17.3056,31.8976
20,20,200,33.5744,3.008,18.2912,33.5744,480.0,0.005,1.0,2.8544,18.2144,33.5744
21,21,200,35.2512,3.15648,19.20384,35.2512,480.0,0.005,1.0,2.9952,19.1232,35.2512
22,22,200,36.928,3.30496,20.11648,36.928,480.0,0.005,1.0,3.136,20.032,36.928
23,23,200,38.6048,3.4534399999999996,21.02912,38.6048,480.0,0.005,1.0,3.2768,20.9408,38.6048
24,24,200,40.2816,3.6019199999999993,21.941759999999995,40.2816,480.0,0.005,1.0,3.4176,21.8496,40.2816
25,25,200,41.9584,3.7504,22.8544,41.9584,480.0,0.005,1.0,3.5584,22.7584,41.9584
26,26,200,43.6352,3.8988799999999997,23.76704,43.6352,480.0,0.005,1.0,3.6992,23.6672,43.6352
27,27,200,45.312,4.04736,24.67968,45.312,480.0,0.005,1.0,3.84,24.576,45.312
28,28,200,46.9888,4.19584,25.59232,46.9888,480.0,0.005,1.0,3.9808,25.4848,46.9888
29,29,200,48.6656,4.34432,26.504959999999997,48.6656,480.0,0.005,1.0,4.1216,26.3936,48.6656
30,30,200,50.3424,4.4928,27.4176,50.3424,480.0,0.005,1.0,4.2624,27.3024,50.3424
31,31,200,52.0192,4.64128,28.330239999999996,52.0192,480.0,0.005,1.0,4.4032,28.2112,52.0192
32,32,200,53.696,4.78976,29.24288,53.696,480.0,0.005,1.0,4.544,29.12,53.696
