N,frequency_Hz,DELTA_K0_SPI_Mbit_s,DELTA_K240_SPI_Mbit_s,DELTA_K480_SPI_Mbit_s,configured_raw_Mbit_s,hypothetical_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_SPI_Mbit_s,DELTA_K240_no_ESKF_bound_SPI_Mbit_s,DELTA_K480_no_ESKF_bound_SPI_Mbit_s
1,0,0.0,0.0,0.0,10.0,40.0,0.0,1.0,0.0,0.0,0.0
1,25,0.02448,0.11663999999999998,0.2088,10.0,40.0,0.04,1.0,0.0168,0.1128,0.2088
1,50,0.04127999999999999,0.22944,0.4176,10.0,40.0,0.02,1.0,0.0336,0.2256,0.4176
1,75,0.05808,0.34224,0.6264,10.0,40.0,0.013333333333333334,1.0,0.0504,0.3384,0.6264
1,100,0.07488,0.45504000000000006,0.8352,10.0,40.0,0.01,1.0,0.0672,0.4512,0.8352
1,125,0.09168,0.5678399999999999,1.044,10.0,40.0,0.008,1.0,0.084,0.564,1.044
1,150,0.10848,0.68064,1.2528,10.0,40.0,0.006666666666666667,1.0,0.1008,0.6768,1.2528
1,175,0.12528,0.79344,1.4616,10.0,40.0,0.005714285714285714,1.0,0.1176,0.7896,1.4616
1,200,0.14208,0.90624,1.6704,10.0,40.0,0.005,1.0,0.1344,0.9024,1.6704
1,225,0.15888,1.01904,1.8792,10.0,40.0,0.0044444444444444444,1.0,0.1512,1.0152,1.8792
1,250,0.17568,1.1318400000000002,2.088,10.0,40.0,0.004,1.0,0.168,1.128,2.088
1,275,0.19248,1.2446399999999997,2.2968,10.0,40.0,0.0036363636363636364,1.0,0.1848,1.2408,2.2968
1,300,0.20928,1.35744,2.5056,10.0,40.0,0.0033333333333333335,1.0,0.2016,1.3536,2.5056
1,325,0.22607999999999998,1.47024,2.7144,10.0,40.0,0.003076923076923077,1.0,0.2184,1.4664,2.7144
1,350,0.24287999999999996,1.5830399999999998,2.9232,10.0,40.0,0.002857142857142857,1.0,0.2352,1.5792,2.9232
1,375,0.25968,1.69584,3.132,10.0,40.0,0.0026666666666666666,1.0,0.252,1.692,3.132
1,400,0.27648,1.8086400000000002,3.3408,10.0,40.0,0.0025,1.0,0.2688,1.8048,3.3408
1,425,0.29328,1.9214400000000005,3.5496,10.0,40.0,0.002352941176470588,1.0,0.2856,1.9176,3.5496
1,450,0.31008,2.03424,3.7584,10.0,40.0,0.0022222222222222222,1.0,0.3024,2.0304,3.7584
1,475,0.32687999999999995,2.1470400000000005,3.9672,10.0,40.0,0.002105263157894737,1.0,0.3192,2.1432,3.9672
1,500,0.34367999999999993,2.2598399999999996,4.176,10.0,40.0,0.002,1.0,0.336,2.256,4.176
1,525,0.3604800000000001,2.37264,4.384800000000001,10.0,40.0,0.0019047619047619048,1.0,0.3528,2.3688,4.3848
