N,frequency_Hz,DELTA_K0_SPI_Mbit_s,DELTA_K240_SPI_Mbit_s,DELTA_K480_SPI_Mbit_s,configured_raw_Mbit_s,hypothetical_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_SPI_Mbit_s,DELTA_K240_no_ESKF_bound_SPI_Mbit_s,DELTA_K480_no_ESKF_bound_SPI_Mbit_s
1,200,0.14208,0.90624,1.6704,10.0,40.0,0.005,1.0,0.1344,0.9024,1.6704
2,200,0.28416,1.81248,3.3408,10.0,40.0,0.005,1.0,0.2688,1.8048,3.3408
3,200,0.42623999999999995,2.7187199999999994,5.0112,10.0,40.0,0.005,1.0,0.4032,2.7072,5.0112
4,200,0.56832,3.62496,6.6816,10.0,40.0,0.005,1.0,0.5376,3.6096,6.6816
5,200,0.7104,4.5312,8.352,10.0,40.0,0.005,1.0,0.672,4.512,8.352
6,200,0.8524799999999999,5.437439999999999,10.0224,10.0,40.0,0.005,1.0,0.8064,5.4144,10.0224
7,200,0.99456,6.34368,11.6928,10.0,40.0,0.005,1.0,0.9408,6.3168,11.6928
8,200,1.13664,7.24992,13.3632,10.0,40.0,0.005,1.0,1.0752,7.2192,13.3632
9,200,1.27872,8.15616,15.0336,10.0,40.0,0.005,1.0,1.2096,8.1216,15.0336
10,200,1.4208,9.0624,16.704,10.0,40.0,0.005,1.0,1.344,9.024,16.704
11,200,1.56288,9.96864,18.3744,10.0,40.0,0.005,1.0,1.4784,9.9264,18.3744
12,200,1.7049599999999998,10.874879999999997,20.0448,10.0,40.0,0.005,1.0,1.6128,10.8288,20.0448
13,200,1.8470399999999998,11.78112,21.7152,10.0,40.0,0.005,1.0,1.7472,11.7312,21.7152
14,200,1.98912,12.68736,23.3856,10.0,40.0,0.005,1.0,1.8816,12.6336,23.3856
15,200,2.1312,13.5936,25.056,10.0,40.0,0.005,1.0,2.016,13.536,25.056
16,200,2.27328,14.49984,26.7264,10.0,40.0,0.005,1.0,2.1504,14.4384,26.7264
17,200,2.41536,15.406079999999998,28.3968,10.0,40.0,0.005,1.0,2.2848,15.3408,28.3968
18,200,2.55744,16.31232,30.0672,10.0,40.0,0.005,1.0,2.4192,16.2432,30.0672
19,200,2.69952,17.21856,31.7376,10.0,40.0,0.005,1.0,2.5536,17.1456,31.7376
20,200,2.8416,18.1248,33.408,10.0,40.0,0.005,1.0,2.688,18.048,33.408
21,200,2.98368,19.03104,35.0784,10.0,40.0,0.005,1.0,2.8224,18.9504,35.0784
22,200,3.12576,19.93728,36.7488,10.0,40.0,0.005,1.0,2.9568,19.8528,36.7488
23,200,3.26784,20.84352,38.4192,10.0,40.0,0.005,1.0,3.0912,20.7552,38.4192
24,200,3.4099199999999996,21.749759999999995,40.0896,10.0,40.0,0.005,1.0,3.2256,21.6576,40.0896
25,200,3.552,22.656,41.76,10.0,40.0,0.005,1.0,3.36,22.56,41.76
26,200,3.6940799999999996,23.56224,43.4304,10.0,40.0,0.005,1.0,3.4944,23.4624,43.4304
27,200,3.83616,24.46848,45.1008,10.0,40.0,0.005,1.0,3.6288,24.3648,45.1008
28,200,3.97824,25.37472,46.7712,10.0,40.0,0.005,1.0,3.7632,25.2672,46.7712
29,200,4.1203199999999995,26.280959999999997,48.4416,10.0,40.0,0.005,1.0,3.8976,26.1696,48.4416
30,200,4.2624,27.1872,50.112,10.0,40.0,0.005,1.0,4.032,27.072,50.112
