condition,N,run_id,measured_Hz,USB_Mbit_s,result,summary_path
FULL,1,20260901_182704,200.08868487714156,1.7351690752545716,PASS: no recorded transport/parser/cache error,data\FULL\N=1\200Hz\M0\summary.json
FULL,1,20260901_183546,200.42812487446776,1.7381126989113844,PASS: no recorded transport/parser/cache error,data\FULL\N=1\200Hz\M1\summary.json
FULL,1,20260901_183900,200.13987727703605,1.7356130157464567,PASS: no recorded transport/parser/cache error,data\FULL\N=1\200Hz\M2\summary.json
FULL,1,20260901_184014,199.67465995447085,1.7315786511251712,PASS: no recorded transport/parser/cache error,data\FULL\N=1\200Hz\M3\summary.json
FULL,2,20260901_185923,200.16265207099264,3.4075689888565788,PASS: no recorded transport/parser/cache error,data\FULL\N=2\200Hz\M0_M1\summary.json
FULL,2,20260901_190012,200.18374374537424,3.4079280535212515,PASS: no recorded transport/parser/cache error,data\FULL\N=2\200Hz\M0_M2\summary.json
FULL,2,20260901_190056,199.70034416789073,3.3996986591141716,PASS: no recorded transport/parser/cache error,data\FULL\N=2\200Hz\M0_M3\summary.json
FULL,2,20260901_190300,200.09901751391362,3.4064856741568654,PASS: no recorded transport/parser/cache error,data\FULL\N=2\200Hz\M1_M2\summary.json
FULL,2,20260901_190151,199.6533431336094,3.3988985135065666,PASS: no recorded transport/parser/cache error,data\FULL\N=2\200Hz\M1_M3\summary.json
FULL,2,20260901_190356,199.0187250460413,3.388094775183807,PASS: no recorded transport/parser/cache error,data\FULL\N=2\200Hz\M2_M3\summary.json
FULL,3,20260901_190923,200.1375633292608,5.078690807043321,PASS: no recorded transport/parser/cache error,data\FULL\N=3\200Hz\M0_M1_M2\summary.json
FULL,3,20260901_191010,199.58794222708173,5.064743621954425,PASS: no recorded transport/parser/cache error,data\FULL\N=3\200Hz\M0_M1_M3\summary.json
FULL,3,20260901_191135,199.65902305383398,5.066547369014091,PASS: no recorded transport/parser/cache error,data\FULL\N=3\200Hz\M0_M2_M3\summary.json
FULL,3,20260901_191230,199.5137643583078,5.062861284356419,PASS: no recorded transport/parser/cache error,data\FULL\N=3\200Hz\M1_M2_M3\summary.json
FULL,4,20260901_191328,199.57137348221582,6.731143284808175,PASS: no recorded transport/parser/cache error,data\FULL\N=4\200Hz\Repeat_1\summary.json
