N,assumed_frequency_Hz,FULL_model_Mbit_s,DELTA_zero_projection_Mbit_s,DELTA_full_coverage_projection_Mbit_s
1,200,1.7344,0.4423492572191621,0.9079070022256462
2,200,3.4048,0.8206985144383241,1.7518140044512927
3,200,5.0752,1.199047771657486,2.5957210066769387
4,200,6.7456,1.5773970288766483,3.4396280089025852
5,200,8.4224,1.9621462860958105,4.2899350111282315
6,200,10.0992,2.3468955433149725,5.140242013353878
7,200,11.776,2.7316448005341343,5.990549015579523
8,200,13.4528,3.1163940577532965,6.84085601780517
9,200,15.1296,3.5011433149724587,7.691163020030817
10,200,16.8064,3.8858925721916213,8.541470022256464
11,200,18.4832,4.270641829410782,9.391777024482108
12,200,20.16,4.655391086629945,10.242084026707756
13,200,21.8368,5.040140343849107,11.092391028933402
14,200,23.5136,5.424889601068268,11.942698031159047
15,200,25.1904,5.80963885828743,12.793005033384693
16,200,26.8672,6.194388115506593,13.643312035610341
17,200,28.544,6.579137372725755,14.493619037835987
18,200,30.2208,6.963886629944918,15.343926040061634
19,200,31.8976,7.34863588716408,16.19423304228728
20,200,33.5744,7.733385144383242,17.044540044512928
21,200,35.2512,8.118134401602402,17.894847046738573
22,200,36.928,8.502883658821565,18.745154048964217
23,200,38.6048,8.887632916040728,19.595461051189865
24,200,40.2816,9.27238217325989,20.44576805341551
25,200,41.9584,9.657131430479051,21.296075055641154
26,200,43.6352,10.041880687698214,22.146382057866806
27,200,45.312,10.426629944917376,22.99668906009245
28,200,46.9888,10.811379202136537,23.846996062318095
29,200,48.6656,11.196128459355698,24.697303064543743
30,200,50.3424,11.58087771657486,25.547610066769387
31,200,52.0192,11.965626973794025,26.397917068995035
32,200,53.696,12.350376231013186,27.24822407122068
33,200,55.3728,12.735125488232349,28.098531073446328
34,200,57.0496,13.11987474545151,28.948838075671976
35,200,58.7264,13.504624002670672,29.79914507789762
36,200,60.4032,13.889373259889835,30.649452080123268
37,200,62.08,14.274122517108996,31.499759082348913
38,200,63.7568,14.658871774328158,32.35006608457456
39,200,65.4336,15.043621031547321,33.200373086800205
40,200,67.1104,15.428370288766486,34.05068008902585
41,200,68.7872,15.813119545985645,34.9009870912515
42,200,70.464,16.197868803204805,35.75129409347714
43,200,72.1408,16.58261806042397,36.60160109570279
44,200,73.8176,16.967367317643127,37.45190809792843
45,200,75.4944,17.352116574862293,38.30221510015408
46,200,77.1712,17.736865832081456,39.152522102379734
47,200,78.848,18.12161508930062,40.002829104605375
48,200,80.5248,18.506364346519778,40.85313610683102
49,200,82.2016,18.89111360373894,41.703443109056664
50,200,83.8784,19.275862860958103,42.55375011128231
51,200,85.5552,19.660612118177266,43.40405711350796
52,200,87.232,20.04536137539643,44.25436411573361
53,200,88.9088,20.430110632615587,45.104671117959256
54,200,90.5856,20.814859889834754,45.9549781201849
55,200,92.2624,21.199609147053913,46.805285122410545
56,200,93.9392,21.584358404273075,47.655592124636186
57,200,95.616,21.969107661492234,48.50589912686184
58,200,97.2928,22.353856918711397,49.35620612908748
59,200,98.9696,22.738606175930563,50.20651313131313
60,200,100.6464,23.123355433149722,51.05682013353878
61,200,102.3232,23.50810469036889,51.90712713576442
62,200,104.0,23.892853947588048,52.757434137990074
63,200,105.6768,24.27760320480721,53.607741140215715
64,200,107.3536,24.662352462026373,54.45804814244136
65,200,109.0304,25.047101719245536,55.308355144667004
66,200,110.7072,25.431850976464695,56.15866214689265
67,200,112.384,25.816600233683857,57.00896914911831
68,200,114.0608,26.20134949090302,57.85927615134395
69,200,115.7376,26.58609874812218,58.7095831535696
70,200,117.4144,26.970848005341345,59.55989015579524
71,200,119.0912,27.355597262560504,60.410197158020885
72,200,120.768,27.74034651977967,61.26050416024653
73,200,122.4448,28.12509577699883,62.11081116247218
74,200,124.1216,28.509845034217992,62.96111816469782
75,200,125.7984,28.894594291437155,63.81142516692347
76,200,127.4752,29.279343548656318,64.66173216914912
77,200,129.152,29.664092805875477,65.51203917137477
78,200,130.8288,30.048842063094643,66.36234617360041
79,200,132.5056,30.433591320313806,67.21265317582606
80,200,134.1824,30.818340577532968,68.06296017805171
81,200,135.8592,31.203089834752127,68.91326718027734
82,200,137.536,31.58783909197129,69.763574182503
83,200,139.2128,31.972588349190456,70.61388118472864
84,200,140.8896,32.35733760640961,71.46418818695429
85,200,142.5664,32.74208686362878,72.31449518917992
86,200,144.2432,33.12683612084794,73.16480219140558
87,200,145.92,33.5115853780671,74.01510919363123
88,200,147.5968,33.89633463528626,74.86541619585687
89,200,149.2736,34.28108389250542,75.71572319808251
90,200,150.9504,34.66583314972459,76.56603020030816
91,200,152.6272,35.05058240694375,77.41633720253381
92,200,154.304,35.43533166416291,78.26664420475946
93,200,155.9808,35.82008092138207,79.1169512069851
94,200,157.6576,36.204830178601235,79.96725820921075
95,200,159.3344,36.58957943582039,80.81756521143639
96,200,161.0112,36.97432869303956,81.66787221366204
97,200,162.688,37.35907795025872,82.5181792158877
98,200,164.3648,37.743827207477885,83.36848621811333
99,200,166.0416,38.12857646469704,84.21879322033898
100,200,167.7184,38.5133257219162,85.06910022256463
