elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.013091,2026-09-01T21:26:41.390+01:00,0,1727280,366,366,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.013842,2026-09-01T21:26:41.404+01:00,366,1727281,338,338,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.015072,2026-09-01T21:26:41.404+01:00,704,1727282,334,334,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.028628,2026-09-01T21:26:41.415+01:00,1038,1727283,334,334,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.029601,2026-09-01T21:26:41.419+01:00,1372,1727284,352,352,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.030217,2026-09-01T21:26:41.420+01:00,1724,1727285,328,328,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.035054,2026-09-01T21:26:41.420+01:00,2052,1727286,332,332,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.045699,2026-09-01T21:26:41.426+01:00,2384,1727287,278,278,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.046605,2026-09-01T21:26:41.436+01:00,2662,1727288,284,284,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.049985,2026-09-01T21:26:41.437+01:00,2946,1727289,262,262,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.054841,2026-09-01T21:26:41.440+01:00,3208,1727290,292,292,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.062236,2026-09-01T21:26:41.445+01:00,3500,1727291,298,298,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.064939,2026-09-01T21:26:41.453+01:00,3798,1727292,328,328,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.069793,2026-09-01T21:26:41.455+01:00,4126,1727293,314,314,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.078236,2026-09-01T21:26:41.460+01:00,4440,1727294,296,296,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.079946,2026-09-01T21:26:41.468+01:00,4736,1727295,324,324,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.084859,2026-09-01T21:26:41.470+01:00,5060,1727296,330,330,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.094426,2026-09-01T21:26:41.475+01:00,5390,1727297,290,290,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.095064,2026-09-01T21:26:41.485+01:00,5680,1727298,290,290,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.100057,2026-09-01T21:26:41.485+01:00,5970,1727299,264,264,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.110366,2026-09-01T21:26:41.490+01:00,6234,1727300,280,280,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.111001,2026-09-01T21:26:41.501+01:00,6514,1727301,242,242,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.114866,2026-09-01T21:26:41.501+01:00,6756,1727302,300,300,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.119889,2026-09-01T21:26:41.505+01:00,7056,1727303,266,266,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
0.126734,2026-09-01T21:26:41.510+01:00,7322,1727304,298,298,True,True,0x02,"RESYNC_NEEDED,OK,RESYNC_NEEDED,RESYNC_NEEDED","NONE,DELTA,NONE,NONE",
