elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.001737,2026-09-05T19:27:04.382+01:00,0,1637713,184,184,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.002539,2026-09-05T19:27:04.384+01:00,184,1637714,214,214,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.004918,2026-09-05T19:27:04.384+01:00,398,1637715,202,202,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.009545,2026-09-05T19:27:04.387+01:00,600,1637716,168,168,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.018999,2026-09-05T19:27:04.400+01:00,768,1637717,164,164,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.020220,2026-09-05T19:27:04.401+01:00,932,1637718,158,158,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.024633,2026-09-05T19:27:04.402+01:00,1090,1637719,188,188,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.033392,2026-09-05T19:27:04.406+01:00,1278,1637720,174,174,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.034643,2026-09-05T19:27:04.415+01:00,1452,1637721,184,184,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.039489,2026-09-05T19:27:04.416+01:00,1636,1637722,194,194,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.050086,2026-09-05T19:27:04.421+01:00,1830,1637723,162,162,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.050669,2026-09-05T19:27:04.432+01:00,1992,1637724,180,180,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.054822,2026-09-05T19:27:04.432+01:00,2172,1637725,186,186,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.059513,2026-09-05T19:27:04.437+01:00,2358,1637726,200,200,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.066849,2026-09-05T19:27:04.441+01:00,2558,1637727,150,150,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.069650,2026-09-05T19:27:04.449+01:00,2708,1637728,172,172,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.074554,2026-09-05T19:27:04.451+01:00,2880,1637729,194,194,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.083322,2026-09-05T19:27:04.456+01:00,3074,1637730,192,192,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.084482,2026-09-05T19:27:04.465+01:00,3266,1637731,176,176,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.089324,2026-09-05T19:27:04.466+01:00,3442,1637732,180,180,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.098935,2026-09-05T19:27:04.471+01:00,3622,1637733,172,172,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.099777,2026-09-05T19:27:04.481+01:00,3794,1637734,184,184,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.104528,2026-09-05T19:27:04.481+01:00,3978,1637735,180,180,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.115285,2026-09-05T19:27:04.486+01:00,4158,1637736,184,184,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.115929,2026-09-05T19:27:04.497+01:00,4342,1637737,172,172,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.120174,2026-09-05T19:27:04.498+01:00,4514,1637738,194,194,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.124373,2026-09-05T19:27:04.502+01:00,4708,1637739,212,212,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.129458,2026-09-05T19:27:04.506+01:00,4920,1637740,196,196,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.135680,2026-09-05T19:27:04.511+01:00,5116,1637741,190,190,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.139409,2026-09-05T19:27:04.517+01:00,5306,1637742,188,188,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.144221,2026-09-05T19:27:04.521+01:00,5494,1637743,204,204,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.155713,2026-09-05T19:27:04.526+01:00,5698,1637744,180,180,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.156097,2026-09-05T19:27:04.538+01:00,5878,1637745,182,182,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.168967,2026-09-05T19:27:04.538+01:00,6060,1637746,154,154,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.170016,2026-09-05T19:27:04.551+01:00,6214,1637747,196,196,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.170849,2026-09-05T19:27:04.552+01:00,6410,1637748,168,168,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.174501,2026-09-05T19:27:04.553+01:00,6578,1637749,184,184,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.179361,2026-09-05T19:27:04.556+01:00,6762,1637750,210,210,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.187017,2026-09-05T19:27:04.561+01:00,6972,1637751,194,194,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
