elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.002039,2026-09-01T21:12:57.197+01:00,0,1563090,162,162,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.002972,2026-09-01T21:12:57.200+01:00,162,1563091,190,190,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.006912,2026-09-01T21:12:57.200+01:00,352,1563092,172,172,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.017321,2026-09-01T21:12:57.205+01:00,524,1563093,188,188,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.018389,2026-09-01T21:12:57.215+01:00,712,1563094,200,200,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.033162,2026-09-01T21:12:57.225+01:00,912,1563095,178,178,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.034161,2026-09-01T21:12:57.231+01:00,1090,1563096,144,144,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.034950,2026-09-01T21:12:57.232+01:00,1234,1563097,170,170,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.036883,2026-09-01T21:12:57.232+01:00,1404,1563098,184,184,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.041882,2026-09-01T21:12:57.234+01:00,1588,1563099,184,184,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.049420,2026-09-01T21:12:57.239+01:00,1772,1563100,176,176,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.051461,2026-09-01T21:12:57.247+01:00,1948,1563101,178,178,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.056675,2026-09-01T21:12:57.249+01:00,2126,1563102,178,178,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.065270,2026-09-01T21:12:57.254+01:00,2304,1563103,188,188,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.066650,2026-09-01T21:12:57.263+01:00,2492,1563104,172,172,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.071604,2026-09-01T21:12:57.264+01:00,2664,1563105,172,172,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.081841,2026-09-01T21:12:57.269+01:00,2836,1563106,170,170,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.082498,2026-09-01T21:12:57.279+01:00,3006,1563107,192,192,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.086762,2026-09-01T21:12:57.280+01:00,3198,1563108,172,172,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.098052,2026-09-01T21:12:57.284+01:00,3370,1563109,182,182,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.098910,2026-09-01T21:12:57.296+01:00,3552,1563110,158,158,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.101602,2026-09-01T21:12:57.296+01:00,3710,1563111,192,192,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.106861,2026-09-01T21:12:57.299+01:00,3902,1563112,182,182,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.116466,2026-09-01T21:12:57.304+01:00,4084,1563113,176,176,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.117176,2026-09-01T21:12:57.314+01:00,4260,1563114,176,176,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.121870,2026-09-01T21:12:57.315+01:00,4436,1563115,182,182,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.127869,2026-09-01T21:12:57.319+01:00,4618,1563116,200,200,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.132811,2026-09-01T21:12:57.325+01:00,4818,1563117,188,188,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.136574,2026-09-01T21:12:57.330+01:00,5006,1563118,184,184,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.141340,2026-09-01T21:12:57.334+01:00,5190,1563119,194,194,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.153654,2026-09-01T21:12:57.339+01:00,5384,1563120,194,194,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.154002,2026-09-01T21:12:57.351+01:00,5578,1563121,178,178,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.167096,2026-09-01T21:12:57.352+01:00,5756,1563122,168,168,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.167838,2026-09-01T21:12:57.365+01:00,5924,1563123,198,198,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.168574,2026-09-01T21:12:57.365+01:00,6122,1563124,196,196,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.172114,2026-09-01T21:12:57.366+01:00,6318,1563125,202,202,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.176507,2026-09-01T21:12:57.370+01:00,6520,1563126,164,164,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.184598,2026-09-01T21:12:57.374+01:00,6684,1563127,192,192,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.186424,2026-09-01T21:12:57.382+01:00,6876,1563128,168,168,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.191449,2026-09-01T21:12:57.384+01:00,7044,1563129,162,162,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.200828,2026-09-01T21:12:57.389+01:00,7206,1563130,180,180,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.201515,2026-09-01T21:12:57.398+01:00,7386,1563131,158,158,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.206432,2026-09-01T21:12:57.399+01:00,7544,1563132,180,180,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.217053,2026-09-01T21:12:57.404+01:00,7724,1563133,154,154,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.218433,2026-09-01T21:12:57.415+01:00,7878,1563134,172,172,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.222203,2026-09-01T21:12:57.416+01:00,8050,1563135,182,182,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.226479,2026-09-01T21:12:57.420+01:00,8232,1563136,192,192,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.234167,2026-09-01T21:12:57.424+01:00,8424,1563137,188,188,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.236247,2026-09-01T21:12:57.432+01:00,8612,1563138,184,184,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.241221,2026-09-01T21:12:57.434+01:00,8796,1563139,146,146,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.249592,2026-09-01T21:12:57.439+01:00,8942,1563140,192,192,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.251239,2026-09-01T21:12:57.447+01:00,9134,1563141,186,186,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.256466,2026-09-01T21:12:57.449+01:00,9320,1563142,184,184,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.262714,2026-09-01T21:12:57.454+01:00,9504,1563143,182,182,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.266439,2026-09-01T21:12:57.463+01:00,9686,1563144,172,172,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.272116,2026-09-01T21:12:57.464+01:00,9858,1563145,166,166,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.278970,2026-09-01T21:12:57.470+01:00,10024,1563146,174,174,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.282959,2026-09-01T21:12:57.477+01:00,10198,1563147,190,190,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.286589,2026-09-01T21:12:57.480+01:00,10388,1563148,192,192,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.291298,2026-09-01T21:12:57.484+01:00,10580,1563149,166,166,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.297606,2026-09-01T21:12:57.489+01:00,10746,1563150,174,174,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.301208,2026-09-01T21:12:57.495+01:00,10920,1563151,180,180,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.306177,2026-09-01T21:12:57.499+01:00,11100,1563152,190,190,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
0.311039,2026-09-01T21:12:57.504+01:00,11290,1563153,208,208,True,True,0x02,"NO_IRQ,OK,NO_IRQ,NO_IRQ","NONE,DELTA,NONE,NONE",
