elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.001915,2026-09-01T22:05:15.784+01:00,0,2189036,572,572,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.002966,2026-09-01T22:05:15.787+01:00,572,2189037,562,562,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.018031,2026-09-01T22:05:15.797+01:00,1134,2189038,540,540,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.019062,2026-09-01T22:05:15.802+01:00,1674,2189039,544,544,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.019853,2026-09-01T22:05:15.803+01:00,2218,2189040,490,490,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.020907,2026-09-01T22:05:15.804+01:00,2708,2189041,550,550,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.025618,2026-09-01T22:05:15.805+01:00,3258,2189042,594,594,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.035077,2026-09-01T22:05:15.810+01:00,3852,2189043,568,568,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.036003,2026-09-01T22:05:15.819+01:00,4420,2189044,560,560,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.040710,2026-09-01T22:05:15.820+01:00,4980,2189045,562,562,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.045457,2026-09-01T22:05:15.825+01:00,5542,2189046,586,586,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.052694,2026-09-01T22:05:15.830+01:00,6128,2189047,552,552,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.055705,2026-09-01T22:05:15.837+01:00,6680,2189048,566,566,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.060407,2026-09-01T22:05:15.840+01:00,7246,2189049,554,554,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.069228,2026-09-01T22:05:15.845+01:00,7800,2189050,526,526,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.070499,2026-09-01T22:05:15.854+01:00,8326,2189051,568,568,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.075464,2026-09-01T22:05:15.855+01:00,8894,2189052,506,506,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.085463,2026-09-01T22:05:15.860+01:00,9400,2189053,558,558,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.086244,2026-09-01T22:05:15.870+01:00,9958,2189054,526,526,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.090889,2026-09-01T22:05:15.870+01:00,10484,2189055,526,526,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.095588,2026-09-01T22:05:15.875+01:00,11010,2189056,484,484,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.102475,2026-09-01T22:05:15.880+01:00,11494,2189057,554,554,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.106346,2026-09-01T22:05:15.887+01:00,12048,2189058,546,546,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.110657,2026-09-01T22:05:15.891+01:00,12594,2189059,512,512,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.119237,2026-09-01T22:05:15.895+01:00,13106,2189060,536,536,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.120737,2026-09-01T22:05:15.903+01:00,13642,2189061,550,550,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.125648,2026-09-01T22:05:15.905+01:00,14192,2189062,522,522,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.130987,2026-09-01T22:05:15.910+01:00,14714,2189063,612,612,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.135591,2026-09-01T22:05:15.915+01:00,15326,2189064,566,566,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.140432,2026-09-01T22:05:15.920+01:00,15892,2189065,516,516,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.145788,2026-09-01T22:05:15.925+01:00,16408,2189066,548,548,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.156801,2026-09-01T22:05:15.930+01:00,16956,2189067,534,534,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.157586,2026-09-01T22:05:15.941+01:00,17490,2189068,596,596,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.166585,2026-09-01T22:05:15.942+01:00,18086,2189069,538,538,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.170513,2026-09-01T22:05:15.951+01:00,18624,2189070,532,532,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.171247,2026-09-01T22:05:15.955+01:00,19156,2189071,508,508,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.175913,2026-09-01T22:05:15.955+01:00,19664,2189072,586,586,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.180687,2026-09-01T22:05:15.960+01:00,20250,2189073,558,558,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
0.187594,2026-09-01T22:05:15.965+01:00,20808,2189074,474,474,True,True,0x0A,"NO_IRQ,OK,NO_IRQ,OK","NONE,DELTA,NONE,DELTA",
