elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.002658,2026-09-01T21:57:51.996+01:00,0,2101063,1652,1652,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.003900,2026-09-01T21:57:51.999+01:00,1652,2101064,1672,1672,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.006360,2026-09-01T21:57:52.000+01:00,3324,2101065,1658,1658,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.011297,2026-09-01T21:57:52.003+01:00,4982,2101066,1586,1586,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.019649,2026-09-01T21:57:52.008+01:00,6568,2101067,1670,1670,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.029044,2026-09-01T21:57:52.025+01:00,8238,2101068,1612,1612,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.030089,2026-09-01T21:57:52.025+01:00,9850,2101069,1606,1606,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.037379,2026-09-01T21:57:52.026+01:00,11456,2101070,1566,1566,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.038431,2026-09-01T21:57:52.034+01:00,13022,2101071,1672,1672,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.041572,2026-09-01T21:57:52.035+01:00,14694,2101072,1516,1516,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.046114,2026-09-01T21:57:52.038+01:00,16210,2101073,1604,1604,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.055124,2026-09-01T21:57:52.043+01:00,17814,2101074,1596,1596,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.056302,2026-09-01T21:57:52.052+01:00,19410,2101075,1680,1680,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.061763,2026-09-01T21:57:52.053+01:00,21090,2101076,1734,1734,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.066795,2026-09-01T21:57:52.058+01:00,22824,2101077,1614,1614,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.073943,2026-09-01T21:57:52.063+01:00,24438,2101078,1664,1664,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.076428,2026-09-01T21:57:52.071+01:00,26102,2101079,1772,1772,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.081601,2026-09-01T21:57:52.073+01:00,27874,2101080,1640,1640,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.091148,2026-09-01T21:57:52.078+01:00,29514,2101081,1672,1672,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.092435,2026-09-01T21:57:52.088+01:00,31186,2101082,1660,1660,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.096450,2026-09-01T21:57:52.089+01:00,32846,2101083,1540,1540,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.101360,2026-09-01T21:57:52.093+01:00,34386,2101084,1660,1660,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.108529,2026-09-01T21:57:52.098+01:00,36046,2101085,1494,1494,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.111660,2026-09-01T21:57:52.105+01:00,37540,2101086,1612,1612,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.116693,2026-09-01T21:57:52.108+01:00,39152,2101087,1648,1648,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
