elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.014851,2026-09-01T20:03:55.766+01:00,0,739669,436,436,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.015318,2026-09-01T20:03:55.781+01:00,436,739670,380,380,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.049066,2026-09-01T20:03:55.813+01:00,816,739671,328,328,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.050034,2026-09-01T20:03:55.815+01:00,1144,739672,394,394,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.050959,2026-09-01T20:03:55.816+01:00,1538,739673,406,406,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.051967,2026-09-01T20:03:55.817+01:00,1944,739674,420,420,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.052824,2026-09-01T20:03:55.818+01:00,2364,739675,1204,1204,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA_SYNC,DELTA,NONE,NONE",
0.053813,2026-09-01T20:03:55.819+01:00,3568,739676,442,442,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.054669,2026-09-01T20:03:55.820+01:00,4010,739677,402,402,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.055598,2026-09-01T20:03:55.821+01:00,4412,739678,424,424,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.056429,2026-09-01T20:03:55.822+01:00,4836,739679,470,470,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.058963,2026-09-01T20:03:55.823+01:00,5306,739680,412,412,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.064407,2026-09-01T20:03:55.825+01:00,5718,739681,392,392,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.069566,2026-09-01T20:03:55.831+01:00,6110,739682,416,416,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.074160,2026-09-01T20:03:55.836+01:00,6526,739683,474,474,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.080744,2026-09-01T20:03:55.840+01:00,7000,739684,452,452,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.088409,2026-09-01T20:03:55.847+01:00,7452,739685,428,428,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.089358,2026-09-01T20:03:55.855+01:00,7880,739686,406,406,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.094714,2026-09-01T20:03:55.856+01:00,8286,739687,424,424,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
0.099313,2026-09-01T20:03:55.861+01:00,8710,739688,430,430,True,True,0x03,"OK,OK,RESYNC_NEEDED,RESYNC_NEEDED","DELTA,DELTA,NONE,NONE",
