elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.001823,2026-09-01T20:33:59.102+01:00,0,1098153,658,658,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.003039,2026-09-01T20:33:59.104+01:00,658,1098154,652,652,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.006412,2026-09-01T20:33:59.107+01:00,1310,1098155,664,664,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.011851,2026-09-01T20:33:59.109+01:00,1974,1098156,592,592,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.019614,2026-09-01T20:33:59.114+01:00,2566,1098157,728,728,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.022031,2026-09-01T20:33:59.123+01:00,3294,1098158,728,728,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.026730,2026-09-01T20:33:59.124+01:00,4022,1098159,694,694,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.037579,2026-09-01T20:33:59.129+01:00,4716,1098160,606,606,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.038421,2026-09-01T20:33:59.140+01:00,5322,1098161,738,738,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.041185,2026-09-01T20:33:59.140+01:00,6060,1098162,672,672,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.046270,2026-09-01T20:33:59.143+01:00,6732,1098163,668,668,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.055036,2026-09-01T20:33:59.148+01:00,7400,1098164,604,604,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.056468,2026-09-01T20:33:59.157+01:00,8004,1098165,674,674,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.061443,2026-09-01T20:33:59.159+01:00,8678,1098166,706,706,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.072741,2026-09-01T20:33:59.163+01:00,9384,1098167,684,684,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.073628,2026-09-01T20:33:59.175+01:00,10068,1098168,566,566,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.076787,2026-09-01T20:33:59.176+01:00,10634,1098169,696,696,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
0.081683,2026-09-01T20:33:59.179+01:00,11330,1098170,702,702,True,True,0x07,"OK,OK,OK,RESYNC_NEEDED","DELTA,DELTA,DELTA,NONE",
