elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.011007,2026-09-05T19:19:46.632+01:00,0,1553588,598,598,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.011652,2026-09-05T19:19:46.643+01:00,598,1553589,522,522,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.016306,2026-09-05T19:19:46.644+01:00,1120,1553590,570,570,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.020096,2026-09-05T19:19:46.651+01:00,1690,1553591,570,570,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.020995,2026-09-05T19:19:46.652+01:00,2260,1553592,654,654,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.022214,2026-09-05T19:19:46.653+01:00,2914,1553593,514,514,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.027091,2026-09-05T19:19:46.654+01:00,3428,1553594,556,556,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.038446,2026-09-05T19:19:46.659+01:00,3984,1553595,580,580,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.039600,2026-09-05T19:19:46.671+01:00,4564,1553596,602,602,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.042019,2026-09-05T19:19:46.671+01:00,5166,1553597,506,506,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.046840,2026-09-05T19:19:46.674+01:00,5672,1553598,526,526,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.057010,2026-09-05T19:19:46.679+01:00,6198,1553599,558,558,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.057884,2026-09-05T19:19:46.689+01:00,6756,1553600,630,630,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.061834,2026-09-05T19:19:46.690+01:00,7386,1553601,514,514,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.066806,2026-09-05T19:19:46.694+01:00,7900,1553602,500,500,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.075547,2026-09-05T19:19:46.699+01:00,8400,1553603,546,546,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.076993,2026-09-05T19:19:46.707+01:00,8946,1553604,600,600,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.081860,2026-09-05T19:19:46.709+01:00,9546,1553605,488,488,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.086923,2026-09-05T19:19:46.714+01:00,10034,1553606,558,558,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.095039,2026-09-05T19:19:46.719+01:00,10592,1553607,590,590,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.096762,2026-09-05T19:19:46.727+01:00,11182,1553608,630,630,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.101775,2026-09-05T19:19:46.729+01:00,11812,1553609,546,546,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.113181,2026-09-05T19:19:46.734+01:00,12358,1553610,546,546,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.113999,2026-09-05T19:19:46.745+01:00,12904,1553611,578,578,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.116922,2026-09-05T19:19:46.746+01:00,13482,1553612,614,614,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.121583,2026-09-05T19:19:46.749+01:00,14096,1553613,504,504,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.131239,2026-09-05T19:19:46.753+01:00,14600,1553614,574,574,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.131951,2026-09-05T19:19:46.763+01:00,15174,1553615,588,588,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.136800,2026-09-05T19:19:46.764+01:00,15762,1553616,604,604,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.141780,2026-09-05T19:19:46.769+01:00,16366,1553617,498,498,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.146948,2026-09-05T19:19:46.774+01:00,16864,1553618,532,532,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.152848,2026-09-05T19:19:46.779+01:00,17396,1553619,572,572,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.156704,2026-09-05T19:19:46.785+01:00,17968,1553620,616,616,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.161609,2026-09-05T19:19:46.789+01:00,18584,1553621,494,494,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.173383,2026-09-05T19:19:46.793+01:00,19078,1553622,564,564,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.174013,2026-09-05T19:19:46.805+01:00,19642,1553623,596,596,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.187815,2026-09-05T19:19:46.806+01:00,20238,1553624,620,620,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.188231,2026-09-05T19:19:46.820+01:00,20858,1553625,474,474,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.189023,2026-09-05T19:19:46.820+01:00,21332,1553626,578,578,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
0.192019,2026-09-05T19:19:46.821+01:00,21910,1553627,588,588,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,DELTA,DELTA,DELTA",
