elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.010562,2026-09-05T18:56:47.923+01:00,0,1281559,912,912,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.011725,2026-09-05T18:56:47.934+01:00,912,1281560,1018,1018,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.012732,2026-09-05T18:56:47.934+01:00,1930,1281561,1044,1044,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.013339,2026-09-05T18:56:47.935+01:00,2974,1281562,1046,1046,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.020403,2026-09-05T18:56:47.936+01:00,4020,1281563,906,906,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.021920,2026-09-05T18:56:47.944+01:00,4926,1281564,956,956,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.026161,2026-09-05T18:56:47.945+01:00,5882,1281565,1134,1134,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.030902,2026-09-05T18:56:47.949+01:00,7016,1281566,982,982,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.038413,2026-09-05T18:56:47.954+01:00,7998,1281567,938,938,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.041130,2026-09-05T18:56:47.961+01:00,8936,1281568,1006,1006,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.046415,2026-09-05T18:56:47.964+01:00,9942,1281569,1156,1156,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.054988,2026-09-05T18:56:47.969+01:00,11098,1281570,1000,1000,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.055859,2026-09-05T18:56:47.978+01:00,12098,1281571,932,932,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.061133,2026-09-05T18:56:47.979+01:00,13030,1281572,1016,1016,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.066121,2026-09-05T18:56:47.984+01:00,14046,1281573,1090,1090,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.073261,2026-09-05T18:56:47.989+01:00,15136,1281574,976,976,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.076131,2026-09-05T18:56:47.996+01:00,16112,1281575,960,960,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.080912,2026-09-05T18:56:47.999+01:00,17072,1281576,968,968,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.090019,2026-09-05T18:56:48.004+01:00,18040,1281577,1112,1112,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.091235,2026-09-05T18:56:48.013+01:00,19152,1281578,1042,1042,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.096019,2026-09-05T18:56:48.014+01:00,20194,1281579,884,884,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.100833,2026-09-05T18:56:48.019+01:00,21078,1281580,1024,1024,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.109112,2026-09-05T18:56:48.024+01:00,22102,1281581,1064,1064,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.110595,2026-09-05T18:56:48.032+01:00,23166,1281582,990,990,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.115881,2026-09-05T18:56:48.033+01:00,24156,1281583,906,906,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.126186,2026-09-05T18:56:48.039+01:00,25062,1281584,988,988,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.127136,2026-09-05T18:56:48.049+01:00,26050,1281585,1040,1040,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.131181,2026-09-05T18:56:48.050+01:00,27090,1281586,1058,1058,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.135901,2026-09-05T18:56:48.054+01:00,28148,1281587,962,962,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.141113,2026-09-05T18:56:48.059+01:00,29110,1281588,966,966,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.145846,2026-09-05T18:56:48.064+01:00,30076,1281589,1108,1108,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.150666,2026-09-05T18:56:48.069+01:00,31184,1281590,1006,1006,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
0.155687,2026-09-05T18:56:48.073+01:00,32190,1281591,898,898,True,True,0x0F,"OK,OK,OK,OK","DELTA,DELTA,DELTA,DELTA",
