elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.002163,2026-09-01T18:35:46.344+01:00,0,667881,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.002889,2026-09-01T18:35:46.347+01:00,1084,667882,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.006246,2026-09-01T18:35:46.348+01:00,2168,667883,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.016782,2026-09-01T18:35:46.351+01:00,3252,667884,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.019764,2026-09-01T18:35:46.363+01:00,4336,667885,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.021236,2026-09-01T18:35:46.364+01:00,5420,667886,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.026140,2026-09-01T18:35:46.366+01:00,6504,667887,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.032885,2026-09-01T18:35:46.371+01:00,7588,667888,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.036281,2026-09-01T18:35:46.378+01:00,8672,667889,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.041086,2026-09-01T18:35:46.381+01:00,9756,667890,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.048580,2026-09-01T18:35:46.386+01:00,10840,667891,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.051116,2026-09-01T18:35:46.393+01:00,11924,667892,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.056382,2026-09-01T18:35:46.396+01:00,13008,667893,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.064897,2026-09-01T18:35:46.401+01:00,14092,667894,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.065995,2026-09-01T18:35:46.409+01:00,15176,667895,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.071239,2026-09-01T18:35:46.411+01:00,16260,667896,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.081554,2026-09-01T18:35:46.416+01:00,17344,667897,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.082616,2026-09-01T18:35:46.426+01:00,18428,667898,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.086295,2026-09-01T18:35:46.427+01:00,19512,667899,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.091187,2026-09-01T18:35:46.431+01:00,20596,667900,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.098119,2026-09-01T18:35:46.436+01:00,21680,667901,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.101012,2026-09-01T18:35:46.443+01:00,22764,667902,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.105934,2026-09-01T18:35:46.445+01:00,23848,667903,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.114378,2026-09-01T18:35:46.451+01:00,24932,667904,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.116008,2026-09-01T18:35:46.459+01:00,26016,667905,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.121072,2026-09-01T18:35:46.461+01:00,27100,667906,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.125955,2026-09-01T18:35:46.466+01:00,28184,667907,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.131886,2026-09-01T18:35:46.472+01:00,29268,667908,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.135971,2026-09-01T18:35:46.477+01:00,30352,667909,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.140880,2026-09-01T18:35:46.480+01:00,31436,667910,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.151798,2026-09-01T18:35:46.485+01:00,32520,667911,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.152125,2026-09-01T18:35:46.496+01:00,33604,667912,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.165533,2026-09-01T18:35:46.497+01:00,34688,667913,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.166665,2026-09-01T18:35:46.510+01:00,35772,667914,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.167530,2026-09-01T18:35:46.511+01:00,36856,667915,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.171015,2026-09-01T18:35:46.512+01:00,37940,667916,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.175963,2026-09-01T18:35:46.515+01:00,39024,667917,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.182997,2026-09-01T18:35:46.520+01:00,40108,667918,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.185834,2026-09-01T18:35:46.528+01:00,41192,667919,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.190823,2026-09-01T18:35:46.531+01:00,42276,667920,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.198883,2026-09-01T18:35:46.535+01:00,43360,667921,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.200555,2026-09-01T18:35:46.543+01:00,44444,667922,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.205957,2026-09-01T18:35:46.545+01:00,45528,667923,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.214259,2026-09-01T18:35:46.550+01:00,46612,667924,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.215666,2026-09-01T18:35:46.559+01:00,47696,667925,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.221138,2026-09-01T18:35:46.560+01:00,48780,667926,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.230630,2026-09-01T18:35:46.566+01:00,49864,667927,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.231570,2026-09-01T18:35:46.575+01:00,50948,667928,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.236129,2026-09-01T18:35:46.576+01:00,52032,667929,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.246796,2026-09-01T18:35:46.581+01:00,53116,667930,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.247485,2026-09-01T18:35:46.591+01:00,54200,667931,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.250764,2026-09-01T18:35:46.592+01:00,55284,667932,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.255697,2026-09-01T18:35:46.595+01:00,56368,667933,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.263335,2026-09-01T18:35:46.600+01:00,57452,667934,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.265845,2026-09-01T18:35:46.608+01:00,58536,667935,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.270863,2026-09-01T18:35:46.610+01:00,59620,667936,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.279986,2026-09-01T18:35:46.615+01:00,60704,667937,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.280902,2026-09-01T18:35:46.625+01:00,61788,667938,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.286215,2026-09-01T18:35:46.625+01:00,62872,667939,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.291443,2026-09-01T18:35:46.631+01:00,63956,667940,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.295654,2026-09-01T18:35:46.636+01:00,65040,667941,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.300390,2026-09-01T18:35:46.640+01:00,66124,667942,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.305430,2026-09-01T18:35:46.645+01:00,67208,667943,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.310307,2026-09-01T18:35:46.650+01:00,68292,667944,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.322478,2026-09-01T18:35:46.655+01:00,69376,667945,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.323586,2026-09-01T18:35:46.667+01:00,70460,667946,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.325858,2026-09-01T18:35:46.668+01:00,71544,667947,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.330733,2026-09-01T18:35:46.670+01:00,72628,667948,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.339239,2026-09-01T18:35:46.675+01:00,73712,667949,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.340698,2026-09-01T18:35:46.684+01:00,74796,667950,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.345591,2026-09-01T18:35:46.685+01:00,75880,667951,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.354953,2026-09-01T18:35:46.690+01:00,76964,667952,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.355745,2026-09-01T18:35:46.700+01:00,78048,667953,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.360631,2026-09-01T18:35:46.700+01:00,79132,667954,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.370673,2026-09-01T18:35:46.705+01:00,80216,667955,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.371252,2026-09-01T18:35:46.715+01:00,81300,667956,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.375664,2026-09-01T18:35:46.716+01:00,82384,667957,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.380233,2026-09-01T18:35:46.720+01:00,83468,667958,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.386393,2026-09-01T18:35:46.725+01:00,84552,667959,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.390790,2026-09-01T18:35:46.731+01:00,85636,667960,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.395452,2026-09-01T18:35:46.735+01:00,86720,667961,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.402311,2026-09-01T18:35:46.740+01:00,87804,667962,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.405709,2026-09-01T18:35:46.747+01:00,88888,667963,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.410195,2026-09-01T18:35:46.750+01:00,89972,667964,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.417542,2026-09-01T18:35:46.755+01:00,91056,667965,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.420515,2026-09-01T18:35:46.762+01:00,92140,667966,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.425403,2026-09-01T18:35:46.765+01:00,93224,667967,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.432848,2026-09-01T18:35:46.770+01:00,94308,667968,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.435737,2026-09-01T18:35:46.777+01:00,95392,667969,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.440671,2026-09-01T18:35:46.780+01:00,96476,667970,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.446056,2026-09-01T18:35:46.785+01:00,97560,667971,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.451179,2026-09-01T18:35:46.791+01:00,98644,667972,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.455439,2026-09-01T18:35:46.797+01:00,99728,667973,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.460733,2026-09-01T18:35:46.800+01:00,100812,667974,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.465033,2026-09-01T18:35:46.805+01:00,101896,667975,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.474098,2026-09-01T18:35:46.809+01:00,102980,667976,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.475069,2026-09-01T18:35:46.819+01:00,104064,667977,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.487367,2026-09-01T18:35:46.819+01:00,105148,667978,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.488246,2026-09-01T18:35:46.832+01:00,106232,667979,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.490050,2026-09-01T18:35:46.833+01:00,107316,667980,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.495285,2026-09-01T18:35:46.835+01:00,108400,667981,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.504738,2026-09-01T18:35:46.840+01:00,109484,667982,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.505574,2026-09-01T18:35:46.849+01:00,110568,667983,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.510243,2026-09-01T18:35:46.850+01:00,111652,667984,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.521206,2026-09-01T18:35:46.855+01:00,112736,667985,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.522310,2026-09-01T18:35:46.866+01:00,113820,667986,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.525236,2026-09-01T18:35:46.867+01:00,114904,667987,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.530222,2026-09-01T18:35:46.870+01:00,115988,667988,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.538205,2026-09-01T18:35:46.875+01:00,117072,667989,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
0.540213,2026-09-01T18:35:46.883+01:00,118156,667990,1084,1084,True,True,0x02,"NO_IRQ,OK,MODE_TRANSITION,MODE_TRANSITION","NONE,FULL,NONE,NONE",
