elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.012752,2026-09-01T19:03:00.100+01:00,0,51994,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.013954,2026-09-01T19:03:00.113+01:00,2128,51995,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.015127,2026-09-01T19:03:00.114+01:00,4256,51996,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.019977,2026-09-01T19:03:00.115+01:00,6384,51997,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.029502,2026-09-01T19:03:00.120+01:00,8512,51998,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.038739,2026-09-01T19:03:00.138+01:00,10640,51999,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.039360,2026-09-01T19:03:00.139+01:00,12768,52000,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.039896,2026-09-01T19:03:00.140+01:00,14896,52001,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.047202,2026-09-01T19:03:00.140+01:00,17024,52002,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.050127,2026-09-01T19:03:00.147+01:00,19152,52003,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.054958,2026-09-01T19:03:00.151+01:00,21280,52004,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.063567,2026-09-01T19:03:00.155+01:00,23408,52005,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.064805,2026-09-01T19:03:00.164+01:00,25536,52006,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.069881,2026-09-01T19:03:00.165+01:00,27664,52007,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.080029,2026-09-01T19:03:00.170+01:00,29792,52008,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.080832,2026-09-01T19:03:00.180+01:00,31920,52009,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.085389,2026-09-01T19:03:00.181+01:00,34048,52010,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.089880,2026-09-01T19:03:00.186+01:00,36176,52011,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.097365,2026-09-01T19:03:00.190+01:00,38304,52012,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.099758,2026-09-01T19:03:00.198+01:00,40432,52013,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.104923,2026-09-01T19:03:00.200+01:00,42560,52014,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.114043,2026-09-01T19:03:00.205+01:00,44688,52015,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.114953,2026-09-01T19:03:00.214+01:00,46816,52016,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.120063,2026-09-01T19:03:00.215+01:00,48944,52017,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.130822,2026-09-01T19:03:00.220+01:00,51072,52018,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.131411,2026-09-01T19:03:00.231+01:00,53200,52019,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.135105,2026-09-01T19:03:00.232+01:00,55328,52020,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.139808,2026-09-01T19:03:00.235+01:00,57456,52021,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.144806,2026-09-01T19:03:00.240+01:00,59584,52022,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.149676,2026-09-01T19:03:00.245+01:00,61712,52023,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.154582,2026-09-01T19:03:00.250+01:00,63840,52024,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
0.167643,2026-09-01T19:03:00.255+01:00,65968,52025,2128,2128,True,True,0x06,"NO_IRQ,OK,OK,NO_IRQ","NONE,FULL,FULL,NONE",
