elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.004484,2026-09-01T19:12:30.296+01:00,0,161770,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.005200,2026-09-01T19:12:30.301+01:00,3172,161771,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.009935,2026-09-01T19:12:30.302+01:00,6344,161772,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.016726,2026-09-01T19:12:30.306+01:00,9516,161773,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.022704,2026-09-01T19:12:30.313+01:00,12688,161774,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.054936,2026-09-01T19:12:30.347+01:00,15860,161775,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.056099,2026-09-01T19:12:30.352+01:00,19032,161776,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.056676,2026-09-01T19:12:30.352+01:00,22204,161777,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.057211,2026-09-01T19:12:30.353+01:00,25376,161778,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.057878,2026-09-01T19:12:30.354+01:00,28548,161779,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.058449,2026-09-01T19:12:30.354+01:00,31720,161780,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.059408,2026-09-01T19:12:30.355+01:00,34892,161781,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.060140,2026-09-01T19:12:30.356+01:00,38064,161782,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
0.065839,2026-09-01T19:12:30.357+01:00,41236,161783,3172,3172,True,True,0x0E,"NO_IRQ,OK,OK,OK","NONE,FULL,FULL,FULL",
