elapsed_s,mul_start_time,raw_offset,packet_sequence,declared_length,received_bytes,outer_crc_ok,parse_ok,updated_mask,module_statuses,algorithms,error
0.001290,2026-09-01T19:14:36.675+01:00,0,186990,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.001696,2026-09-01T19:14:36.677+01:00,4216,186991,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.005029,2026-09-01T19:14:36.677+01:00,8432,186992,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.009944,2026-09-01T19:14:36.680+01:00,12648,186993,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.016812,2026-09-01T19:14:36.686+01:00,16864,186994,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.043462,2026-09-01T19:14:36.718+01:00,21080,186995,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.043954,2026-09-01T19:14:36.719+01:00,25296,186996,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.044615,2026-09-01T19:14:36.720+01:00,29512,186997,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.045268,2026-09-01T19:14:36.720+01:00,33728,186998,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.045489,2026-09-01T19:14:36.721+01:00,37944,186999,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.046118,2026-09-01T19:14:36.721+01:00,42160,187000,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.049929,2026-09-01T19:14:36.722+01:00,46376,187001,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.055018,2026-09-01T19:14:36.725+01:00,50592,187002,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.060015,2026-09-01T19:14:36.730+01:00,54808,187003,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.066472,2026-09-01T19:14:36.735+01:00,59024,187004,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.071768,2026-09-01T19:14:36.742+01:00,63240,187005,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.074837,2026-09-01T19:14:36.747+01:00,67456,187006,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.080122,2026-09-01T19:14:36.751+01:00,71672,187007,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.085352,2026-09-01T19:14:36.755+01:00,75888,187008,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.089767,2026-09-01T19:14:36.765+01:00,80104,187009,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.116577,2026-09-01T19:14:36.791+01:00,84320,187010,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.117148,2026-09-01T19:14:36.792+01:00,88536,187011,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.117372,2026-09-01T19:14:36.793+01:00,92752,187012,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.117555,2026-09-01T19:14:36.793+01:00,96968,187013,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.117785,2026-09-01T19:14:36.793+01:00,101184,187014,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.121664,2026-09-01T19:14:36.793+01:00,105400,187015,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.125295,2026-09-01T19:14:36.797+01:00,109616,187016,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.130363,2026-09-01T19:14:36.801+01:00,113832,187017,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.136635,2026-09-01T19:14:36.806+01:00,118048,187018,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.140235,2026-09-01T19:14:36.812+01:00,122264,187019,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.145242,2026-09-01T19:14:36.817+01:00,126480,187020,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.150029,2026-09-01T19:14:36.821+01:00,130696,187021,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.160554,2026-09-01T19:14:36.827+01:00,134912,187022,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.160851,2026-09-01T19:14:36.836+01:00,139128,187023,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.175766,2026-09-01T19:14:36.836+01:00,143344,187024,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.177350,2026-09-01T19:14:36.852+01:00,147560,187025,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.179065,2026-09-01T19:14:36.853+01:00,151776,187026,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.180473,2026-09-01T19:14:36.855+01:00,155992,187027,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.185322,2026-09-01T19:14:36.856+01:00,160208,187028,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.194817,2026-09-01T19:14:36.861+01:00,164424,187029,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.195800,2026-09-01T19:14:36.870+01:00,168640,187030,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.200116,2026-09-01T19:14:36.871+01:00,172856,187031,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.205289,2026-09-01T19:14:36.875+01:00,177072,187032,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.216462,2026-09-01T19:14:36.881+01:00,181288,187033,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.217192,2026-09-01T19:14:36.892+01:00,185504,187034,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.220493,2026-09-01T19:14:36.893+01:00,189720,187035,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.225483,2026-09-01T19:14:36.896+01:00,193936,187036,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.234962,2026-09-01T19:14:36.901+01:00,198152,187037,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.235858,2026-09-01T19:14:36.910+01:00,202368,187038,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.240543,2026-09-01T19:14:36.911+01:00,206584,187039,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.251770,2026-09-01T19:14:36.916+01:00,210800,187040,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.252785,2026-09-01T19:14:36.927+01:00,215016,187041,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.255597,2026-09-01T19:14:36.928+01:00,219232,187042,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.260702,2026-09-01T19:14:36.931+01:00,223448,187043,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.269299,2026-09-01T19:14:36.936+01:00,227664,187044,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.270383,2026-09-01T19:14:36.945+01:00,231880,187045,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.275560,2026-09-01T19:14:36.946+01:00,236096,187046,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.283014,2026-09-01T19:14:36.951+01:00,240312,187047,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.286765,2026-09-01T19:14:36.958+01:00,244528,187048,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.290379,2026-09-01T19:14:36.962+01:00,248744,187049,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.295313,2026-09-01T19:14:36.966+01:00,252960,187050,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.304363,2026-09-01T19:14:36.971+01:00,257176,187051,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.305581,2026-09-01T19:14:36.980+01:00,261392,187052,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.310613,2026-09-01T19:14:36.982+01:00,265608,187053,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.316435,2026-09-01T19:14:36.986+01:00,269824,187054,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.320542,2026-09-01T19:14:36.994+01:00,274040,187055,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.325498,2026-09-01T19:14:36.996+01:00,278256,187056,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.330783,2026-09-01T19:14:37.001+01:00,282472,187057,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.336222,2026-09-01T19:14:37.006+01:00,286688,187058,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.347652,2026-09-01T19:14:37.014+01:00,290904,187059,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.348512,2026-09-01T19:14:37.023+01:00,295120,187060,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.350572,2026-09-01T19:14:37.024+01:00,299336,187061,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.355765,2026-09-01T19:14:37.026+01:00,303552,187062,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.364270,2026-09-01T19:14:37.031+01:00,307768,187063,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.365585,2026-09-01T19:14:37.040+01:00,311984,187064,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.370886,2026-09-01T19:14:37.041+01:00,316200,187065,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.380902,2026-09-01T19:14:37.046+01:00,320416,187066,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.381659,2026-09-01T19:14:37.057+01:00,324632,187067,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.385914,2026-09-01T19:14:37.057+01:00,328848,187068,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.390560,2026-09-01T19:14:37.061+01:00,333064,187069,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.397947,2026-09-01T19:14:37.066+01:00,337280,187070,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.401963,2026-09-01T19:14:37.074+01:00,341496,187071,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.405805,2026-09-01T19:14:37.077+01:00,345712,187072,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.410609,2026-09-01T19:14:37.081+01:00,349928,187073,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.416978,2026-09-01T19:14:37.087+01:00,354144,187074,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.420859,2026-09-01T19:14:37.094+01:00,358360,187075,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.425769,2026-09-01T19:14:37.096+01:00,362576,187076,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.430632,2026-09-01T19:14:37.101+01:00,366792,187077,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.436271,2026-09-01T19:14:37.106+01:00,371008,187078,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.440574,2026-09-01T19:14:37.112+01:00,375224,187079,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.445628,2026-09-01T19:14:37.116+01:00,379440,187080,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.453289,2026-09-01T19:14:37.121+01:00,383656,187081,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.456077,2026-09-01T19:14:37.129+01:00,387872,187082,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.460587,2026-09-01T19:14:37.131+01:00,392088,187083,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.469657,2026-09-01T19:14:37.136+01:00,396304,187084,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.470876,2026-09-01T19:14:37.145+01:00,400520,187085,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.475611,2026-09-01T19:14:37.146+01:00,404736,187086,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
0.481304,2026-09-01T19:14:37.151+01:00,408952,187087,4216,4216,True,True,0x0F,"OK,OK,OK,OK","FULL,FULL,FULL,FULL",
