row,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
R1,2,481,584,1421,1331,407,2,576,874,648,745,1002,1897,4,1068,1779
R2,0,566,691,1639,1518,466,0,672,1034,763,916,1261,2551,1,1161,1842
R3,0,581,700,1758,1505,472,0,685,1056,739,831,1063,1880,0,1107,1613
R4,0,565,674,1640,1563,525,0,640,907,629,691,897,1594,1,920,1308
R5,0,581,686,1750,1902,534,0,687,971,712,766,1003,1818,0,1088,1512
R6,0,412,480,1428,1127,343,0,440,631,456,492,640,1150,1,672,945
R7,1,506,605,1526,1483,437,1,603,883,696,725,957,1788,2,1129,1526
R8,1,549,640,1639,1516,456,0,608,878,675,704,924,1696,2,1032,1408
R9,0,20,24,57,54,17,0,22,33,25,25,31,60,0,37,51
R10,1,2,1,2,1,1,1,1,2,2,2,2,2,0,1,2
R11,1,50,61,168,164,43,1,60,90,76,72,93,202,0,121,156
R12,1,554,639,1681,1536,457,0,603,865,666,681,891,1623,2,959,1316
R13,0,448,531,1373,1356,385,0,524,766,665,626,828,1579,1,977,1240
R14,1,287,346,902,885,246,0,334,484,429,406,547,1106,1,630,824
R15,0,369,437,1142,1321,325,0,429,618,543,497,652,1214,0,734,972
R16,0,360,425,1109,1318,316,1,415,597,529,480,630,1170,1,707,937
