combo,module_count,load,protocol_mode,configured_frequency_Hz,host_state,photo_filename_date_batch,I_sum_mA,V_source_main_V,V_source_min_V,V_source_max_V,P_source_output_estimate_mW,T_teensy_C,T_regulator_C,load_mass_g_recorded,load_area_mm2,load_application,n_records_per_configuration_condition,within_condition_repeat_SD_mA,simultaneous_branch_sum_measured,simultaneous_voltage_current_measurement_verified,provenance_json,I_M0_main_mA,V_M0_main_V,T_M0_stm32_C,I_M1_main_mA,V_M1_main_V,T_M1_stm32_C,I_M2_main_mA,V_M2_main_V,T_M2_stm32_C,I_M3_main_mA,V_M3_main_V,T_M3_stm32_C
M0,1,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-04,18.16,3.280,3.280,3.281,59.56480,43.6,29.0,0,,,1,,False,False,"{""combo"": ""M0"", ""module_count"": ""1"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-04"", ""I_M0_main_mA"": ""18.16"", ""I_M1_main_mA"": """", ""I_M2_main_mA"": """", ""I_M3_main_mA"": """", ""I_sum_mA"": ""18.16"", ""V_source_main_V"": ""3.280"", ""V_source_min_V"": ""3.280"", ""V_source_max_V"": ""3.281"", ""P_source_output_estimate_mW"": ""59.56480"", ""power_uses_cross_record_voltage"": ""False"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml"", ""source_voltage_sha256"": ""f452895420bd4a9bdaa1bf2bf39ca41d3da3bbf383eb1a983a2ba58468894ace"", ""source_voltage_run_id"": ""PS01_N1_F200_ZERO_M0_USB_RX_R1"", ""source_voltage_photo_paths"": """", ""source_voltage_photo_original_references"": """", ""source_voltage_photo_sha256"": """", ""voltage_configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""current_temperature_remeasured_after_connector_repair"": """", ""voltage_quality_event_id"": """", ""T_M0_stm32_C"": ""27.7"", ""T_M1_stm32_C"": """", ""T_M2_stm32_C"": """", ""T_M3_stm32_C"": """", ""T_teensy_C"": ""43.6"", ""T_regulator_C"": ""29.0"", ""I_N1_prediction_mA"": """", ""prediction_residual_mA"": """", ""prediction_residual_percent"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""1"", ""source_record_run_id"": ""PS01_N1_F200_ZERO_M0_USB_RX_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml""}",18.16,3.235,27.7,,,,,,,,,
M0,1,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-04,19.689,3.281,3.281,3.281,64.599609,43.5,29,2000,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/PS01_N1_F200_MAX_M0_USB_RX_R1.yaml"", ""source_record_sha256"": ""1faa6b068ba1e6bea5afbe4fb32bffff334dfe9de9d9743937256b5410e72584"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/IMG_20260904_183630.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/IMG_20260904_183832.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/IMG_20260904_184017.jpg""], ""configuration_photo_sha256"": [""80bb9f217a24fc05912474bf80e4d9867d158ed84ee0406ddb60f833bcf0961f"", ""2dd949a9988dd487dbada178fb23b5a3f1e1417bb55300cf7e774fe84893bc46"", ""91eea73c2b13be1dd24784af4d579954b888109312bc7132c5a9309d15b7f75a""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}",19.689,3.231,26.3,,,,,,,,,
M1,1,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-04;2026-09-05,18.38,3.281,3.280,3.281,60.30478,41.7,28.7,0,,,1,,False,False,"{""combo"": ""M1"", ""module_count"": ""1"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-04;2026-09-05"", ""I_M0_main_mA"": """", ""I_M1_main_mA"": ""18.38"", ""I_M2_main_mA"": """", ""I_M3_main_mA"": """", ""I_sum_mA"": ""18.38"", ""V_source_main_V"": ""3.281"", ""V_source_min_V"": ""3.280"", ""V_source_max_V"": ""3.281"", ""P_source_output_estimate_mW"": ""60.30478"", ""power_uses_cross_record_voltage"": ""False"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml"", ""source_voltage_sha256"": ""ff0fd645259d56a948ea6d2382f6c5b09d0dc4dacc90acec3778432c1cdb6e4b"", ""source_voltage_run_id"": ""PS01_N1_F200_ZERO_M1_USB_RX_R1"", ""source_voltage_photo_paths"": """", ""source_voltage_photo_original_references"": """", ""source_voltage_photo_sha256"": """", ""voltage_configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""current_temperature_remeasured_after_connector_repair"": """", ""voltage_quality_event_id"": """", ""T_M0_stm32_C"": """", ""T_M1_stm32_C"": ""26.9"", ""T_M2_stm32_C"": """", ""T_M3_stm32_C"": """", ""T_teensy_C"": ""41.7"", ""T_regulator_C"": ""28.7"", ""I_N1_prediction_mA"": """", ""prediction_residual_mA"": """", ""prediction_residual_percent"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""1"", ""source_record_run_id"": ""PS01_N1_F200_ZERO_M1_USB_RX_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml""}",,,,18.38,3.255,26.9,,,,,,
M1,1,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-04;2026-09-05,20.11,3.281,3.28,3.281,65.98091,41.6,29.0,2000,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml"", ""source_record_sha256"": ""158d10a7314e366231638b3ab4098c63333c2db55ae189456cb8ff930fd14b54"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/IMG_20260904_185144.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/IMG_20260905_110730.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/IMG_20260905_110800.jpg""], ""configuration_photo_sha256"": [""74f800c91975c73eba3db7fca756f31718096492e6d547b65cd27487544a6502"", ""bb2643d9d9191e55ebcfe94b0ad1cd005c84936f9b9b78d671d47d58c0c89f35"", ""72aa833eeea4606f46a429e4a7a8ec8a56d5fd8047d810ab49987523822fab80""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}",,,,20.11,3.25,27.3,,,,,,
M2,1,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-04;2026-09-05,18.36,3.281,3.280,3.281,60.23916,41.8,29.0,0,,,1,,False,False,"{""combo"": ""M2"", ""module_count"": ""1"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-04;2026-09-05"", ""I_M0_main_mA"": """", ""I_M1_main_mA"": """", ""I_M2_main_mA"": ""18.36"", ""I_M3_main_mA"": """", ""I_sum_mA"": ""18.36"", ""V_source_main_V"": ""3.281"", ""V_source_min_V"": ""3.280"", ""V_source_max_V"": ""3.281"", ""P_source_output_estimate_mW"": ""60.23916"", ""power_uses_cross_record_voltage"": ""False"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml"", ""source_voltage_sha256"": ""65d749c9c43f6e31ff4737849c8511fa0994a9156b0359efb2a3bf102bae0713"", ""source_voltage_run_id"": ""PS01_N1_F200_ZERO_M2_USB_RX_R1"", ""source_voltage_photo_paths"": """", ""source_voltage_photo_original_references"": """", ""source_voltage_photo_sha256"": """", ""voltage_configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""current_temperature_remeasured_after_connector_repair"": """", ""voltage_quality_event_id"": """", ""T_M0_stm32_C"": """", ""T_M1_stm32_C"": """", ""T_M2_stm32_C"": ""26.9"", ""T_M3_stm32_C"": """", ""T_teensy_C"": ""41.8"", ""T_regulator_C"": ""29.0"", ""I_N1_prediction_mA"": """", ""prediction_residual_mA"": """", ""prediction_residual_percent"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""1"", ""source_record_run_id"": ""PS01_N1_F200_ZERO_M2_USB_RX_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml""}",,,,,,,18.36,3.249,26.9,,,
M2,1,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-04;2026-09-05,19.897,3.281,3.28,3.281,65.282057,41.9,29.0,2000,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml"", ""source_record_sha256"": ""0e5661fb3f44c55ed5acd0b8eaf3f4f2d9262e9ebce7351a87bb39635f4a62a8"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/IMG_20260904_190031.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/IMG_20260905_111250.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/IMG_20260905_111323.jpg""], ""configuration_photo_sha256"": [""1ac0081f69cd1429167938e91b46207a74dcf40e229960991304a29d87572ef7"", ""47549bf988d03573aa551635e6b8a99cd638670b0674470cdb274e7222b8cf22"", ""e5a820b474557669e1da4637286ab1c7d0a9c16e244210225a741f481a615daf""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}",,,,,,,19.897,3.247,27.1,,,
M3,1,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-04,18.4,3.280,3.280,3.280,60.3520,41.8,29.0,0,,,1,,False,False,"{""combo"": ""M3"", ""module_count"": ""1"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-04"", ""I_M0_main_mA"": """", ""I_M1_main_mA"": """", ""I_M2_main_mA"": """", ""I_M3_main_mA"": ""18.4"", ""I_sum_mA"": ""18.4"", ""V_source_main_V"": ""3.280"", ""V_source_min_V"": ""3.280"", ""V_source_max_V"": ""3.280"", ""P_source_output_estimate_mW"": ""60.3520"", ""power_uses_cross_record_voltage"": ""False"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml"", ""source_voltage_sha256"": ""9707e77d13f820cfdae66fc04d5874a955ea55f0040f9d2f0576762f7ca7b638"", ""source_voltage_run_id"": ""PS01_N1_F200_ZERO_M3_USB_RX_R1"", ""source_voltage_photo_paths"": """", ""source_voltage_photo_original_references"": """", ""source_voltage_photo_sha256"": """", ""voltage_configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""current_temperature_remeasured_after_connector_repair"": """", ""voltage_quality_event_id"": """", ""T_M0_stm32_C"": """", ""T_M1_stm32_C"": """", ""T_M2_stm32_C"": """", ""T_M3_stm32_C"": ""26.9"", ""T_teensy_C"": ""41.8"", ""T_regulator_C"": ""29.0"", ""I_N1_prediction_mA"": """", ""prediction_residual_mA"": """", ""prediction_residual_percent"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""1"", ""source_record_run_id"": ""PS01_N1_F200_ZERO_M3_USB_RX_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml""}",,,,,,,,,,18.4,3.251,26.9
M3,1,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-04,20.34,3.28,3.28,3.28,66.7152,41.9,29.0,2000,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml"", ""source_record_sha256"": ""3a67413791ed758694a803890a0320e1a2b61ab25f2bf781d762e251fb88ae64"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/IMG_20260904_190828.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/IMG_20260904_191915.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/IMG_20260904_191947.jpg""], ""configuration_photo_sha256"": [""44b6eb1c1eabf436cdd097be8e0e29e72b57570575340f2926d08ba7d7478427"", ""1c63784d79a0366c0a60649bec3d0ec90075e182d5991c5f2bbcb4bd10feedeb"", ""c06b695d604792bf77f55d668c501bc2089b23e39b112ce23f564ddd7a531473""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}",,,,,,,,,,20.34,3.248,27.1
M0-M1,2,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-05,36.016,3.281,3.281,3.281,118.168496,43.1,29.0,0,,,1,,False,False,"{""combo"": ""M0-M1"", ""module_count"": ""2"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-05"", ""I_M0_main_mA"": ""17.961"", ""I_M1_main_mA"": ""18.055"", ""I_M2_main_mA"": """", ""I_M3_main_mA"": """", ""I_sum_mA"": ""36.016"", ""V_source_main_V"": ""3.281"", ""V_source_min_V"": ""3.281"", ""V_source_max_V"": ""3.281"", ""P_source_output_estimate_mW"": ""118.168496"", ""power_uses_cross_record_voltage"": ""False"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml"", ""source_voltage_sha256"": ""293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb"", ""source_voltage_run_id"": ""PS01_N2_F200_ZERO_M0-M1_USB_RX_R1"", ""source_voltage_photo_paths"": """", ""source_voltage_photo_original_references"": """", ""source_voltage_photo_sha256"": """", ""voltage_configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""current_temperature_remeasured_after_connector_repair"": """", ""voltage_quality_event_id"": """", ""T_M0_stm32_C"": ""27.1"", ""T_M1_stm32_C"": ""26.5"", ""T_M2_stm32_C"": """", ""T_M3_stm32_C"": """", ""T_teensy_C"": ""43.1"", ""T_regulator_C"": ""29.0"", ""I_N1_prediction_mA"": ""36.54"", ""prediction_residual_mA"": ""-0.524"", ""prediction_residual_percent"": ""-1.434044882320744389709906951"", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""2"", ""source_record_run_id"": ""PS01_N2_F200_ZERO_M0-M1_USB_RX_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml""}",17.961,3.234,27.1,18.055,3.252,26.5,,,,,,
M0-M1,2,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-05,39.968,3.278,3.278,3.279,131.015104,42.9,29.6,2000,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml"", ""source_record_sha256"": ""a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_113832.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114202.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114322.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114418.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114442.jpg""], ""configuration_photo_sha256"": [""305618853eeba6a44f8bec8c47134b34d6828e17209421ca807868c624c986fb"", ""b2a49394e97275f29c737fc0fe47dc29f6cec44025cb225c5fed2c6d24e81ea8"", ""5cb4fadf06c48c31417ffb9505eac825b80ca4817d50f1df8acb1e358df4296c"", ""380552237968b1ff68a3173d1d0f01464513f9399319641019e79b0fef547517"", ""c707e90d7552a4167cf28172f7272b77f5a890bb254bc0dd9d6efad2621a7ff4""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}",19.708,3.241,27.3,20.26,3.248,26.8,,,,,,
