load,combo,V_source_main_V,V_source_min_V,V_source_max_V,provenance_json
ZERO,M0,3.280,3.280,3.281,"{""configuration_id"": ""ZERO:M0"", ""load"": ""ZERO"", ""combo"": ""M0"", ""module_count"": ""1"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.280"", ""min_V"": ""3.280"", ""max_V"": ""3.281"", ""point_source_run_id"": ""PS01_N1_F200_ZERO_M0_USB_RX_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml"", ""point_source_sha256"": ""f452895420bd4a9bdaa1bf2bf39ca41d3da3bbf383eb1a983a2ba58468894ace"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": """", ""photo_sha256"": """", ""photo_original_references"": """", ""photo_mapping_basis"": ""not_mapped_in_original_record"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M1,3.281,3.280,3.281,"{""configuration_id"": ""ZERO:M1"", ""load"": ""ZERO"", ""combo"": ""M1"", ""module_count"": ""1"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.281"", ""min_V"": ""3.280"", ""max_V"": ""3.281"", ""point_source_run_id"": ""PS01_N1_F200_ZERO_M1_USB_RX_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml"", ""point_source_sha256"": ""ff0fd645259d56a948ea6d2382f6c5b09d0dc4dacc90acec3778432c1cdb6e4b"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": """", ""photo_sha256"": """", ""photo_original_references"": """", ""photo_mapping_basis"": ""not_mapped_in_original_record"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M2,3.281,3.280,3.281,"{""configuration_id"": ""ZERO:M2"", ""load"": ""ZERO"", ""combo"": ""M2"", ""module_count"": ""1"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.281"", ""min_V"": ""3.280"", ""max_V"": ""3.281"", ""point_source_run_id"": ""PS01_N1_F200_ZERO_M2_USB_RX_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml"", ""point_source_sha256"": ""65d749c9c43f6e31ff4737849c8511fa0994a9156b0359efb2a3bf102bae0713"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": """", ""photo_sha256"": """", ""photo_original_references"": """", ""photo_mapping_basis"": ""not_mapped_in_original_record"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M3,3.280,3.280,3.280,"{""configuration_id"": ""ZERO:M3"", ""load"": ""ZERO"", ""combo"": ""M3"", ""module_count"": ""1"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.280"", ""min_V"": ""3.280"", ""max_V"": ""3.280"", ""point_source_run_id"": ""PS01_N1_F200_ZERO_M3_USB_RX_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml"", ""point_source_sha256"": ""9707e77d13f820cfdae66fc04d5874a955ea55f0040f9d2f0576762f7ca7b638"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": """", ""photo_sha256"": """", ""photo_original_references"": """", ""photo_mapping_basis"": ""not_mapped_in_original_record"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M0-M1,3.281,3.281,3.281,"{""configuration_id"": ""ZERO:M0+M1"", ""load"": ""ZERO"", ""combo"": ""M0+M1"", ""module_count"": ""2"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.281"", ""min_V"": ""3.281"", ""max_V"": ""3.281"", ""point_source_run_id"": ""PS01_N2_F200_ZERO_M0-M1_USB_RX_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml"", ""point_source_sha256"": ""293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": """", ""photo_sha256"": """", ""photo_original_references"": """", ""photo_mapping_basis"": ""not_mapped_in_original_record"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M0-M2,3.279,3.279,3.279,"{""configuration_id"": ""ZERO:M0+M2"", ""load"": ""ZERO"", ""combo"": ""M0+M2"", ""module_count"": ""2"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.279"", ""min_V"": ""3.279"", ""max_V"": ""3.279"", ""point_source_run_id"": ""PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml"", ""point_source_sha256"": ""61fb4eab2ee15e218706767d0d6c694b12c3d8018d2da9773245157496811fef"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260906_231927.jpg"", ""photo_sha256"": ""95052ff8b47b164ee3c99cd997c9b1d6c1e52909537ae98ae4fac7fd53418349"", ""photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_231927.jpg"", ""photo_mapping_basis"": ""record_voltage_photo_evidence"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M0-M3,3.279,3.278,3.279,"{""configuration_id"": ""ZERO:M0+M3"", ""load"": ""ZERO"", ""combo"": ""M0+M3"", ""module_count"": ""2"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.279"", ""min_V"": ""3.278"", ""max_V"": ""3.279"", ""point_source_run_id"": ""PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml"", ""point_source_sha256"": ""ea37816dd44a084a23490a531bc5eaa8634403acc6a4bbe63375234b9ae4de80"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260906_232855.jpg"", ""photo_sha256"": ""be9a773ea9595f2acd6642ce04ead2900e21c318f4cc77e3edc3e41f874057a2"", ""photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232855.jpg"", ""photo_mapping_basis"": ""record_voltage_photo_evidence"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M1-M2,3.278,3.278,3.278,"{""configuration_id"": ""ZERO:M1+M2"", ""load"": ""ZERO"", ""combo"": ""M1+M2"", ""module_count"": ""2"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.278"", ""min_V"": ""3.278"", ""max_V"": ""3.278"", ""point_source_run_id"": ""PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml"", ""point_source_sha256"": ""6de2a9ff6fe5d6035346802c2411c29a8ed87e0ef5c54d376eb7b73e1ba08979"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260906_233306.jpg"", ""photo_sha256"": ""3d753b4168d64ef862ffc0149338427602720f81ba18b6652615c736abdb9049"", ""photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233306.jpg"", ""photo_mapping_basis"": ""record_voltage_photo_evidence"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M1-M3,3.278,3.278,3.279,"{""configuration_id"": ""ZERO:M1+M3"", ""load"": ""ZERO"", ""combo"": ""M1+M3"", ""module_count"": ""2"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.278"", ""min_V"": ""3.278"", ""max_V"": ""3.279"", ""point_source_run_id"": ""PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml"", ""point_source_sha256"": ""d3aac60eb88bfcb9208d4acf2ceb07be8d751e33e28b3316085f5470a26458cc"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260906_233839.jpg"", ""photo_sha256"": ""1b42628f0bea0e4e6da5ce7de53f527868380894046d0fbff298de29b436170b"", ""photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233839.jpg"", ""photo_mapping_basis"": ""record_voltage_photo_evidence"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M2-M3,3.279,3.278,3.279,"{""configuration_id"": ""ZERO:M2+M3"", ""load"": ""ZERO"", ""combo"": ""M2+M3"", ""module_count"": ""2"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.279"", ""min_V"": ""3.278"", ""max_V"": ""3.279"", ""point_source_run_id"": ""PS01_N2_F200_ZERO_M2-M3_USB_RX_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml"", ""point_source_sha256"": ""b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": """", ""photo_sha256"": """", ""photo_original_references"": """", ""photo_mapping_basis"": ""not_mapped_in_original_record"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
