module_count,combo,module_id,ZERO_source_main_V,ZERO_module_main_V,MAX_source_main_V,MAX_module_main_V,ZERO_drop_mV,MAX_drop_mV,MAX_minus_ZERO_drop_mV,signed_display_mV,direction,includes_targeted_retest,meaning
1,M0,M0,3.280,3.252,3.281,3.249,28.000,32.000,4.000,+4,increase,True,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
1,M1,M1,3.281,3.255,3.281,3.25,26.000,31.000,5.000,+5,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
1,M2,M2,3.281,3.249,3.281,3.247,32.000,34.000,2.000,+2,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
1,M3,M3,3.280,3.251,3.28,3.248,29.000,32.000,3.000,+3,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M0-M1,M0,3.281,3.251,3.278,3.241,30.000,37.000,7.000,+7,increase,True,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M0-M1,M1,3.281,3.252,3.278,3.248,29.000,30.000,1.000,+1,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M0-M2,M0,3.279,3.251,3.278,3.240,28.000,38.000,10.000,+10,increase,True,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M0-M2,M2,3.279,3.248,3.278,3.241,31.000,37.000,6.000,+6,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M0-M3,M0,3.279,3.250,3.278,3.241,29.000,37.000,8.000,+8,increase,True,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M0-M3,M3,3.279,3.241,3.278,3.244,38.000,34.000,-4.000,−4,decrease,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M1-M2,M1,3.278,3.252,3.277,3.251,26.000,26.000,0.000,0,unchanged,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M1-M2,M2,3.278,3.247,3.277,3.244,31.000,33.000,2.000,+2,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M1-M3,M1,3.278,3.248,3.277,3.250,30.000,27.000,-3.000,−3,decrease,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M1-M3,M3,3.278,3.245,3.277,3.246,33.000,31.000,-2.000,−2,decrease,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M2-M3,M2,3.279,3.248,3.278,3.245,31.000,33.000,2.000,+2,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
2,M2-M3,M3,3.279,3.248,3.278,3.246,31.000,32.000,1.000,+1,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M0-M1-M2,M0,3.276,3.241,3.276,3.237,35.000,39.000,4.000,+4,increase,True,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M0-M1-M2,M1,3.276,3.250,3.276,3.246,26.000,30.000,4.000,+4,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M0-M1-M2,M2,3.276,3.246,3.276,3.242,30.000,34.000,4.000,+4,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M0-M1-M3,M0,3.277,3.241,3.275,3.239,36.000,36.000,0.000,0,unchanged,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M0-M1-M3,M1,3.277,3.248,3.275,3.248,29.000,27.000,-2.000,−2,decrease,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M0-M1-M3,M3,3.277,3.249,3.275,3.243,28.000,32.000,4.000,+4,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M0-M2-M3,M0,3.276,3.241,3.275,3.240,35.000,35.000,0.000,0,unchanged,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M0-M2-M3,M2,3.276,3.242,3.275,3.242,34.000,33.000,-1.000,−1,decrease,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M0-M2-M3,M3,3.276,3.244,3.275,3.243,32.000,32.000,0.000,0,unchanged,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M1-M2-M3,M1,3.276,3.249,3.276,3.249,27.000,27.000,0.000,0,unchanged,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M1-M2-M3,M2,3.276,3.245,3.276,3.243,31.000,33.000,2.000,+2,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
3,M1-M2-M3,M3,3.276,3.249,3.276,3.243,27.000,33.000,6.000,+6,increase,True,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
4,M0-M1-M2-M3,M0,3.274,3.240,3.273,3.237,34.000,36.000,2.000,+2,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
4,M0-M1-M2-M3,M1,3.274,3.245,3.273,3.245,29.000,28.000,-1.000,−1,decrease,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
4,M0-M1-M2-M3,M2,3.274,3.243,3.273,3.24,31.000,33.000,2.000,+2,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
4,M0-M1-M2-M3,M3,3.274,3.248,3.273,3.242,26.000,31.000,5.000,+5,increase,False,Difference between recorded load conditions for the same combination and module; not an added repeat or isolated causal load effect
