load,N,module_id,n_combinations,mean_mV,SD_mV,min_mV,max_mV,individual_values_mV,combos,includes_targeted_retest,pending_voltage_assignment
ZERO,1,M0,1,28,,28.000,28.000,28.000,M0,True,False
ZERO,1,M1,1,26,,26.000,26.000,26.000,M1,False,False
ZERO,1,M2,1,32,,32.000,32.000,32.000,M2,False,False
ZERO,1,M3,1,29,,29.000,29.000,29.000,M3,False,False
ZERO,2,M0,3,29,1,28.000,30.000,30.000;28.000;29.000,M0-M1;M0-M2;M0-M3,True,False
ZERO,2,M1,3,28.33333333333333333333333333,2.081665999466132735282297707,26.000,30.000,29.000;26.000;30.000,M0-M1;M1-M2;M1-M3,False,False
ZERO,2,M2,3,31,0.0,31.000,31.000,31.000;31.000;31.000,M0-M2;M1-M2;M2-M3,False,False
ZERO,2,M3,3,34,3.605551275463989293119221267,31.000,38.000,38.000;33.000;31.000,M0-M3;M1-M3;M2-M3,False,False
ZERO,3,M0,3,35.33333333333333333333333333,0.5773502691896257645091487805,35.000,36.000,35.000;36.000;35.000,M0-M1-M2;M0-M1-M3;M0-M2-M3,True,False
ZERO,3,M1,3,27.33333333333333333333333333,1.527525231651946668862682398,26.000,29.000,26.000;29.000;27.000,M0-M1-M2;M0-M1-M3;M1-M2-M3,False,False
ZERO,3,M2,3,31.66666666666666666666666667,2.081665999466132735282297707,30.000,34.000,30.000;34.000;31.000,M0-M1-M2;M0-M2-M3;M1-M2-M3,False,False
ZERO,3,M3,3,29,2.645751311064590590501615754,27.000,32.000,28.000;32.000;27.000,M0-M1-M3;M0-M2-M3;M1-M2-M3,False,False
ZERO,4,M0,1,34,,34.000,34.000,34.000,M0-M1-M2-M3,False,False
ZERO,4,M1,1,29,,29.000,29.000,29.000,M0-M1-M2-M3,False,False
ZERO,4,M2,1,31,,31.000,31.000,31.000,M0-M1-M2-M3,False,False
ZERO,4,M3,1,26,,26.000,26.000,26.000,M0-M1-M2-M3,False,False
MAX,1,M0,1,32,,32.000,32.000,32.000,M0,True,False
MAX,1,M1,1,31,,31.000,31.000,31.000,M1,False,False
MAX,1,M2,1,34,,34.000,34.000,34.000,M2,False,False
MAX,1,M3,1,32,,32.000,32.000,32.000,M3,False,False
MAX,2,M0,3,37.33333333333333333333333333,0.5773502691896257645091487805,37.000,38.000,37.000;38.000;37.000,M0-M1;M0-M2;M0-M3,False,False
MAX,2,M1,3,27.66666666666666666666666667,2.081665999466132735282297707,26.000,30.000,30.000;26.000;27.000,M0-M1;M1-M2;M1-M3,False,False
MAX,2,M2,3,34.33333333333333333333333333,2.309401076758503058036595122,33.000,37.000,37.000;33.000;33.000,M0-M2;M1-M2;M2-M3,False,False
MAX,2,M3,3,32.33333333333333333333333333,1.527525231651946668862682398,31.000,34.000,34.000;31.000;32.000,M0-M3;M1-M3;M2-M3,False,False
MAX,3,M0,3,36.66666666666666666666666667,2.081665999466132735282297707,35.000,39.000,39.000;36.000;35.000,M0-M1-M2;M0-M1-M3;M0-M2-M3,False,False
MAX,3,M1,3,28,1.732050807568877293527446342,27.000,30.000,30.000;27.000;27.000,M0-M1-M2;M0-M1-M3;M1-M2-M3,False,False
MAX,3,M2,3,33.33333333333333333333333333,0.5773502691896257645091487805,33.000,34.000,34.000;33.000;33.000,M0-M1-M2;M0-M2-M3;M1-M2-M3,False,False
MAX,3,M3,3,32.33333333333333333333333333,0.5773502691896257645091487805,32.000,33.000,32.000;32.000;33.000,M0-M1-M3;M0-M2-M3;M1-M2-M3,True,False
MAX,4,M0,1,36,,36.000,36.000,36.000,M0-M1-M2-M3,False,False
MAX,4,M1,1,28,,28.000,28.000,28.000,M0-M1-M2-M3,False,False
MAX,4,M2,1,33,,33.000,33.000,33.000,M0-M1-M2-M3,False,False
MAX,4,M3,1,31,,31.000,31.000,31.000,M0-M1-M2-M3,False,False
