load,N,module_id,n_combinations_containing_module,mean_drop_mV,sample_SD_across_combinations_mV,min_drop_mV,max_drop_mV,combination_ids,individual_drop_mV,contains_separate_M0_retest_estimate,independent_repeats_per_exact_condition
ZERO,1,M0,1,45,,45.000,45.000,M0,45.000,False,1
ZERO,1,M1,1,26,,26.000,26.000,M1,26.000,False,1
ZERO,1,M2,1,32,,32.000,32.000,M2,32.000,False,1
ZERO,1,M3,1,29,,29.000,29.000,M3,29.000,False,1
ZERO,2,M0,3,44.33333333333333333333333333,2.516611478423583232412228269,42.000,47.000,M0-M1;M0-M2;M0-M3,47.000;44.000;42.000,False,1
ZERO,2,M1,3,28.33333333333333333333333333,2.081665999466132735282297707,26.000,30.000,M0-M1;M1-M2;M1-M3,29.000;26.000;30.000,False,1
ZERO,2,M2,3,31,0.0,31.000,31.000,M0-M2;M1-M2;M2-M3,31.000;31.000;31.000,False,1
ZERO,2,M3,3,34,3.605551275463989293119221267,31.000,38.000,M0-M3;M1-M3;M2-M3,38.000;33.000;31.000,False,1
ZERO,3,M0,3,35.33333333333333333333333333,0.5773502691896257645091487805,35.000,36.000,M0-M1-M2;M0-M1-M3;M0-M2-M3,35.000;36.000;35.000,True,1
ZERO,3,M1,3,27.33333333333333333333333333,1.527525231651946668862682398,26.000,29.000,M0-M1-M2;M0-M1-M3;M1-M2-M3,26.000;29.000;27.000,False,1
ZERO,3,M2,3,31.66666666666666666666666667,2.081665999466132735282297707,30.000,34.000,M0-M1-M2;M0-M2-M3;M1-M2-M3,30.000;34.000;31.000,False,1
ZERO,3,M3,3,29,2.645751311064590590501615754,27.000,32.000,M0-M1-M3;M0-M2-M3;M1-M2-M3,28.000;32.000;27.000,False,1
ZERO,4,M0,1,34,,34.000,34.000,M0-M1-M2-M3,34.000,False,1
ZERO,4,M1,1,29,,29.000,29.000,M0-M1-M2-M3,29.000,False,1
ZERO,4,M2,1,31,,31.000,31.000,M0-M1-M2-M3,31.000,False,1
ZERO,4,M3,1,26,,26.000,26.000,M0-M1-M2-M3,26.000,False,1
MAX,1,M0,1,50,,50.000,50.000,M0,50.000,False,1
MAX,1,M1,1,31,,31.000,31.000,M1,31.000,False,1
MAX,1,M2,1,34,,34.000,34.000,M2,34.000,False,1
MAX,1,M3,1,32,,32.000,32.000,M3,32.000,False,1
MAX,2,M0,3,37.33333333333333333333333333,0.5773502691896257645091487805,37.000,38.000,M0-M1;M0-M2;M0-M3,37.000;38.000;37.000,False,1
MAX,2,M1,3,27.66666666666666666666666667,2.081665999466132735282297707,26.000,30.000,M0-M1;M1-M2;M1-M3,30.000;26.000;27.000,False,1
MAX,2,M2,3,34.33333333333333333333333333,2.309401076758503058036595122,33.000,37.000,M0-M2;M1-M2;M2-M3,37.000;33.000;33.000,False,1
MAX,2,M3,3,32.33333333333333333333333333,1.527525231651946668862682398,31.000,34.000,M0-M3;M1-M3;M2-M3,34.000;31.000;32.000,False,1
MAX,3,M0,3,36.66666666666666666666666667,2.081665999466132735282297707,35.000,39.000,M0-M1-M2;M0-M1-M3;M0-M2-M3,39.000;36.000;35.000,False,1
MAX,3,M1,3,28,1.732050807568877293527446342,27.000,30.000,M0-M1-M2;M0-M1-M3;M1-M2-M3,30.000;27.000;27.000,False,1
MAX,3,M2,3,33.33333333333333333333333333,0.5773502691896257645091487805,33.000,34.000,M0-M1-M2;M0-M2-M3;M1-M2-M3,34.000;33.000;33.000,False,1
MAX,3,M3,3,36,6.928203230275509174109785366,32.000,44.000,M0-M1-M3;M0-M2-M3;M1-M2-M3,32.000;32.000;44.000,False,1
MAX,4,M0,1,36,,36.000,36.000,M0-M1-M2-M3,36.000,False,1
MAX,4,M1,1,28,,28.000,28.000,M0-M1-M2-M3,28.000,False,1
MAX,4,M2,1,33,,33.000,33.000,M0-M1-M2-M3,33.000,False,1
MAX,4,M3,1,31,,31.000,31.000,M0-M1-M2-M3,31.000,False,1
