combo,module_id,I_main_mA,I_min_mA,I_max_mA,T_stm32_C,V_module_main_V,current_source,current_photo,current_photo_sha256,current_photo_original_reference,I_min_source,I_min_note,current_filename_date_batch,temperature_source,voltage_source,voltage_source_run_id,quality_note,n_records_in_this_condition,within_condition_repeat_SD_mA
M0-M1,M0,17.961,17.93,17.97,27.1,3.234,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,,,,original_YAML,,2026-09-05,original_YAML,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,,1,
M0-M1,M1,18.055,18.06,18.31,26.5,3.252,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,,,,original_YAML,,2026-09-05,original_YAML,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,MAIN_OUTSIDE_DISPLAY_MIN_MAX,1,
M0-M2,M0,17.985,17.96,18.01,27.3,3.235,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260907_010853.jpg,c98f4598a83ec93e9f81fb8f85b1c3e174938c7ef0769f5b4e0f984f7bf76d67,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_010853.jpg,photo,,2026-09-07,user_message_via_supplement,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml,PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,,1,
M0-M2,M2,18.316,18.28,18.36,26.8,3.248,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260907_011244.jpg,bee17ba712d8cabf798f77378a2f11e5de6df832f264888a8f0753ea0ac4557a,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_011244.jpg,photo,,2026-09-07,user_message_via_supplement,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml,PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,,1,
M0-M3,M0,17.985,17.96,18.02,27.3,3.237,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260907_011436.jpg,8ca7e04a6bf45ff87b89a86743e1f19655796c27292e9d2862d97024a312c2dd,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_011436.jpg,photo,,2026-09-07,user_message_via_supplement,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml,PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,,1,
M0-M3,M3,17.922,17.89,18.05,26.4,3.241,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260907_011700.jpg,2ece96481d2739c2199b609f79e55a35fb06ad621ae6fdf2935a1fb127a24279,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_011700.jpg,user_confirmation,MIN confirmed by user as 17.89 mA on 2026-09-07; photo obscured by glare,2026-09-07,user_message_via_supplement,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml,PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,,1,
M1-M2,M1,18.151,18.12,18.16,26.5,3.252,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260907_012031.jpg,673c646dba9f4d95049978c1b632f1108edf2a34e90e60297da866412abfd10f,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_012031.jpg,photo,,2026-09-07,user_message_via_supplement,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml,PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,,1,
M1-M2,M2,18.110,18.07,18.12,26.3,3.247,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260907_012237.jpg,ef553ac318cb203f4c7cfb97ac4a59cbd08ce8ad83fb806fc40349c2540a8310,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_012237.jpg,photo,,2026-09-07,user_message_via_supplement,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml,PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,,1,
M1-M3,M1,18.464,18.43,18.49,26.7,3.248,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260907_012628.jpg,66cda4f9645c78a8509901d51a9fc5f83f7a010e24f6d1bf9afc608427d6001a,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_012628.jpg,photo,,2026-09-07,user_message_via_supplement,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml,PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,,1,
M1-M3,M3,18.097,18.07,18.11,26.5,3.245,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260907_012749.jpg,3867fdb1ee89a0467a872fa865c3ac7ee89795de75daf5fdc0e2f8417225f1b0,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_012749.jpg,photo,,2026-09-07,user_message_via_supplement,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml,PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,,1,
