combo,module_count,load,protocol_mode,configured_frequency_Hz,current_filename_date_batch,I_M0_main_mA,I_M1_main_mA,I_M2_main_mA,I_M3_main_mA,I_sum_mA,V_source_main_V,V_source_min_V,V_source_max_V,P_source_output_estimate_mW,power_uses_cross_record_voltage,power_is_simultaneous_measurement,branch_sum_is_simultaneous_measurement,source_voltage_path,source_voltage_sha256,source_voltage_run_id,source_voltage_photo_paths,source_voltage_photo_original_references,source_voltage_photo_sha256,voltage_configuration_kind,current_temperature_remeasured_after_connector_repair,voltage_quality_event_id,T_M0_stm32_C,T_M1_stm32_C,T_M2_stm32_C,T_M3_stm32_C,T_teensy_C,T_regulator_C,I_N1_prediction_mA,prediction_residual_mA,prediction_residual_percent,n_current_records_in_this_condition,within_condition_repeat_SD_mA,current_MIN_MAX_complete_branches,source_record_run_id,current_source
M0,1,ZERO,FULL,200,2026-09-04,18.16,,,,18.16,3.280,3.280,3.281,59.56480,False,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml,f452895420bd4a9bdaa1bf2bf39ca41d3da3bbf383eb1a983a2ba58468894ace,PS01_N1_F200_ZERO_M0_USB_RX_R1,,,,SAME_RECORD_VOLTAGE_CONFIGURATION,,,27.7,,,,43.6,29.0,,,,1,,1,PS01_N1_F200_ZERO_M0_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml
M1,1,ZERO,FULL,200,2026-09-04;2026-09-05,,18.38,,,18.38,3.281,3.280,3.281,60.30478,False,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml,ff0fd645259d56a948ea6d2382f6c5b09d0dc4dacc90acec3778432c1cdb6e4b,PS01_N1_F200_ZERO_M1_USB_RX_R1,,,,SAME_RECORD_VOLTAGE_CONFIGURATION,,,,26.9,,,41.7,28.7,,,,1,,1,PS01_N1_F200_ZERO_M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml
M2,1,ZERO,FULL,200,2026-09-04;2026-09-05,,,18.36,,18.36,3.281,3.280,3.281,60.23916,False,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml,65d749c9c43f6e31ff4737849c8511fa0994a9156b0359efb2a3bf102bae0713,PS01_N1_F200_ZERO_M2_USB_RX_R1,,,,SAME_RECORD_VOLTAGE_CONFIGURATION,,,,,26.9,,41.8,29.0,,,,1,,1,PS01_N1_F200_ZERO_M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml
M3,1,ZERO,FULL,200,2026-09-04,,,,18.4,18.4,3.280,3.280,3.280,60.3520,False,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,9707e77d13f820cfdae66fc04d5874a955ea55f0040f9d2f0576762f7ca7b638,PS01_N1_F200_ZERO_M3_USB_RX_R1,,,,SAME_RECORD_VOLTAGE_CONFIGURATION,,,,,,26.9,41.8,29.0,,,,1,,1,PS01_N1_F200_ZERO_M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml
M0-M1,2,ZERO,FULL,200,2026-09-05,17.961,18.055,,,36.016,3.281,3.281,3.281,118.168496,False,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,,,,SAME_RECORD_VOLTAGE_CONFIGURATION,,,27.1,26.5,,,43.1,29.0,36.54,-0.524,-1.434044882320744389709906951,1,,2,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml
M0-M2,2,ZERO,FULL,200,2026-09-07,17.985,,18.316,,36.301,3.279,3.279,3.279,119.030979,True,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml,61fb4eab2ee15e218706767d0d6c694b12c3d8018d2da9773245157496811fef,PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260906_231927.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_231927.jpg,95052ff8b47b164ee3c99cd997c9b1d6c1e52909537ae98ae4fac7fd53418349,SAME_RECORD_VOLTAGE_CONFIGURATION,,,27.3,,26.8,,42.5,29.3,36.52,-0.219,-0.5996714129244249726177437021,1,,2,PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv
M0-M3,2,ZERO,FULL,200,2026-09-07,17.985,,,17.922,35.907,3.279,3.278,3.279,117.739053,True,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml,ea37816dd44a084a23490a531bc5eaa8634403acc6a4bbe63375234b9ae4de80,PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260906_232855.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232855.jpg,be9a773ea9595f2acd6642ce04ead2900e21c318f4cc77e3edc3e41f874057a2,SAME_RECORD_VOLTAGE_CONFIGURATION,,,27.3,,,26.4,42.6,29.2,36.56,-0.653,-1.786105032822757111597374179,1,,2,PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv
M1-M2,2,ZERO,FULL,200,2026-09-07,,18.151,18.110,,36.261,3.278,3.278,3.278,118.863558,True,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml,6de2a9ff6fe5d6035346802c2411c29a8ed87e0ef5c54d376eb7b73e1ba08979,PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260906_233306.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233306.jpg,3d753b4168d64ef862ffc0149338427602720f81ba18b6652615c736abdb9049,SAME_RECORD_VOLTAGE_CONFIGURATION,,,,26.5,26.3,,42.8,29.1,36.74,-0.479,-1.303756124115405552531301034,1,,2,PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv
M1-M3,2,ZERO,FULL,200,2026-09-07,,18.464,,18.097,36.561,3.278,3.278,3.279,119.846958,True,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml,d3aac60eb88bfcb9208d4acf2ceb07be8d751e33e28b3316085f5470a26458cc,PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260906_233839.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233839.jpg,1b42628f0bea0e4e6da5ce7de53f527868380894046d0fbff298de29b436170b,SAME_RECORD_VOLTAGE_CONFIGURATION,,,,26.7,,26.5,42.5,28.8,36.78,-0.219,-0.5954323001631321370309951060,1,,2,PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv
M2-M3,2,ZERO,FULL,200,2026-09-05,,,18.379,18.155,36.534,3.279,3.278,3.279,119.794986,False,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml,b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d,PS01_N2_F200_ZERO_M2-M3_USB_RX_R1,,,,SAME_RECORD_VOLTAGE_CONFIGURATION,,,,,26.7,27.1,42.6,29.2,36.76,-0.226,-0.6147986942328618063112078346,1,,2,PS01_N2_F200_ZERO_M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml
