configuration_id,load,combo,module_count,configuration_kind,accepted_complete,same_record_complete,counts_as_additional_independent_run,simultaneous_new_acquisition_claimed,point_id,main_V,min_V,max_V,point_source_run_id,point_source_path,point_source_sha256,point_source_fields,photo_paths,photo_sha256,photo_original_references,photo_mapping_basis,point_acceptance_basis,source_reference_run_id,source_reference_main_V,source_to_point_drop_mV,drop_uses_same_record,drop_basis,quality_event_id
MAX:M0,MAX,M0,1,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.281,3.281,3.281,PS01_N1_F200_MAX_M0_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/PS01_N1_F200_MAX_M0_USB_RX_R1.yaml,1faa6b068ba1e6bea5afbe4fb32bffff334dfe9de9d9743937256b5410e72584,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
MAX:M0,MAX,M0,1,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M0,3.231,3.231,3.232,PS01_N1_F200_MAX_M0_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/PS01_N1_F200_MAX_M0_USB_RX_R1.yaml,1faa6b068ba1e6bea5afbe4fb32bffff334dfe9de9d9743937256b5410e72584,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N1_F200_MAX_M0_USB_RX_R1,3.281,50.000,True,source_and_module_main_in_same_record,
MAX:M0+M1,MAX,M0+M1,2,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.278,3.278,3.279,PS01_N2_F200_MAX_M0-M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
MAX:M0+M1,MAX,M0+M1,2,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M0,3.241,3.241,3.242,PS01_N2_F200_MAX_M0-M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N2_F200_MAX_M0-M1_USB_RX_R1,3.278,37.000,True,source_and_module_main_in_same_record,
MAX:M0+M1,MAX,M0+M1,2,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M1,3.248,3.248,3.248,PS01_N2_F200_MAX_M0-M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13,V_module1_avg_V;V_module1_min_V;V_module1_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N2_F200_MAX_M0-M1_USB_RX_R1,3.278,30.000,True,source_and_module_main_in_same_record,
MAX:M0+M1+M2,MAX,M0+M1+M2,3,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.276,3.275,3.276,PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml,31e4de3dd989405d4b9493b715842080243526e317562b584b09ae90ebcb5f27,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
MAX:M0+M1+M2,MAX,M0+M1+M2,3,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M0,3.237,3.237,3.237,PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml,31e4de3dd989405d4b9493b715842080243526e317562b584b09ae90ebcb5f27,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,3.276,39.000,True,source_and_module_main_in_same_record,
MAX:M0+M1+M2,MAX,M0+M1+M2,3,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M1,3.246,3.246,3.246,PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml,31e4de3dd989405d4b9493b715842080243526e317562b584b09ae90ebcb5f27,V_module1_avg_V;V_module1_min_V;V_module1_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,3.276,30.000,True,source_and_module_main_in_same_record,
MAX:M0+M1+M2,MAX,M0+M1+M2,3,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M2,3.242,3.242,3.243,PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml,31e4de3dd989405d4b9493b715842080243526e317562b584b09ae90ebcb5f27,V_module2_avg_V;V_module2_min_V;V_module2_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,3.276,34.000,True,source_and_module_main_in_same_record,
MAX:M0+M1+M2+M3,MAX,M0+M1+M2+M3,4,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.273,3.273,3.273,PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1.yaml,5d646a643cf07a40cc5e0526dcee4cfde2e0bf50405af0e858298c54ba203102,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
