load,combo,module_count,I_observed_sum_mA,I_prediction_from_same_load_N1_physical_modules_mA,residual_mA,residual_percent_of_prediction,N1_references_mA_json,additional_independent_same_condition_repeats,interpretation,assembled_with_targeted_retest
ZERO,M0-M1,2,35.996,36.398,-0.402,-1.104456288807077311940216495,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,True
ZERO,M0-M2,2,36.285,36.378,-0.093,-0.2556490186376381329374896916,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,True
ZERO,M0-M3,2,35.878,36.418,-0.540,-1.482783239057608874732275249,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,True
ZERO,M1-M2,2,36.261,36.74,-0.479,-1.303756124115405552531301034,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
ZERO,M1-M3,2,36.561,36.78,-0.219,-0.5954323001631321370309951060,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
ZERO,M2-M3,2,36.534,36.76,-0.226,-0.6147986942328618063112078346,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
ZERO,M0-M1-M2,3,54.564,54.758,-0.194,-0.3542861317067825705832937653,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,True
ZERO,M0-M1-M3,3,54.159,54.798,-0.639,-1.166100952589510566079053980,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
ZERO,M0-M2-M3,3,54.130,54.778,-0.648,-1.182956661433422176786301070,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
ZERO,M1-M2-M3,3,54.851,55.14,-0.289,-0.5241204207471889735219441422,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
ZERO,M0-M1-M2-M3,4,72.513,73.158,-0.645,-0.8816534076929385713114081850,"{""M0"": 18.018, ""M1"": 18.38, ""M2"": 18.36, ""M3"": 18.4}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
MAX,M0-M1,2,39.968,39.785,0.183,0.4599723513887143395752167902,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
MAX,M0-M2,2,39.357,39.572,-0.215,-0.5433134539573435762660466997,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
MAX,M0-M3,2,39.335,40.015,-0.680,-1.699362738972885168061976759,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
MAX,M1-M2,2,39.719,40.007,-0.288,-0.7198740220461419251630964581,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
MAX,M1-M3,2,40.016,40.45,-0.434,-1.072929542645241038318912237,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
MAX,M2-M3,2,39.379,40.237,-0.858,-2.132365733031786664015706936,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
MAX,M0-M1-M2,3,59.328,59.682,-0.354,-0.5931436614054488790590127677,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
MAX,M0-M1-M3,3,58.631,60.125,-1.494,-2.484823284823284823284823285,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
MAX,M0-M2-M3,3,58.279,59.912,-1.633,-2.725664307651221791961543597,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
MAX,M1-M2-M3,3,59.159,60.347,-1.188,-1.968614844151324838020116990,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,True
MAX,M0-M1-M2-M3,4,78.720,80.022,-1.302,-1.627052560545849891279898028,"{""M0"": 19.675, ""M1"": 20.11, ""M2"": 19.897, ""M3"": 20.34}",0,Descriptive compiled sum versus separate N1 references; M0 reference uses latest current retest,False
