run_id,date,measurement_start_time,record_status,module_count,module_ids,frequency_hz,protocol_mode,load,acc_used,power_supply_v,power_supply_model,current_unit,DMM_current_range,power_supply_current_limit_setting_mA,V_source_avg_V,V_source_min_V,V_source_max_V,V_module0_avg_V,V_module0_min_V,V_module0_max_V,I_source_avg_mA,I_source_min_mA,I_source_max_mA,I_module0_avg_mA,I_module0_min_mA,I_module0_max_mA,T_start_C,T_stm32_stable_C,T_regulator_stable_C,T_teensy_stable_C,reset_count,current_limit_count,brownout_count,data_stop_count,other_fault,voltage_method,current_method,temperature_method,state_method,observation,conclusion,data_quality,V_module1_avg_V,V_module1_min_V,V_module1_max_V,I_module1_avg_mA,I_module1_min_mA,I_module1_max_mA,I_total_avg_mA,I_total_min_est_mA,I_total_max_est_mA,T_module0_stm32_C,T_module1_stm32_C,T_regulator_C,T_teensy_C,measurement_duration_s,current_measurement_method,V_module2_avg_V,V_module2_min_V,V_module2_max_V,I_module2_avg_mA,I_module2_min_mA,I_module2_max_mA,T_module2_stm32_C,V_module3_avg_V,V_module3_min_V,V_module3_max_V,I_module3_avg_mA,I_module3_min_mA,I_module3_max_mA,T_module3_stm32_C,host_usb_polling_state
PS01_N1_F100_ZERO_M0_R1,2026-08-31,2026-08-31 16:22,MEASURED,1,Module0,100,FULL,ZERO,NO,3.3,LM2596,mA,mA,NOT_AVAILABLE,3.281,3.281,3.282,3.267,3.266,3.267,8.13,8.112,14.5,8.13,8.112,14.5,24.6,26.1,27.1,39.5,0,0,0,0,none,DMM voltage mode,DMM current mode,temperature logger,Teensy STM32 PC and power supply status,"After reconnecting, steady current was approximately 8.13 mA; 14.5 mA was a short transient peak followed by an immediate drop. CSV current values are stored in mA.",INCOMPLETE,"Current peak requires repeat measurement; power-supply current-limit setting not recorded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ
PS01_N1_F200_ZERO_M0_R1,2026-08-31,2026-08-31 17:00,MEASURED,1,Module0,200,FULL,ZERO,NO,3.3,LM2596,mA,mA,NOT_AVAILABLE,3.281,3.281,3.282,3.267,3.266,3.267,8.13,8.112,14.5,8.13,8.112,14.5,24.6,26.1,27.1,39.5,0,0,0,0,none,DMM voltage mode,DMM current mode,temperature logger,Teensy STM32 PC and power supply status,"All recorded values are identical to PS01_N1_F100_ZERO_M0_R1 after changing only the frequency to 200 Hz.",INCOMPLETE,"Current peak requires repeat measurement; power-supply current-limit setting not recorded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ
PS01_N1_F200_MAX_M0_R1,2026-08-31,2026-08-31 17:02,MEASURED,1,Module0,200,FULL,MAX,NO,3.3,LM2596,mA,mA,NOT_AVAILABLE,3.281,3.281,3.282,3.267,3.266,3.267,8.13,8.112,14.5,8.13,8.112,14.5,24.6,26.1,27.1,39.5,0,0,0,0,none,DMM voltage mode,DMM current mode,temperature logger,Teensy STM32 PC and power supply status,Available measurements are identical to the 200 Hz ZERO run; this supports fixing ZERO for the formal scalability tests and stopping additional single-module load screening.,INCOMPLETE,Power-supply current-limit setting is not recorded; no further single-module load screening is planned.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ
PS01_N1_F100_ZERO_M1_R1,2026-08-31,,MEASURED,1,Module1,100,FULL,ZERO,NO,3.3,LM2596,mA,mA,NOT_AVAILABLE,3.281,3.281,3.282,3.271,3.270,3.271,8.119,8.112,15.98,,,,24.6,25.9,45,28.9,0,0,0,0,0,DMM voltage mode,DMM current mode,temperature logger,Teensy STM32 PC and power supply status,Module 1 100 Hz FULL ZERO run recorded; source current was approximately 8.119 mA; 15.98 mA was an instantaneous transient peak; current values were normalized to mA; the module voltage maximum was corrected to 3.271 V; module current was not provided.,INCOMPLETE,Module current; measurement start time; and power-supply current-limit setting remain unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ
PS01_N1_F200_ZERO_M1_R1,2026-08-31,,MEASURED,1,Module1,200,FULL,ZERO,NO,3.3,LM2596,mA,mA,NOT_AVAILABLE,3.281,3.281,3.282,3.271,3.270,3.271,8.119,8.112,15.98,,,,24.6,25.9,28.9,45,0,0,0,0,0,DMM voltage mode,DMM current mode,temperature logger,Teensy STM32 PC and power supply status,All provided measurements are identical to PS01_N1_F100_ZERO_M1_R1; no frequency-related change was observed for Module 1.,INCOMPLETE,Module current; measurement start time; and power-supply current-limit setting remain unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ
PS01_N1_F200_MAX_M1_R1,2026-08-31,,MEASURED,1,Module1,200,FULL,MAX,NO,3.3,LM2596,mA,mA,NOT_AVAILABLE,3.281,3.281,3.282,3.271,3.270,3.271,8.119,8.112,15.98,,,,24.6,25.9,45,28.9,0,0,0,0,0,DMM voltage mode,DMM current mode,temperature logger,Teensy STM32 PC and power supply status,All provided measurements are identical to the 200 Hz ZERO and 100 Hz ZERO Module 1 runs; no load-related change was observed for Module 1.,INCOMPLETE,Module current; measurement start time; and power-supply current-limit setting remain unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ
PS01_N1_F200_ZERO_M2_R1,2026-08-31,2026-08-31 17:41,MEASURED,1,Module2,200,FULL,ZERO,NO,3.3,LM2596,mA,mA,NOT_AVAILABLE,3.281,3.281,3.282,3.267,3.266,3.267,8.988,8.866,16.99,,,,24.6,25.9,28.4,45,0,0,0,0,0,DMM voltage mode,DMM current mode,temperature logger,Teensy STM32 PC and power supply status,Module 2 200 Hz FULL ZERO run recorded; source current was approximately 8.988 mA; 16.99 mA was an instantaneous transient peak; current values were normalized to mA; module branch current was not provided.,INCOMPLETE,Module branch current; measurement start time; and power-supply current-limit setting remain unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ
PS01_N1_F200_ZERO_M3_R1,2026-08-31,2026-08-31 17:41,MEASURED,1,Module3,200,FULL,ZERO,NO,3.3,LM2596,mA,mA,NOT_AVAILABLE,3.281,3.281,3.282,3.265,3.264,3.266,8.174,8.031,16.30,,,,24.6,25.9,29.2,44.9,0,0,0,0,0,DMM voltage mode,DMM current mode,temperature logger,Teensy STM32 PC and power supply status,Module 3 200 Hz FULL ZERO run recorded; source current was approximately 8.174 mA; 16.30 mA was an instantaneous transient peak; current values were normalized to mA; module branch current was not provided.,INCOMPLETE,Module branch current; measurement start time; and power-supply current-limit setting remain unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ
PS01_N2_F200_ZERO_R1,2026-08-31,,MEASURED,2,"Module0,Module1",200,FULL,ZERO,NO,3.3,LM2596,mA,mA,NOT_AVAILABLE,3.280,3.280,3.280,3.263,3.262,3.264,,,,8.086,8.081,16.19,25.2,,29.3,45.7,0,0,0,0,0,DMM voltage mode,DMM current mode,temperature logger,Teensy STM32 PC and power supply status,Two-module 200 Hz FULL ZERO run; branch currents were measured separately; total average current was calculated from the two branch averages; minimum and maximum totals are unsynchronized estimates; both branch maximums were instantaneous peaks.,INCOMPLETE,Measurement start time; measurement duration; and power-supply current-limit setting remain unavailable; total minimum and maximum are unsynchronized estimates.,3.269,3.268,3.270,8.181,8.157,16.21,16.267,16.238,32.40,25.9,26.1,29.3,45.7,,SEPARATE_BRANCH,,,,,,,,,,,,,,,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ
PS01_N3_F200_ZERO_R1,2026-08-31,,MEASURED,3,"Module0,Module1,Module2",200,FULL,ZERO,NO,3.3,LM2596,mA,mA,NOT_AVAILABLE,3.279,3.279,3.279,3.263,3.262,3.264,,,,8.206,8.085,15.39,25.4,,29.0,46.4,0,0,0,0,0,DMM voltage mode,DMM current mode,temperature logger,Teensy STM32 PC and power supply status,Three-module 200 Hz FULL ZERO run; branch currents were measured separately; total average current was calculated from the three branch averages; minimum and maximum totals are unsynchronized estimates; Module 0 voltage minimum and maximum were corrected to 3.262 V and 3.264 V.,INCOMPLETE,Measurement start time; measurement duration; and power-supply current-limit setting remain unavailable; total minimum and maximum are unsynchronized estimates.,3.268,3.268,3.269,8.098,8.087,16.38,25.179,24.779,48.53,26.3,25.9,29.0,46.4,,SEPARATE_BRANCH,3.265,3.264,3.266,8.875,8.607,16.76,25.3,,,,,,,,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ
