run_id,combo,load,point,V_main_V,V_min_V,V_max_V,source_to_module_drop_mV,photo,point_mapping_basis,n_run
PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,M0-M2,ZERO,SOURCE,3.279,3.279,3.279,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_231927.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,M0-M2,ZERO,M0,3.235,3.235,3.235,44.000,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_232003.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,M0-M2,ZERO,M2,3.248,3.248,3.248,31.000,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_232035.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,M0-M3,ZERO,SOURCE,3.279,3.278,3.279,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232855.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,M0-M3,ZERO,M0,3.237,3.236,3.237,42.000,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232921.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,M0-M3,ZERO,M3,3.241,3.241,3.242,38.000,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232941.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,M1-M2,ZERO,SOURCE,3.278,3.278,3.278,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233306.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,M1-M2,ZERO,M1,3.252,3.252,3.252,26.000,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233326.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,M1-M2,ZERO,M2,3.247,3.247,3.247,31.000,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233351.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,M1-M3,ZERO,SOURCE,3.278,3.278,3.279,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233839.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,M1-M3,ZERO,M1,3.248,3.247,3.248,30.000,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233906.jpg,source-first inference; module order confirmed by user,1
PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,M1-M3,ZERO,M3,3.245,3.245,3.245,33.000,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233928.jpg,source-first inference; module order confirmed by user,1
