load,module_count,combo,historical_run_count,historical_complete_voltage_record_count,known_supply_contact_fault_run_count,no_reported_supply_contact_fault_complete_record_count,no_reported_supply_contact_fault_partial_record_count,no_reported_supply_contact_fault_coverage,post_repair_record_count,repair_records_counted_as_same_condition_repeats,complete_run_ids,partial_run_ids,known_fault_run_ids
ZERO,1,M0,1,1,0,1,0,COMPLETE,0,0,PS01_N1_F200_ZERO_M0_USB_RX_R1,,
ZERO,1,M1,1,1,0,1,0,COMPLETE,0,0,PS01_N1_F200_ZERO_M1_USB_RX_R1,,
ZERO,1,M2,1,1,0,1,0,COMPLETE,0,0,PS01_N1_F200_ZERO_M2_USB_RX_R1,,
ZERO,1,M3,1,1,0,1,0,COMPLETE,0,0,PS01_N1_F200_ZERO_M3_USB_RX_R1,,
ZERO,2,M0+M1,1,1,0,1,0,COMPLETE,0,0,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,,
ZERO,2,M0+M2,1,1,0,1,0,COMPLETE,0,0,PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,,
ZERO,2,M0+M3,1,1,0,1,0,COMPLETE,0,0,PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,,
ZERO,2,M1+M2,1,1,0,1,0,COMPLETE,0,0,PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,,
ZERO,2,M1+M3,1,1,0,1,0,COMPLETE,0,0,PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,,
ZERO,2,M2+M3,1,1,0,1,0,COMPLETE,0,0,PS01_N2_F200_ZERO_M2-M3_USB_RX_R1,,
ZERO,3,M0+M1+M2,2,1,1,0,1,PARTIAL,1,0,,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_VOLTAGE_RETEST_R1,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1
ZERO,3,M0+M1+M3,1,1,0,1,0,COMPLETE,0,0,PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,,
ZERO,3,M0+M2+M3,1,1,0,1,0,COMPLETE,0,0,PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1,,
ZERO,3,M1+M2+M3,1,1,0,1,0,COMPLETE,0,0,PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1,,
ZERO,4,M0+M1+M2+M3,1,1,0,1,0,COMPLETE,0,0,PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,,
MAX,1,M0,1,1,0,1,0,COMPLETE,0,0,PS01_N1_F200_MAX_M0_USB_RX_R1,,
MAX,1,M1,1,1,0,1,0,COMPLETE,0,0,PS01_N1_F200_MAX_M1_USB_RX_R1,,
MAX,1,M2,1,1,0,1,0,COMPLETE,0,0,PS01_N1_F200_MAX_M2_USB_RX_R1,,
MAX,1,M3,1,1,0,1,0,COMPLETE,0,0,PS01_N1_F200_MAX_M3_USB_RX_R1,,
MAX,2,M0+M1,1,1,0,1,0,COMPLETE,0,0,PS01_N2_F200_MAX_M0-M1_USB_RX_R1,,
MAX,2,M0+M2,0,0,0,0,0,MISSING,0,0,,,
MAX,2,M0+M3,0,0,0,0,0,MISSING,0,0,,,
MAX,2,M1+M2,0,0,0,0,0,MISSING,0,0,,,
MAX,2,M1+M3,0,0,0,0,0,MISSING,0,0,,,
MAX,2,M2+M3,1,1,0,1,0,COMPLETE,0,0,PS01_N2_F200_MAX_M2-M3_USB_RX_R1,,
MAX,3,M0+M1+M2,1,1,0,1,0,COMPLETE,0,0,PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,,
MAX,3,M0+M1+M3,0,0,0,0,0,MISSING,0,0,,,
MAX,3,M0+M2+M3,0,0,0,0,0,MISSING,0,0,,,
MAX,3,M1+M2+M3,1,1,0,1,0,COMPLETE,0,0,PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,,
MAX,4,M0+M1+M2+M3,1,1,0,1,0,COMPLETE,0,0,PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,,
