run_id,combo,module_count,connected_module_ids,load,record_kind,measurement_scope,quality_class,included_no_reported_supply_contact_fault,post_repair_record,independent_repeat_of_original_condition,retest_of_run_id,source_path,source_sha256,source_main_V,source_min_V,source_max_V,module_id,source_column,module_main_V,module_min_V,module_max_V,source_to_module_drop_mV,drop_basis,measured_module_ids,measured_module_count,complete_voltage_record
PS01_N1_F200_MAX_M0_USB_RX_R1,M0,1,M0,MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/PS01_N1_F200_MAX_M0_USB_RX_R1.yaml,1faa6b068ba1e6bea5afbe4fb32bffff334dfe9de9d9743937256b5410e72584,3.281,3.281,3.281,M0,0,3.231,3.231,3.232,50.000,source_and_module_main_in_same_record,M0,1,True
PS01_N1_F200_ZERO_M0_USB_RX_R1,M0,1,M0,ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml,f452895420bd4a9bdaa1bf2bf39ca41d3da3bbf383eb1a983a2ba58468894ace,3.280,3.280,3.281,M0,0,3.235,3.235,3.235,45.000,source_and_module_main_in_same_record,M0,1,True
PS01_N1_F200_MAX_M1_USB_RX_R1,M1,1,M1,MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml,158d10a7314e366231638b3ab4098c63333c2db55ae189456cb8ff930fd14b54,3.281,3.280,3.281,M1,0,3.250,3.249,3.250,31.000,source_and_module_main_in_same_record,M1,1,True
PS01_N1_F200_ZERO_M1_USB_RX_R1,M1,1,M1,ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml,ff0fd645259d56a948ea6d2382f6c5b09d0dc4dacc90acec3778432c1cdb6e4b,3.281,3.280,3.281,M1,0,3.255,3.255,3.255,26.000,source_and_module_main_in_same_record,M1,1,True
PS01_N1_F200_MAX_M2_USB_RX_R1,M2,1,M2,MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml,0e5661fb3f44c55ed5acd0b8eaf3f4f2d9262e9ebce7351a87bb39635f4a62a8,3.281,3.280,3.281,M2,0,3.247,3.247,3.250,34.000,source_and_module_main_in_same_record,M2,1,True
PS01_N1_F200_ZERO_M2_USB_RX_R1,M2,1,M2,ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml,65d749c9c43f6e31ff4737849c8511fa0994a9156b0359efb2a3bf102bae0713,3.281,3.280,3.281,M2,0,3.249,3.249,3.249,32.000,source_and_module_main_in_same_record,M2,1,True
PS01_N1_F200_MAX_M3_USB_RX_R1,M3,1,M3,MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,3a67413791ed758694a803890a0320e1a2b61ab25f2bf781d762e251fb88ae64,3.280,3.280,3.280,M3,0,3.248,3.248,3.248,32.000,source_and_module_main_in_same_record,M3,1,True
PS01_N1_F200_ZERO_M3_USB_RX_R1,M3,1,M3,ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,9707e77d13f820cfdae66fc04d5874a955ea55f0040f9d2f0576762f7ca7b638,3.280,3.280,3.280,M3,0,3.251,3.250,3.251,29.000,source_and_module_main_in_same_record,M3,1,True
PS01_N2_F200_MAX_M0-M1_USB_RX_R1,M0+M1,2,"M0,M1",MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13,3.278,3.278,3.279,M0,0,3.241,3.241,3.242,37.000,source_and_module_main_in_same_record,"M0,M1",2,True
PS01_N2_F200_MAX_M0-M1_USB_RX_R1,M0+M1,2,"M0,M1",MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13,3.278,3.278,3.279,M1,1,3.248,3.248,3.248,30.000,source_and_module_main_in_same_record,"M0,M1",2,True
PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,M0+M1,2,"M0,M1",ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb,3.281,3.281,3.281,M0,0,3.234,3.234,3.234,47.000,source_and_module_main_in_same_record,"M0,M1",2,True
PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,M0+M1,2,"M0,M1",ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb,3.281,3.281,3.281,M1,1,3.252,3.252,3.252,29.000,source_and_module_main_in_same_record,"M0,M1",2,True
PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,M0+M2,2,"M0,M2",ZERO,ORIGINAL_FULL_RECORD,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml,61fb4eab2ee15e218706767d0d6c694b12c3d8018d2da9773245157496811fef,3.279,3.279,3.279,M0,0,3.235,3.235,3.235,44.000,source_and_module_main_in_same_record,"M0,M2",2,True
PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,M0+M2,2,"M0,M2",ZERO,ORIGINAL_FULL_RECORD,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml,61fb4eab2ee15e218706767d0d6c694b12c3d8018d2da9773245157496811fef,3.279,3.279,3.279,M2,2,3.248,3.248,3.248,31.000,source_and_module_main_in_same_record,"M0,M2",2,True
PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,M0+M3,2,"M0,M3",ZERO,ORIGINAL_FULL_RECORD,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml,ea37816dd44a084a23490a531bc5eaa8634403acc6a4bbe63375234b9ae4de80,3.279,3.278,3.279,M0,0,3.237,3.236,3.237,42.000,source_and_module_main_in_same_record,"M0,M3",2,True
PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,M0+M3,2,"M0,M3",ZERO,ORIGINAL_FULL_RECORD,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml,ea37816dd44a084a23490a531bc5eaa8634403acc6a4bbe63375234b9ae4de80,3.279,3.278,3.279,M3,3,3.241,3.241,3.242,38.000,source_and_module_main_in_same_record,"M0,M3",2,True
PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,M1+M2,2,"M1,M2",ZERO,ORIGINAL_FULL_RECORD,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml,6de2a9ff6fe5d6035346802c2411c29a8ed87e0ef5c54d376eb7b73e1ba08979,3.278,3.278,3.278,M1,1,3.252,3.252,3.252,26.000,source_and_module_main_in_same_record,"M1,M2",2,True
PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,M1+M2,2,"M1,M2",ZERO,ORIGINAL_FULL_RECORD,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml,6de2a9ff6fe5d6035346802c2411c29a8ed87e0ef5c54d376eb7b73e1ba08979,3.278,3.278,3.278,M2,2,3.247,3.247,3.247,31.000,source_and_module_main_in_same_record,"M1,M2",2,True
PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,M1+M3,2,"M1,M3",ZERO,ORIGINAL_FULL_RECORD,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml,d3aac60eb88bfcb9208d4acf2ceb07be8d751e33e28b3316085f5470a26458cc,3.278,3.278,3.279,M1,1,3.248,3.247,3.248,30.000,source_and_module_main_in_same_record,"M1,M3",2,True
PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,M1+M3,2,"M1,M3",ZERO,ORIGINAL_FULL_RECORD,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml,d3aac60eb88bfcb9208d4acf2ceb07be8d751e33e28b3316085f5470a26458cc,3.278,3.278,3.279,M3,3,3.245,3.245,3.245,33.000,source_and_module_main_in_same_record,"M1,M3",2,True
PS01_N2_F200_MAX_M2-M3_USB_RX_R1,M2+M3,2,"M2,M3",MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/PS01_N2_F200_MAX_M2-M3_USB_RX_R1.yaml,16702fb7acfa55949c2c84878861f02ecf076e32b994f91455267644b310b43a,3.278,3.278,3.279,M2,2,3.245,3.244,3.245,33.000,source_and_module_main_in_same_record,"M2,M3",2,True
PS01_N2_F200_MAX_M2-M3_USB_RX_R1,M2+M3,2,"M2,M3",MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/PS01_N2_F200_MAX_M2-M3_USB_RX_R1.yaml,16702fb7acfa55949c2c84878861f02ecf076e32b994f91455267644b310b43a,3.278,3.278,3.279,M3,3,3.246,3.245,3.246,32.000,source_and_module_main_in_same_record,"M2,M3",2,True
PS01_N2_F200_ZERO_M2-M3_USB_RX_R1,M2+M3,2,"M2,M3",ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml,b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d,3.279,3.278,3.279,M2,2,3.248,3.248,3.248,31.000,source_and_module_main_in_same_record,"M2,M3",2,True
PS01_N2_F200_ZERO_M2-M3_USB_RX_R1,M2+M3,2,"M2,M3",ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml,b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d,3.279,3.278,3.279,M3,3,3.248,3.248,3.248,31.000,source_and_module_main_in_same_record,"M2,M3",2,True
PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,M0+M1+M2,3,"M0,M1,M2",MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml,31e4de3dd989405d4b9493b715842080243526e317562b584b09ae90ebcb5f27,3.276,3.275,3.276,M0,0,3.237,3.237,3.237,39.000,source_and_module_main_in_same_record,"M0,M1,M2",3,True
PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,M0+M1+M2,3,"M0,M1,M2",MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml,31e4de3dd989405d4b9493b715842080243526e317562b584b09ae90ebcb5f27,3.276,3.275,3.276,M1,1,3.246,3.246,3.246,30.000,source_and_module_main_in_same_record,"M0,M1,M2",3,True
PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1,M0+M1+M2,3,"M0,M1,M2",MAX,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml,31e4de3dd989405d4b9493b715842080243526e317562b584b09ae90ebcb5f27,3.276,3.275,3.276,M2,2,3.242,3.242,3.243,34.000,source_and_module_main_in_same_record,"M0,M1,M2",3,True
PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,M0+M1+M2,3,"M0,M1,M2",ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,SUPPLY_CONTACT_FAULT,False,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,3.276,3.276,3.277,M0,0,3.224,3.224,3.225,52.000,source_and_module_main_in_same_record,"M0,M1,M2",3,True
PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,M0+M1+M2,3,"M0,M1,M2",ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,SUPPLY_CONTACT_FAULT,False,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,3.276,3.276,3.277,M1,1,3.250,3.249,3.250,26.000,source_and_module_main_in_same_record,"M0,M1,M2",3,True
PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,M0+M1+M2,3,"M0,M1,M2",ZERO,ORIGINAL_FULL_RECORD,ORIGINAL_MULTIMODAL_RECORD,SUPPLY_CONTACT_FAULT,False,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,3.276,3.276,3.277,M2,2,3.246,3.245,3.246,30.000,source_and_module_main_in_same_record,"M0,M1,M2",3,True
PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_VOLTAGE_RETEST_R1,M0+M1+M2,3,"M0,M1,M2",ZERO,MODULE_VOLTAGE_RETEST,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,True,False,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_VOLTAGE_RETEST_R1.yaml,9760ab4a02208163c9a1cd28ae637e52bebf29716b5970a76fc96ca114a03dfc,,,,M0,0,3.241,3.241,3.241,,unavailable_no_source_in_this_record,M0,1,False
PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,M0+M1+M3,3,"M0,M1,M3",ZERO,COMBINATION_VOLTAGE,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1.yaml,5b2c74f7f3098d0dda00b67e6722170919d59941eb3f3bf74e754bd298a4ec09,3.277,3.277,3.277,M0,0,3.241,3.241,3.241,36.000,source_and_module_main_in_same_record,"M0,M1,M3",3,True
PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,M0+M1+M3,3,"M0,M1,M3",ZERO,COMBINATION_VOLTAGE,VOLTAGE_ONLY,no_reported_supply_contact_fault,True,False,,,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1.yaml,5b2c74f7f3098d0dda00b67e6722170919d59941eb3f3bf74e754bd298a4ec09,3.277,3.277,3.277,M1,1,3.248,3.247,3.248,29.000,source_and_module_main_in_same_record,"M0,M1,M3",3,True
