run_id,state,frequency_hz,protocol_mode,load,N,combo,repeat,source_path,source_kind,module_id,source_column,current_source_field,identity_verification,I_recorded_mA,I_min_recorded_mA,I_max_recorded_mA,V_recorded_V,V_min_recorded_V,V_max_recorded_V,V_source_recorded_V,drop_recorded_mV,P_branch_est_mW,T_STM32_recorded_C,T_regulator_recorded_C,T_Teensy_recorded_C
PS01_N1_F100_ZERO_M0_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,100,FULL,ZERO,1,M0,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,8.13,8.112,14.5,3.267,3.266,3.267,3.281,14.000000000000234,26.56071,26.1,27.1,39.5
PS01_N1_F200_ZERO_M0_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,1,M0,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,8.13,8.112,14.5,3.267,3.266,3.267,3.281,14.000000000000234,26.56071,26.1,27.1,39.5
PS01_N1_F200_MAX_M0_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,MAX,1,M0,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,8.13,8.112,14.5,3.267,3.266,3.267,3.281,14.000000000000234,26.56071,26.1,27.1,39.5
PS01_N1_F100_ZERO_M1_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,100,FULL,ZERO,1,M1,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M1,0,I_source_avg_mA (N=1 fallback),experiment_label_not_hardware_UID_verified,8.119,8.112,15.98,3.271,3.27,3.271,3.281,10.000000000000231,26.557249,25.9,45.0,28.9
PS01_N1_F200_ZERO_M1_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,1,M1,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M1,0,I_source_avg_mA (N=1 fallback),experiment_label_not_hardware_UID_verified,8.119,8.112,15.98,3.271,3.27,3.271,3.281,10.000000000000231,26.557249,25.9,28.9,45.0
PS01_N1_F200_MAX_M1_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,MAX,1,M1,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M1,0,I_source_avg_mA (N=1 fallback),experiment_label_not_hardware_UID_verified,8.119,8.112,15.98,3.271,3.27,3.271,3.281,10.000000000000231,26.557249,25.9,45.0,28.9
PS01_N1_F200_ZERO_M2_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,1,M2,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M2,0,I_source_avg_mA (N=1 fallback),experiment_label_not_hardware_UID_verified,8.988,8.866,16.99,3.267,3.266,3.267,3.281,14.000000000000234,29.363795999999997,25.9,28.4,45.0
PS01_N1_F200_ZERO_M3_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,1,M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M3,0,I_source_avg_mA (N=1 fallback),experiment_label_not_hardware_UID_verified,8.174,8.031,16.3,3.265,3.264,3.266,3.281,16.000000000000014,26.688109999999998,25.9,29.2,44.9
PS01_N2_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,2,M0+M1,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,8.086,8.081,16.19,3.263,3.262,3.264,3.28,16.999999999999904,26.384618,25.9,29.3,45.7
PS01_N2_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,2,M0+M1,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,8.181,8.157,16.21,3.269,3.268,3.27,3.28,10.999999999999677,26.743689,26.1,29.3,45.7
PS01_N3_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,3,M0+M1+M2,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,8.206,8.085,15.39,3.263,3.262,3.264,3.279,16.000000000000014,26.776177999999998,26.3,29.0,46.4
PS01_N3_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,3,M0+M1+M2,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,8.098,8.087,16.38,3.268,3.268,3.269,3.279,11.00000000000012,26.464264,25.9,29.0,46.4
PS01_N3_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,3,M0+M1+M2,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,8.875,8.607,16.76,3.265,3.264,3.266,3.279,13.99999999999979,28.976875,25.3,29.0,46.4
PS01_N4_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,8.183,7.96,15.98,3.26,3.259,3.262,3.278,18.000000000000238,26.676579999999998,,,
PS01_N4_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,8.189,8.16,16.23,3.266,3.265,3.267,3.278,12.00000000000001,26.745274000000002,,,
PS01_N4_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,8.28,8.233,16.07,3.264,3.263,3.266,3.278,14.000000000000234,27.025919999999996,,,
PS01_N4_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M3,3,I_module3_avg_mA,experiment_label_not_hardware_UID_verified,7.84,7.675,15.94,3.261,3.259,3.262,3.278,16.999999999999904,25.56624,,,
PS01_N2_F200_ZERO_M2_M3_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,2,M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,8.808,8.707,,3.266,3.266,3.267,3.28,13.99999999999979,28.766928,25.9,28.8,44.95
PS01_N2_F200_ZERO_M2_M3_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,2,M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M3,3,I_module3_avg_mA,experiment_label_not_hardware_UID_verified,7.838,7.673,,3.266,3.265,3.267,3.28,13.99999999999979,25.598908,25.9,28.8,44.95
PS01_N3_F200_ZERO_M1_M2_M3_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,3,M1+M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,8.359,8.142,16.39,3.268,3.267,3.268,3.279,11.00000000000012,27.317211999999998,25.9,28.83,44.97
PS01_N3_F200_ZERO_M1_M2_M3_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,3,M1+M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,8.79,8.732,15.09,3.265,3.264,3.266,3.279,13.99999999999979,28.69935,25.9,28.83,44.97
PS01_N3_F200_ZERO_M1_M2_M3_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,3,M1+M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,M3,3,I_module3_avg_mA,experiment_label_not_hardware_UID_verified,7.761,7.596,14.97,3.265,3.264,3.266,3.279,13.99999999999979,25.339665,25.9,28.83,44.97
PS01_N1_F200_MAX_M0_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M0,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/PS01_N1_F200_MAX_M0_USB_RX_R1.yaml,continuous_yaml,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,19.689,19.52,19.69,3.231,3.231,3.232,3.281,50.00000000000027,63.615159,26.3,29.0,43.5
PS01_N1_F200_ZERO_M0_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M0,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml,continuous_yaml,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,18.16,18.13,18.2,3.235,3.235,3.235,3.28,44.99999999999993,58.7476,27.7,29.0,43.6
PS01_N1_F200_MAX_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml,continuous_yaml,M1,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,20.11,20.06,20.12,3.25,3.249,3.25,3.281,31.00000000000014,65.3575,27.3,29.0,41.6
PS01_N1_F200_ZERO_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml,continuous_yaml,M1,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,18.38,18.35,18.41,3.255,3.255,3.255,3.281,26.000000000000245,59.826899999999995,26.9,28.7,41.7
PS01_N1_F200_MAX_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml,continuous_yaml,M2,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,19.897,19.86,19.93,3.247,3.247,3.25,3.281,34.000000000000256,64.605559,27.1,29.0,41.9
PS01_N1_F200_ZERO_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml,continuous_yaml,M2,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,18.36,18.34,18.38,3.249,3.249,3.249,3.281,32.00000000000003,59.65164,26.9,29.0,41.8
PS01_N1_F200_MAX_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,continuous_yaml,M3,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,20.34,20.3,20.39,3.248,3.248,3.248,3.28,31.999999999999584,66.06432000000001,27.1,29.0,41.9
PS01_N1_F200_ZERO_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,continuous_yaml,M3,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,18.4,18.36,18.44,3.251,3.25,3.251,3.28,28.999999999999915,59.81839999999999,26.9,29.0,41.8
PS01_N2_F200_MAX_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,continuous_yaml,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,19.708,19.67,19.73,3.241,3.241,3.242,3.278,36.99999999999992,63.873628,27.3,29.6,42.9
PS01_N2_F200_MAX_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,continuous_yaml,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,20.26,20.17,20.3,3.248,3.248,3.248,3.278,29.999999999999805,65.80448000000001,26.8,29.6,42.9
PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,continuous_yaml,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,17.961,17.93,17.97,3.234,3.234,3.234,3.281,47.000000000000156,58.085874,27.1,29.0,43.1
PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,continuous_yaml,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,18.055,18.06,18.31,3.252,3.252,3.252,3.281,29.00000000000036,58.714859999999994,26.5,29.0,43.1
