state,protocol_mode,frequency_hz,load,N,n_recordings,n_combinations,n_repeat_min,n_repeat_max,I_combo_mean_mA,SD_between_combinations_mA,SD_repeat_mA,I_recording_min_mA,I_recording_max_mA,combinations,run_ids,dispersion_interpretation
BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,FULL,100,ZERO,1,2,2,1,1,8.124500000000001,0.007778174593052736,,8.119,8.13,"[""M0"", ""M1""]","[""PS01_N1_F100_ZERO_M0_R1"", ""PS01_N1_F100_ZERO_M1_R1""]",between recorded labelled modules/combinations; not repeatability
BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,FULL,200,MAX,1,2,2,1,1,8.124500000000001,0.007778174593052736,,8.119,8.13,"[""M0"", ""M1""]","[""PS01_N1_F200_MAX_M0_R1"", ""PS01_N1_F200_MAX_M1_R1""]",between recorded labelled modules/combinations; not repeatability
BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,FULL,200,ZERO,1,4,4,1,1,8.35275,0.4241661427632649,,8.119,8.988,"[""M0"", ""M1"", ""M2"", ""M3""]","[""PS01_N1_F200_ZERO_M0_R1"", ""PS01_N1_F200_ZERO_M1_R1"", ""PS01_N1_F200_ZERO_M2_R1"", ""PS01_N1_F200_ZERO_M3_R1""]",between recorded labelled modules/combinations; not repeatability
BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,FULL,200,ZERO,2,2,2,1,1,16.4565,0.2679934700697025,,16.267,16.646,"[""M0+M1"", ""M2+M3""]","[""PS01_N2_F200_ZERO_R1"", ""PS01_N2_F200_ZERO_M2_M3_R1""]",between recorded labelled modules/combinations; not repeatability
BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,FULL,200,ZERO,3,2,2,1,1,25.0445,0.19021172413918264,,24.91,25.179000000000002,"[""M0+M1+M2"", ""M1+M2+M3""]","[""PS01_N3_F200_ZERO_R1"", ""PS01_N3_F200_ZERO_M1_M2_M3_R1""]",between recorded labelled modules/combinations; not repeatability
BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,FULL,200,ZERO,4,1,1,1,1,32.492,,,32.492,32.492,"[""M0+M1+M2+M3""]","[""PS01_N4_F200_ZERO_R1""]",between recorded labelled modules/combinations; not repeatability
CONTINUOUS_USB_READ,FULL,200,MAX,1,4,4,1,1,20.009,0.27970579781858895,,19.689,20.34,"[""M0"", ""M1"", ""M2"", ""M3""]","[""PS01_N1_F200_MAX_M0_USB_RX_R1"", ""PS01_N1_F200_MAX_M1_USB_RX_R1"", ""PS01_N1_F200_MAX_M2_USB_RX_R1"", ""PS01_N1_F200_MAX_M3_USB_RX_R1""]",between recorded labelled modules/combinations; not repeatability
CONTINUOUS_USB_READ,FULL,200,MAX,2,2,2,1,1,39.673500000000004,0.41648589411888054,,39.379,39.968,"[""M0+M1"", ""M2+M3""]","[""PS01_N2_F200_MAX_M0-M1_USB_RX_R1"", ""PS01_N2_F200_MAX_M2-M3_USB_RX_R1""]",between recorded labelled modules/combinations; not repeatability
CONTINUOUS_USB_READ,FULL,200,MAX,3,2,2,1,1,59.472500000000004,0.2043538597629133,,59.328,59.617000000000004,"[""M0+M1+M2"", ""M1+M2+M3""]","[""PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1"", ""PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1""]",between recorded labelled modules/combinations; not repeatability
CONTINUOUS_USB_READ,FULL,200,MAX,4,1,1,1,1,78.72,,,78.72,78.72,"[""M0+M1+M2+M3""]","[""PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1""]",between recorded labelled modules/combinations; not repeatability
CONTINUOUS_USB_READ,FULL,200,ZERO,1,4,4,1,1,18.325,0.1112055154507479,,18.16,18.4,"[""M0"", ""M1"", ""M2"", ""M3""]","[""PS01_N1_F200_ZERO_M0_USB_RX_R1"", ""PS01_N1_F200_ZERO_M1_USB_RX_R1"", ""PS01_N1_F200_ZERO_M2_USB_RX_R1"", ""PS01_N1_F200_ZERO_M3_USB_RX_R1""]",between recorded labelled modules/combinations; not repeatability
CONTINUOUS_USB_READ,FULL,200,ZERO,2,2,2,1,1,36.275000000000006,0.36628131265463715,,36.016,36.534000000000006,"[""M0+M1"", ""M2+M3""]","[""PS01_N2_F200_ZERO_M0-M1_USB_RX_R1"", ""PS01_N2_F200_ZERO_M2-M3_USB_RX_R1""]",between recorded labelled modules/combinations; not repeatability
CONTINUOUS_USB_READ,FULL,200,ZERO,3,2,2,1,1,54.666,0.2616295090390258,,54.480999999999995,54.851,"[""M0+M1+M2"", ""M1+M2+M3""]","[""PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1"", ""PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1""]",between recorded labelled modules/combinations; not repeatability
CONTINUOUS_USB_READ,FULL,200,ZERO,4,1,1,1,1,72.513,,,72.513,72.513,"[""M0+M1+M2+M3""]","[""PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1""]",between recorded labelled modules/combinations; not repeatability
