run_id,state,frequency_hz,protocol_mode,load,N,combo,repeat,source_path,source_kind,modules,I_sum_mA,I_total_original_field_mA,I_sum_min_est_mA,I_sum_max_est_mA,V_source_recorded_V,V_source_min_recorded_V,V_source_max_recorded_V,P_output_est_mW,V_module_recorded_min_V,V_module_recorded_max_V,V_module_min_recorded_V,V_module_max_recorded_V,max_drop_recorded_mV,T_STM32_max_recorded_C,T_regulator_recorded_C,T_Teensy_recorded_C,n_repeat,SD_repeat_mA,source_quality_label,date_recorded,measurement_start_recorded,operator_recorded,load_mass_recorded_g,load_area_recorded_mm2,load_application_recorded,load_equivalence_verified,warmup_duration_nominal_s,measurement_duration_nominal_s,duration_verified,fault_zero_observation_verified,fault_counts_as_recorded,temperature_equilibrium_verified,reading_semantics
PS01_N1_F100_ZERO_M0_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,100,FULL,ZERO,1,M0,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M0""]",8.13,,8.112,14.5,3.281,3.281,3.282,26.674530000000004,3.267,3.267,3.266,3.267,14.000000000000234,26.1,27.1,39.5,1,,Current peak requires repeat measurement; power-supply current-limit setting not recorded.,2026-08-31,2026-08-31 16:22,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N1_F200_ZERO_M0_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,1,M0,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M0""]",8.13,,8.112,14.5,3.281,3.281,3.282,26.674530000000004,3.267,3.267,3.266,3.267,14.000000000000234,26.1,27.1,39.5,1,,Current peak requires repeat measurement; power-supply current-limit setting not recorded.,2026-08-31,2026-08-31 17:00,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N1_F200_MAX_M0_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,MAX,1,M0,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M0""]",8.13,,8.112,14.5,3.281,3.281,3.282,26.674530000000004,3.267,3.267,3.266,3.267,14.000000000000234,26.1,27.1,39.5,1,,Power-supply current-limit setting is not recorded; no further single-module load screening is planned.,2026-08-31,2026-08-31 17:02,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N1_F100_ZERO_M1_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,100,FULL,ZERO,1,M1,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M1""]",8.119,,8.112,15.98,3.281,3.281,3.282,26.638439,3.271,3.271,3.27,3.271,10.000000000000231,25.9,45.0,28.9,1,,Module current; measurement start time; and power-supply current-limit setting remain unavailable.,2026-08-31,,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N1_F200_ZERO_M1_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,1,M1,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M1""]",8.119,,8.112,15.98,3.281,3.281,3.282,26.638439,3.271,3.271,3.27,3.271,10.000000000000231,25.9,28.9,45.0,1,,Module current; measurement start time; and power-supply current-limit setting remain unavailable.,2026-08-31,,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N1_F200_MAX_M1_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,MAX,1,M1,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M1""]",8.119,,8.112,15.98,3.281,3.281,3.282,26.638439,3.271,3.271,3.27,3.271,10.000000000000231,25.9,45.0,28.9,1,,Module current; measurement start time; and power-supply current-limit setting remain unavailable.,2026-08-31,,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N1_F200_ZERO_M2_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,1,M2,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M2""]",8.988,,8.866,16.99,3.281,3.281,3.282,29.489628,3.267,3.267,3.266,3.267,14.000000000000234,25.9,28.4,45.0,1,,Module branch current; measurement start time; and power-supply current-limit setting remain unavailable.,2026-08-31,2026-08-31 17:41,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N1_F200_ZERO_M3_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,1,M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M3""]",8.174,,8.031,16.3,3.281,3.281,3.282,26.818894,3.265,3.265,3.264,3.266,16.000000000000014,25.9,29.2,44.9,1,,Module branch current; measurement start time; and power-supply current-limit setting remain unavailable.,2026-08-31,2026-08-31 17:41,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N2_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,2,M0+M1,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M0"", ""M1""]",16.267,16.267,16.238,32.400000000000006,3.28,3.28,3.28,53.35576,3.263,3.269,3.262,3.27,16.999999999999904,26.1,29.3,45.7,1,,Measurement start time; measurement duration; and power-supply current-limit setting remain unavailable; total minimum and maximum are unsynchronized estimates.,2026-08-31,,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N3_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,3,M0+M1+M2,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M0"", ""M1"", ""M2""]",25.179000000000002,25.179,24.779,48.53,3.279,3.279,3.279,82.561941,3.263,3.268,3.262,3.269,16.000000000000014,26.3,29.0,46.4,1,,Measurement start time; measurement duration; and power-supply current-limit setting remain unavailable; total minimum and maximum are unsynchronized estimates.,2026-08-31,,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N4_F200_ZERO_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M0"", ""M1"", ""M2"", ""M3""]",32.492,32.492,32.028,64.22,3.278,3.278,3.279,106.508776,3.26,3.266,3.259,3.267,18.000000000000238,,,,1,,"Measurement start time, duration, temperatures and state counters were not recorded.",,,,,,,False,,,False,False,"{""reset_count"": """", ""current_limit_count"": """", ""brownout_count"": """", ""data_stop_count"": """", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N2_F200_ZERO_M2_M3_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,2,M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M2"", ""M3""]",16.646,16.646,16.380000000000003,,3.28,3.279,3.28,54.59888,3.266,3.266,3.265,3.267,13.99999999999979,25.9,28.8,44.95,1,,"Measurement time, duration, source current extrema and stable branch maxima were not provided; temperature values are inherited reference values; total minimum is an unsynchronised estimate from branch minima.",,,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N3_F200_ZERO_M1_M2_M3_R1,BLOCKED_STANDBY_NO_CONTINUOUS_USB_READ,200,FULL,ZERO,3,M1+M2+M3,1,DATA/raw/canonical/power_raw.csv,legacy_csv,"[""M1"", ""M2"", ""M3""]",24.91,24.91,24.47,46.45,3.279,3.278,3.279,81.67989,3.265,3.268,3.264,3.268,13.99999999999979,25.9,28.83,44.97,1,,"Measurement time, duration and source current extrema were not provided; temperature values are inherited reference values; total minimum and maximum are unsynchronised estimates.",,,,,,,False,,,False,False,"{""reset_count"": ""0"", ""current_limit_count"": ""0"", ""brownout_count"": ""0"", ""data_stop_count"": ""0"", ""data_gap_count"": null}",False,recorded_representative_not_verified_time_average
PS01_N1_F200_MAX_M0_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M0,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/PS01_N1_F200_MAX_M0_USB_RX_R1.yaml,continuous_yaml,"[""M0""]",19.689,,19.52,19.69,3.281,3.281,3.281,64.599609,3.231,3.231,3.231,3.232,50.00000000000027,26.3,29.0,43.5,1,,INCOMPLETE,,,,2000.0,,,False,30.0,10.0,False,False,"{""reset_count"": 0, ""current_limit_count"": 0, ""brownout_count"": 0, ""data_stop_count"": 0, ""data_gap_count"": 0}",False,recorded_representative_not_verified_time_average
PS01_N1_F200_ZERO_M0_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M0,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml,continuous_yaml,"[""M0""]",18.16,,18.13,18.2,3.28,3.28,3.281,59.5648,3.235,3.235,3.235,3.235,44.99999999999993,27.7,29.0,43.6,1,,INCOMPLETE,,,,0.0,0.0,NONE,False,30.0,10.0,False,False,"{""reset_count"": 0, ""current_limit_count"": 0, ""brownout_count"": 0, ""data_stop_count"": 0, ""data_gap_count"": 0}",False,recorded_representative_not_verified_time_average
PS01_N1_F200_MAX_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml,continuous_yaml,"[""M1""]",20.11,,20.06,20.12,3.281,3.28,3.281,65.98091,3.25,3.25,3.249,3.25,31.00000000000014,27.3,29.0,41.6,1,,INCOMPLETE,,,,2000.0,,,False,30.0,10.0,False,False,"{""reset_count"": 0, ""current_limit_count"": 0, ""brownout_count"": 0, ""data_stop_count"": 0, ""data_gap_count"": 0}",False,recorded_representative_not_verified_time_average
