combo,module_count,module_id,load,I_main_mA,I_min_mA,I_max_mA,V_module_main_V,V_module_min_V,V_module_max_V,I_main_display_text_mA,T_stm32_C,V_source_main_V,source_minus_module_main_mV,photo_filename_date_batch,retained_quality_note,n_records_per_configuration_condition,within_condition_repeat_SD_mA,provenance_json
M0,1,M0,ZERO,18.16,18.13,18.2,3.235,3.235,3.235,18.16,27.7,3.280,45.000,2026-09-04,,1,,"{""combo"": ""M0"", ""module_count"": ""1"", ""module_id"": ""M0"", ""load"": ""ZERO"", ""I_main_mA"": ""18.16"", ""I_min_mA"": ""18.13"", ""I_max_mA"": ""18.2"", ""T_stm32_C"": ""27.7"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml"", ""current_source_sha256"": ""f452895420bd4a9bdaa1bf2bf39ca41d3da3bbf383eb1a983a2ba58468894ace"", ""current_field_mapping"": ""I_module0_*_mA"", ""current_photo"": """", ""current_photo_sha256"": """", ""current_photo_original_reference"": """", ""I_min_source"": ""original_YAML"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-04"", ""temperature_source"": ""original_YAML_point_reading"", ""V_module_main_V"": ""3.235"", ""V_module_min_V"": ""3.235"", ""V_module_max_V"": ""3.235"", ""voltage_source_run_id"": ""PS01_N1_F200_ZERO_M0_USB_RX_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml"", ""voltage_source_sha256"": ""f452895420bd4a9bdaa1bf2bf39ca41d3da3bbf383eb1a983a2ba58468894ace"", ""voltage_source_fields"": ""V_module0_avg_V;V_module0_min_V;V_module0_max_V"", ""voltage_photo_paths"": """", ""voltage_photo_original_references"": """", ""voltage_photo_sha256"": """", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.280"", ""source_to_module_drop_mV"": ""45.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": """", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M0,1,M0,MAX,19.689,19.52,19.69,3.231,3.231,3.232,19.689,26.3,3.281,50.000,2026-09-04,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/PS01_N1_F200_MAX_M0_USB_RX_R1.yaml"", ""source_record_sha256"": ""1faa6b068ba1e6bea5afbe4fb32bffff334dfe9de9d9743937256b5410e72584"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/IMG_20260904_183630.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/IMG_20260904_183832.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/IMG_20260904_184017.jpg""], ""configuration_photo_sha256"": [""80bb9f217a24fc05912474bf80e4d9867d158ed84ee0406ddb60f833bcf0961f"", ""2dd949a9988dd487dbada178fb23b5a3f1e1417bb55300cf7e774fe84893bc46"", ""91eea73c2b13be1dd24784af4d579954b888109312bc7132c5a9309d15b7f75a""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes"", ""current_fields"": ""I_module0_*_mA"", ""voltage_fields"": ""V_module0_*_V""}"
M1,1,M1,ZERO,18.38,18.35,18.41,3.255,3.255,3.255,18.38,26.9,3.281,26.000,2026-09-04;2026-09-05,,1,,"{""combo"": ""M1"", ""module_count"": ""1"", ""module_id"": ""M1"", ""load"": ""ZERO"", ""I_main_mA"": ""18.38"", ""I_min_mA"": ""18.35"", ""I_max_mA"": ""18.41"", ""T_stm32_C"": ""26.9"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml"", ""current_source_sha256"": ""ff0fd645259d56a948ea6d2382f6c5b09d0dc4dacc90acec3778432c1cdb6e4b"", ""current_field_mapping"": ""I_module0_*_mA"", ""current_photo"": """", ""current_photo_sha256"": """", ""current_photo_original_reference"": """", ""I_min_source"": ""original_YAML"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-04;2026-09-05"", ""temperature_source"": ""original_YAML_point_reading"", ""V_module_main_V"": ""3.255"", ""V_module_min_V"": ""3.255"", ""V_module_max_V"": ""3.255"", ""voltage_source_run_id"": ""PS01_N1_F200_ZERO_M1_USB_RX_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml"", ""voltage_source_sha256"": ""ff0fd645259d56a948ea6d2382f6c5b09d0dc4dacc90acec3778432c1cdb6e4b"", ""voltage_source_fields"": ""V_module0_avg_V;V_module0_min_V;V_module0_max_V"", ""voltage_photo_paths"": """", ""voltage_photo_original_references"": """", ""voltage_photo_sha256"": """", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.281"", ""source_to_module_drop_mV"": ""26.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": """", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M1,1,M1,MAX,20.11,20.06,20.12,3.25,3.249,3.25,20.11,27.3,3.281,31.000,2026-09-04;2026-09-05,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml"", ""source_record_sha256"": ""158d10a7314e366231638b3ab4098c63333c2db55ae189456cb8ff930fd14b54"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/IMG_20260904_185144.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/IMG_20260905_110730.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/IMG_20260905_110800.jpg""], ""configuration_photo_sha256"": [""74f800c91975c73eba3db7fca756f31718096492e6d547b65cd27487544a6502"", ""bb2643d9d9191e55ebcfe94b0ad1cd005c84936f9b9b78d671d47d58c0c89f35"", ""72aa833eeea4606f46a429e4a7a8ec8a56d5fd8047d810ab49987523822fab80""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes"", ""current_fields"": ""I_module0_*_mA"", ""voltage_fields"": ""V_module0_*_V""}"
M2,1,M2,ZERO,18.36,18.34,18.38,3.249,3.249,3.249,18.36,26.9,3.281,32.000,2026-09-04;2026-09-05,,1,,"{""combo"": ""M2"", ""module_count"": ""1"", ""module_id"": ""M2"", ""load"": ""ZERO"", ""I_main_mA"": ""18.36"", ""I_min_mA"": ""18.34"", ""I_max_mA"": ""18.38"", ""T_stm32_C"": ""26.9"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml"", ""current_source_sha256"": ""65d749c9c43f6e31ff4737849c8511fa0994a9156b0359efb2a3bf102bae0713"", ""current_field_mapping"": ""I_module0_*_mA"", ""current_photo"": """", ""current_photo_sha256"": """", ""current_photo_original_reference"": """", ""I_min_source"": ""original_YAML"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-04;2026-09-05"", ""temperature_source"": ""original_YAML_point_reading"", ""V_module_main_V"": ""3.249"", ""V_module_min_V"": ""3.249"", ""V_module_max_V"": ""3.249"", ""voltage_source_run_id"": ""PS01_N1_F200_ZERO_M2_USB_RX_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml"", ""voltage_source_sha256"": ""65d749c9c43f6e31ff4737849c8511fa0994a9156b0359efb2a3bf102bae0713"", ""voltage_source_fields"": ""V_module0_avg_V;V_module0_min_V;V_module0_max_V"", ""voltage_photo_paths"": """", ""voltage_photo_original_references"": """", ""voltage_photo_sha256"": """", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.281"", ""source_to_module_drop_mV"": ""32.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": """", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M2,1,M2,MAX,19.897,19.86,19.93,3.247,3.247,3.25,19.897,27.1,3.281,34.000,2026-09-04;2026-09-05,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml"", ""source_record_sha256"": ""0e5661fb3f44c55ed5acd0b8eaf3f4f2d9262e9ebce7351a87bb39635f4a62a8"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/IMG_20260904_190031.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/IMG_20260905_111250.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/IMG_20260905_111323.jpg""], ""configuration_photo_sha256"": [""1ac0081f69cd1429167938e91b46207a74dcf40e229960991304a29d87572ef7"", ""47549bf988d03573aa551635e6b8a99cd638670b0674470cdb274e7222b8cf22"", ""e5a820b474557669e1da4637286ab1c7d0a9c16e244210225a741f481a615daf""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes"", ""current_fields"": ""I_module0_*_mA"", ""voltage_fields"": ""V_module0_*_V""}"
M3,1,M3,ZERO,18.4,18.36,18.44,3.251,3.250,3.251,18.4,26.9,3.280,29.000,2026-09-04,,1,,"{""combo"": ""M3"", ""module_count"": ""1"", ""module_id"": ""M3"", ""load"": ""ZERO"", ""I_main_mA"": ""18.4"", ""I_min_mA"": ""18.36"", ""I_max_mA"": ""18.44"", ""T_stm32_C"": ""26.9"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml"", ""current_source_sha256"": ""9707e77d13f820cfdae66fc04d5874a955ea55f0040f9d2f0576762f7ca7b638"", ""current_field_mapping"": ""I_module0_*_mA"", ""current_photo"": """", ""current_photo_sha256"": """", ""current_photo_original_reference"": """", ""I_min_source"": ""original_YAML"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-04"", ""temperature_source"": ""original_YAML_point_reading"", ""V_module_main_V"": ""3.251"", ""V_module_min_V"": ""3.250"", ""V_module_max_V"": ""3.251"", ""voltage_source_run_id"": ""PS01_N1_F200_ZERO_M3_USB_RX_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml"", ""voltage_source_sha256"": ""9707e77d13f820cfdae66fc04d5874a955ea55f0040f9d2f0576762f7ca7b638"", ""voltage_source_fields"": ""V_module0_avg_V;V_module0_min_V;V_module0_max_V"", ""voltage_photo_paths"": """", ""voltage_photo_original_references"": """", ""voltage_photo_sha256"": """", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.280"", ""source_to_module_drop_mV"": ""29.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": """", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M3,1,M3,MAX,20.34,20.3,20.39,3.248,3.248,3.248,20.34,27.1,3.28,32.000,2026-09-04,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml"", ""source_record_sha256"": ""3a67413791ed758694a803890a0320e1a2b61ab25f2bf781d762e251fb88ae64"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/IMG_20260904_190828.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/IMG_20260904_191915.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/IMG_20260904_191947.jpg""], ""configuration_photo_sha256"": [""44b6eb1c1eabf436cdd097be8e0e29e72b57570575340f2926d08ba7d7478427"", ""1c63784d79a0366c0a60649bec3d0ec90075e182d5991c5f2bbcb4bd10feedeb"", ""c06b695d604792bf77f55d668c501bc2089b23e39b112ce23f564ddd7a531473""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes"", ""current_fields"": ""I_module0_*_mA"", ""voltage_fields"": ""V_module0_*_V""}"
M0-M1,2,M0,ZERO,17.961,17.93,17.97,3.234,3.234,3.234,17.961,27.1,3.281,47.000,2026-09-05,,1,,"{""combo"": ""M0-M1"", ""module_count"": ""2"", ""module_id"": ""M0"", ""load"": ""ZERO"", ""I_main_mA"": ""17.961"", ""I_min_mA"": ""17.93"", ""I_max_mA"": ""17.97"", ""T_stm32_C"": ""27.1"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml"", ""current_source_sha256"": ""293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb"", ""current_field_mapping"": ""I_module0_*_mA"", ""current_photo"": """", ""current_photo_sha256"": """", ""current_photo_original_reference"": """", ""I_min_source"": ""original_YAML"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-05"", ""temperature_source"": ""original_YAML_point_reading"", ""V_module_main_V"": ""3.234"", ""V_module_min_V"": ""3.234"", ""V_module_max_V"": ""3.234"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M0-M1_USB_RX_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml"", ""voltage_source_sha256"": ""293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb"", ""voltage_source_fields"": ""V_module0_avg_V;V_module0_min_V;V_module0_max_V"", ""voltage_photo_paths"": """", ""voltage_photo_original_references"": """", ""voltage_photo_sha256"": """", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.281"", ""source_to_module_drop_mV"": ""47.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": """", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M0-M1,2,M1,ZERO,18.055,18.06,18.31,3.252,3.252,3.252,18.055,26.5,3.281,29.000,2026-09-05,MAIN_OUTSIDE_DISPLAY_MIN_MAX,1,,"{""combo"": ""M0-M1"", ""module_count"": ""2"", ""module_id"": ""M1"", ""load"": ""ZERO"", ""I_main_mA"": ""18.055"", ""I_min_mA"": ""18.06"", ""I_max_mA"": ""18.31"", ""T_stm32_C"": ""26.5"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml"", ""current_source_sha256"": ""293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb"", ""current_field_mapping"": ""I_module1_*_mA"", ""current_photo"": """", ""current_photo_sha256"": """", ""current_photo_original_reference"": """", ""I_min_source"": ""original_YAML"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-05"", ""temperature_source"": ""original_YAML_point_reading"", ""V_module_main_V"": ""3.252"", ""V_module_min_V"": ""3.252"", ""V_module_max_V"": ""3.252"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M0-M1_USB_RX_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml"", ""voltage_source_sha256"": ""293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb"", ""voltage_source_fields"": ""V_module1_avg_V;V_module1_min_V;V_module1_max_V"", ""voltage_photo_paths"": """", ""voltage_photo_original_references"": """", ""voltage_photo_sha256"": """", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.281"", ""source_to_module_drop_mV"": ""29.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": """", ""quality_note"": ""MAIN_OUTSIDE_DISPLAY_MIN_MAX"", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
