combo,module_count,I_ZERO_sum_mA,I_MAX_sum_mA,MAX_minus_ZERO_mA,MAX_minus_ZERO_percent_of_ZERO,P_ZERO_estimate_mW,P_MAX_estimate_mW,MAX_minus_ZERO_power_estimate_mW,ZERO_photo_filename_date_batch,MAX_photo_filename_date_batch,MAX_load_mass_g_recorded,n_ZERO_records,n_MAX_records,within_condition_repeat_SD_available,comparison_basis,T_M0_MAX_minus_ZERO_C,T_M1_MAX_minus_ZERO_C,T_M2_MAX_minus_ZERO_C,T_M3_MAX_minus_ZERO_C,T_teensy_MAX_minus_ZERO_C,T_regulator_MAX_minus_ZERO_C
M0,1,18.16,19.689,1.529,8.419603524229074889867841410,59.56480,64.599609,5.034809,2026-09-04,2026-09-04,2000,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,-1.4,,,,-0.1,0.0
M1,1,18.38,20.11,1.73,9.412404787812840043525571273,60.30478,65.98091,5.67613,2026-09-04;2026-09-05,2026-09-04;2026-09-05,2000,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,,0.4,,,-0.1,0.3
M2,1,18.36,19.897,1.537,8.371459694989106753812636166,60.23916,65.282057,5.042897,2026-09-04;2026-09-05,2026-09-04;2026-09-05,2000,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,,,0.2,,0.1,0.0
M3,1,18.4,20.34,1.94,10.54347826086956521739130435,60.3520,66.7152,6.3632,2026-09-04,2026-09-04,2000,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,,,,0.2,0.1,0.0
M0-M1,2,36.016,39.968,3.952,10.97290093291870279875610840,118.168496,131.015104,12.846608,2026-09-05,2026-09-05,2000,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,0.2,0.3,,,-0.2,0.6
M0-M2,2,36.301,39.357,3.056,8.418500867744690228919313518,119.030979,129.012246,9.981267,2026-09-07,2026-09-07,,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,-0.1,,0.3,,0.2,-0.1
M0-M3,2,35.907,39.335,3.428,9.546885008494165483053443618,117.739053,128.940130,11.201077,2026-09-07,2026-09-07,,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,0.0,,,0.5,0.0,-0.3
M1-M2,2,36.261,39.719,3.458,9.536416535671934033810429939,118.863558,130.159163,11.295605,2026-09-07,2026-09-07,,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,,0.4,0.4,,0.3,0.1
M1-M3,2,36.561,40.016,3.455,9.449960340253275348048466946,119.846958,131.132432,11.285474,2026-09-07,2026-09-07,,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,,0.5,,0.1,0.2,0.4
M2-M3,2,36.534,39.379,2.845,7.787266655717961351070235945,119.794986,129.084362,9.289376,2026-09-05,2026-09-05,2000,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,,,0.1,-0.2,0.2,0.2
M0-M1-M2,3,54.564,59.328,4.764,8.731031449307235539916428414,178.751664,194.358528,15.606864,2026-09-05,2026-09-05,2000,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,0.0,0.0,0.0,,0.0,0.0
M0-M1-M3,3,54.159,58.631,4.472,8.257168706955446001587917059,177.479043,192.016525,14.537482,2026-09-07,2026-09-07,,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,0.0,0.6,,0.0,-0.1,0.4
M0-M2-M3,3,54.130,58.279,4.149,7.664880842416404951043783484,177.329880,190.863725,13.533845,2026-09-07,2026-09-07,,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,-0.2,,0.2,0.0,0.0,0.4
M1-M2-M3,3,54.851,59.159,4.308,7.854004484877212812893110426,179.691876,193.804884,14.113008,2026-09-05,2026-09-05,2000,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,,0.1,0.2,0.2,-0.4,-0.2
M0-M1-M2-M3,4,72.513,78.720,6.207,8.559844441686318315336560341,237.407562,257.650560,20.242998,2026-09-05,2026-09-05,2000,1,1,False,compiled points; partial retests at two N3 entries; not repeated paired trials,-0.1,-0.2,0.4,0.3,0.3,0.2
