load,module_count,photo_filename_date_batch,metric,n_configurations,mean,sample_SD_across_configurations,minimum,maximum,SD_meaning,batch_meaning
ZERO,1,ALL,I_sum_mA,4,18.325,0.1112055154507485148712833307,18.16,18.4,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,ALL,P_source_output_estimate_mW,4,60.115185,0.3698292656077936728865776093,59.56480,60.3520,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,ALL,V_source_main_V,4,3.2805,0.0005773502691896257645091487805,3.280,3.281,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,ALL,T_teensy_C,4,42.225,0.9178779875342909649245859759,41.7,43.6,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,ALL,T_regulator_C,4,28.925,0.15,28.7,29.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,2026-09-04,I_sum_mA,2,18.28,0.1697056274847714058562026469,18.16,18.4,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,2026-09-04,P_source_output_estimate_mW,2,59.9584,0.5566344581500502112083446818,59.56480,60.3520,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,2026-09-04,V_source_main_V,2,3.28,0.0,3.280,3.280,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,2026-09-04,T_teensy_C,2,42.7,1.272792206135785543921519852,41.8,43.6,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,2026-09-04,T_regulator_C,2,29,0.0,29.0,29.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,2026-09-04;2026-09-05,I_sum_mA,2,18.37,0.01414213562373095048801688724,18.36,18.38,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,2026-09-04;2026-09-05,P_source_output_estimate_mW,2,60.27197,0.04640034698146124855118340704,60.23916,60.30478,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,2026-09-04;2026-09-05,V_source_main_V,2,3.281,0.0,3.281,3.281,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,2026-09-04;2026-09-05,T_teensy_C,2,41.75,0.07071067811865475244008443621,41.7,41.8,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,1,2026-09-04;2026-09-05,T_regulator_C,2,28.85,0.2121320343559642573202533086,28.7,29.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,ALL,I_sum_mA,6,36.26333333333333333333333333,0.2651178354367481378156202331,35.907,36.561,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,ALL,P_source_output_estimate_mW,6,118.9073383333333333333333333,0.8483850356734651096321562372,117.739053,119.846958,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,ALL,V_source_main_V,6,3.279,0.001095445115010332226913939566,3.278,3.281,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
