combo,module_id,load,I_main_mA,I_min_mA,I_max_mA,I_main_display_text_mA,V_module_main_V,V_module_min_V,V_module_max_V,V_source_main_V,source_minus_module_main_mV,T_stm32_C,current_photo,current_photo_sha256,module_voltage_photo,module_voltage_photo_sha256,source_voltage_photo,source_voltage_photo_sha256,configuration_photo_paths,configuration_photo_sha256,source_record,source_record_sha256,individual_photo_mapping,temperature_source,photo_filename_date_batch,load_mass_g,quality_note,n_records_per_condition,within_condition_repeat_SD_mA
M0-M1,M0,MAX,19.708,19.67,19.73,19.708,3.241,3.241,3.242,3.278,37.000,27.3,,,,,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_113832.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114202.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114322.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114418.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114442.jpg,305618853eeba6a44f8bec8c47134b34d6828e17209421ca807868c624c986fb;b2a49394e97275f29c737fc0fe47dc29f6cec44025cb225c5fed2c6d24e81ea8;5cb4fadf06c48c31417ffb9505eac825b80ca4817d50f1df8acb1e358df4296c;380552237968b1ff68a3173d1d0f01464513f9399319641019e79b0fef547517;c707e90d7552a4167cf28172f7272b77f5a890bb254bc0dd9d6efad2621a7ff4,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13,not_reassigned_original_YAML_plus_group_photos,original_YAML,2026-09-05,2000,,1,
M0-M1,M1,MAX,20.26,20.17,20.3,20.26,3.248,3.248,3.248,3.278,30.000,26.8,,,,,,,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_113832.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114202.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114322.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114418.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114442.jpg,305618853eeba6a44f8bec8c47134b34d6828e17209421ca807868c624c986fb;b2a49394e97275f29c737fc0fe47dc29f6cec44025cb225c5fed2c6d24e81ea8;5cb4fadf06c48c31417ffb9505eac825b80ca4817d50f1df8acb1e358df4296c;380552237968b1ff68a3173d1d0f01464513f9399319641019e79b0fef547517;c707e90d7552a4167cf28172f7272b77f5a890bb254bc0dd9d6efad2621a7ff4,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13,not_reassigned_original_YAML_plus_group_photos,original_YAML,2026-09-05,2000,,1,
M0-M2,M0,MAX,19.588,19.56,19.60,19.588,3.240,3.240,3.241,3.278,38.000,27.2,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025357.jpg,9a25df23cee13fc0d95fb4063759646e32f3b51bb03f05e6b3f162fe35d70a89,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030134.jpg,205d2b7c44111ef33540e4db16b003cb5e9c4ae085c4410e900d6328bfc9588a,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg,8c4477947d7b963b331182c4e6db4fb2ffbf292a2b06cc879e22eb050e8a0a64,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025357.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025650.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030134.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030206.jpg,9a25df23cee13fc0d95fb4063759646e32f3b51bb03f05e6b3f162fe35d70a89;89715493389937ffb8b98b0d11fbb76f123dd4bd73a5182481b5b4526da1881d;8c4477947d7b963b331182c4e6db4fb2ffbf292a2b06cc879e22eb050e8a0a64;205d2b7c44111ef33540e4db16b003cb5e9c4ae085c4410e900d6328bfc9588a;a474b1732bc313ba766fdebf628a2ee286d98b97a9fc976f9ad4fbdcb3d151cc,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv,a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee,supplement_visual_transcription,user_message_via_metadata,2026-09-07,,,1,
M0-M2,M2,MAX,19.769,19.68,19.78,19.769,3.241,3.241,3.242,3.278,37.000,27.1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025650.jpg,89715493389937ffb8b98b0d11fbb76f123dd4bd73a5182481b5b4526da1881d,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030206.jpg,a474b1732bc313ba766fdebf628a2ee286d98b97a9fc976f9ad4fbdcb3d151cc,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg,8c4477947d7b963b331182c4e6db4fb2ffbf292a2b06cc879e22eb050e8a0a64,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025357.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025650.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030134.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030206.jpg,9a25df23cee13fc0d95fb4063759646e32f3b51bb03f05e6b3f162fe35d70a89;89715493389937ffb8b98b0d11fbb76f123dd4bd73a5182481b5b4526da1881d;8c4477947d7b963b331182c4e6db4fb2ffbf292a2b06cc879e22eb050e8a0a64;205d2b7c44111ef33540e4db16b003cb5e9c4ae085c4410e900d6328bfc9588a;a474b1732bc313ba766fdebf628a2ee286d98b97a9fc976f9ad4fbdcb3d151cc,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv,a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee,supplement_visual_transcription,user_message_via_metadata,2026-09-07,,,1,
M0-M3,M0,MAX,19.664,19.60,19.68,19.664,3.241,3.241,3.241,3.278,37.000,27.3,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031106.jpg,156b877dbe27a60258ee063bdf43cd80f0782caf8d26edc8e047c877a5b53983,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030754.jpg,4fe1d2be5f0d02aaecb4419601972186b4d557920e4bcb1ba773a15f50073858,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg,0e6854eebf4595e5c3443f0d46e8a6b183361570a06b7f9aea601b17c2a392c6,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030754.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030911.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031106.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031302.jpg,0e6854eebf4595e5c3443f0d46e8a6b183361570a06b7f9aea601b17c2a392c6;4fe1d2be5f0d02aaecb4419601972186b4d557920e4bcb1ba773a15f50073858;db51320498aa2f62822fbf3331057c831f6def2ec17ef014294695ba4afd4383;156b877dbe27a60258ee063bdf43cd80f0782caf8d26edc8e047c877a5b53983;812f52a6bfe98e93754525c290186abc513592272c68f42f775631494f39400d,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv,a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee,supplement_visual_transcription,user_message_via_metadata,2026-09-07,,,1,
M0-M3,M3,MAX,19.671,19.66,19.83,19.671,3.244,3.244,3.244,3.278,34.000,26.9,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031302.jpg,812f52a6bfe98e93754525c290186abc513592272c68f42f775631494f39400d,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030911.jpg,db51320498aa2f62822fbf3331057c831f6def2ec17ef014294695ba4afd4383,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg,0e6854eebf4595e5c3443f0d46e8a6b183361570a06b7f9aea601b17c2a392c6,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030754.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030911.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031106.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031302.jpg,0e6854eebf4595e5c3443f0d46e8a6b183361570a06b7f9aea601b17c2a392c6;4fe1d2be5f0d02aaecb4419601972186b4d557920e4bcb1ba773a15f50073858;db51320498aa2f62822fbf3331057c831f6def2ec17ef014294695ba4afd4383;156b877dbe27a60258ee063bdf43cd80f0782caf8d26edc8e047c877a5b53983;812f52a6bfe98e93754525c290186abc513592272c68f42f775631494f39400d,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv,a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee,supplement_visual_transcription,user_message_via_metadata,2026-09-07,,,1,
M1-M2,M1,MAX,19.99,19.98,20.08,19.99,3.251,3.251,3.251,3.277,26.000,26.9,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_031825.jpg,62a94cbbe5fd2b78f71163a17ae7d2d29121c38e91d689634a13dc2d89a8aeca,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032207.jpg,be8d002483e0a3d69131e0f4a970720bfdd790f71d8db378834a8d6627c03420,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg,9078837ac6f32fac442cb7caf5190889d8abf879cb8234afb8e621e44f9d9959,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_031825.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032016.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032207.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032232.jpg,62a94cbbe5fd2b78f71163a17ae7d2d29121c38e91d689634a13dc2d89a8aeca;b7ff30018bf4bcc9cdbf582a7af3160e073559f7af613e3aa563c841b0792076;9078837ac6f32fac442cb7caf5190889d8abf879cb8234afb8e621e44f9d9959;be8d002483e0a3d69131e0f4a970720bfdd790f71d8db378834a8d6627c03420;5bc6d401c8ff8d26d50a3e6a647dde001aefa429d609b0b72583b4b3ca2c0b5c,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv,a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee,supplement_visual_transcription,user_message_via_metadata,2026-09-07,,,1,
M1-M2,M2,MAX,19.729,19.67,19.74,19.729,3.244,3.244,3.244,3.277,33.000,26.7,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032016.jpg,b7ff30018bf4bcc9cdbf582a7af3160e073559f7af613e3aa563c841b0792076,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032232.jpg,5bc6d401c8ff8d26d50a3e6a647dde001aefa429d609b0b72583b4b3ca2c0b5c,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg,9078837ac6f32fac442cb7caf5190889d8abf879cb8234afb8e621e44f9d9959,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_031825.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032016.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032207.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032232.jpg,62a94cbbe5fd2b78f71163a17ae7d2d29121c38e91d689634a13dc2d89a8aeca;b7ff30018bf4bcc9cdbf582a7af3160e073559f7af613e3aa563c841b0792076;9078837ac6f32fac442cb7caf5190889d8abf879cb8234afb8e621e44f9d9959;be8d002483e0a3d69131e0f4a970720bfdd790f71d8db378834a8d6627c03420;5bc6d401c8ff8d26d50a3e6a647dde001aefa429d609b0b72583b4b3ca2c0b5c,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv,a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee,supplement_visual_transcription,user_message_via_metadata,2026-09-07,,,1,
M1-M3,M1,MAX,20.32,20.28,20.32,20.32,3.250,3.249,3.250,3.277,27.000,27.2,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032928.jpg,a3523e3c06f6eea89debb852a19d2d6e39a7b508752c509bae633f9ee7ba0b90,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032730.jpg,bc0e879bf9e8b426673a80abfed7a82b719ad12ac02fba85914c75374e0cdbb1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032708.jpg,b9cf989e8867fa8771f9045fcfd474cac9fb860ffb4f7fa420ddecd097e704db,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032708.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032730.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032751.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032928.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_033036.jpg,b9cf989e8867fa8771f9045fcfd474cac9fb860ffb4f7fa420ddecd097e704db;bc0e879bf9e8b426673a80abfed7a82b719ad12ac02fba85914c75374e0cdbb1;979ac982dea17b33d628c4da9e6247e3595b777e81c12df0445911cc80f990bd;a3523e3c06f6eea89debb852a19d2d6e39a7b508752c509bae633f9ee7ba0b90;c01b1f9a9cd644b176d68653704cd774be313c49fd458240f56098a6cdfbed13,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv,a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee,supplement_visual_transcription,user_message_via_metadata,2026-09-07,,,1,
M1-M3,M3,MAX,19.696,19.66,19.70,19.696,3.246,3.246,3.246,3.277,31.000,26.6,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_033036.jpg,c01b1f9a9cd644b176d68653704cd774be313c49fd458240f56098a6cdfbed13,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032751.jpg,979ac982dea17b33d628c4da9e6247e3595b777e81c12df0445911cc80f990bd,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032708.jpg,b9cf989e8867fa8771f9045fcfd474cac9fb860ffb4f7fa420ddecd097e704db,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032708.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032730.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032751.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032928.jpg;DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_033036.jpg,b9cf989e8867fa8771f9045fcfd474cac9fb860ffb4f7fa420ddecd097e704db;bc0e879bf9e8b426673a80abfed7a82b719ad12ac02fba85914c75374e0cdbb1;979ac982dea17b33d628c4da9e6247e3595b777e81c12df0445911cc80f990bd;a3523e3c06f6eea89debb852a19d2d6e39a7b508752c509bae633f9ee7ba0b90;c01b1f9a9cd644b176d68653704cd774be313c49fd458240f56098a6cdfbed13,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv,a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee,supplement_visual_transcription,user_message_via_metadata,2026-09-07,,,1,
