combo,module_count,module_id,load,I_main_mA,I_min_mA,I_max_mA,T_stm32_C,current_source_path,current_source_sha256,current_field_mapping,current_photo,current_photo_sha256,current_photo_original_reference,I_min_source,I_min_note,current_filename_date_batch,temperature_source,V_module_main_V,V_module_min_V,V_module_max_V,voltage_source_run_id,voltage_source_path,voltage_source_sha256,voltage_source_fields,voltage_photo_paths,voltage_photo_original_references,voltage_photo_sha256,voltage_acceptance_basis,V_source_reference_V,source_to_module_drop_mV,drop_uses_same_record,drop_basis,voltage_quality_event_id,current_temperature_are_post_connector_repair_measurements,original_observation,quality_note,n_current_records_in_this_condition,within_condition_repeat_SD_mA
M0,1,M0,ZERO,18.16,18.13,18.2,27.7,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml,f452895420bd4a9bdaa1bf2bf39ca41d3da3bbf383eb1a983a2ba58468894ace,I_module0_*_mA,,,,original_YAML,,2026-09-04,original_YAML_point_reading,3.235,3.235,3.235,PS01_N1_F200_ZERO_M0_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/zero_load/PS01_N1_F200_ZERO_M0_USB_RX_R1.yaml,f452895420bd4a9bdaa1bf2bf39ca41d3da3bbf383eb1a983a2ba58468894ace,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,no_reported_supply_contact_fault,3.280,45.000,True,source_and_module_main_in_same_record,,,,,1,
M1,1,M1,ZERO,18.38,18.35,18.41,26.9,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml,ff0fd645259d56a948ea6d2382f6c5b09d0dc4dacc90acec3778432c1cdb6e4b,I_module0_*_mA,,,,original_YAML,,2026-09-04;2026-09-05,original_YAML_point_reading,3.255,3.255,3.255,PS01_N1_F200_ZERO_M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml,ff0fd645259d56a948ea6d2382f6c5b09d0dc4dacc90acec3778432c1cdb6e4b,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,no_reported_supply_contact_fault,3.281,26.000,True,source_and_module_main_in_same_record,,,,,1,
M2,1,M2,ZERO,18.36,18.34,18.38,26.9,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml,65d749c9c43f6e31ff4737849c8511fa0994a9156b0359efb2a3bf102bae0713,I_module0_*_mA,,,,original_YAML,,2026-09-04;2026-09-05,original_YAML_point_reading,3.249,3.249,3.249,PS01_N1_F200_ZERO_M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml,65d749c9c43f6e31ff4737849c8511fa0994a9156b0359efb2a3bf102bae0713,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,no_reported_supply_contact_fault,3.281,32.000,True,source_and_module_main_in_same_record,,,,,1,
M3,1,M3,ZERO,18.4,18.36,18.44,26.9,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,9707e77d13f820cfdae66fc04d5874a955ea55f0040f9d2f0576762f7ca7b638,I_module0_*_mA,,,,original_YAML,,2026-09-04,original_YAML_point_reading,3.251,3.250,3.251,PS01_N1_F200_ZERO_M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,9707e77d13f820cfdae66fc04d5874a955ea55f0040f9d2f0576762f7ca7b638,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,no_reported_supply_contact_fault,3.280,29.000,True,source_and_module_main_in_same_record,,,,,1,
M0-M1,2,M0,ZERO,17.961,17.93,17.97,27.1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb,I_module0_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.234,3.234,3.234,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,no_reported_supply_contact_fault,3.281,47.000,True,source_and_module_main_in_same_record,,,,,1,
M0-M1,2,M1,ZERO,18.055,18.06,18.31,26.5,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb,I_module1_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.252,3.252,3.252,PS01_N2_F200_ZERO_M0-M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/zero_load/PS01_N2_F200_ZERO_M0-M1_USB_RX_R1.yaml,293bb811d78b71c31571ffa0e5485ba41be5925ce97f475f8ed6699cc8d98dfb,V_module1_avg_V;V_module1_min_V;V_module1_max_V,,,,no_reported_supply_contact_fault,3.281,29.000,True,source_and_module_main_in_same_record,,,,MAIN_OUTSIDE_DISPLAY_MIN_MAX,1,
M0-M2,2,M0,ZERO,17.985,17.96,18.01,27.3,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260907_010853.jpg,c98f4598a83ec93e9f81fb8f85b1c3e174938c7ef0769f5b4e0f984f7bf76d67,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_010853.jpg,photo,,2026-09-07,user_message_via_supplement,3.235,3.235,3.235,PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml,61fb4eab2ee15e218706767d0d6c694b12c3d8018d2da9773245157496811fef,V_module0_avg_V;V_module0_min_V;V_module0_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260906_232003.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_232003.jpg,4cbe98a041c2005c1492d1bbaf146c4c26f95b88933fd023684fa926ddb4607a,no_reported_supply_contact_fault,3.279,44.000,True,source_and_module_main_in_same_record,,,"Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged.",,1,
M0-M2,2,M2,ZERO,18.316,18.28,18.36,26.8,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260907_011244.jpg,bee17ba712d8cabf798f77378a2f11e5de6df832f264888a8f0753ea0ac4557a,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_011244.jpg,photo,,2026-09-07,user_message_via_supplement,3.248,3.248,3.248,PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml,61fb4eab2ee15e218706767d0d6c694b12c3d8018d2da9773245157496811fef,V_module2_avg_V;V_module2_min_V;V_module2_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260906_232035.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_232035.jpg,48b6e05b0d699b921fbfb507bd2daf4299c4efd6f355344ebd46f1ac05fb552b,no_reported_supply_contact_fault,3.279,31.000,True,source_and_module_main_in_same_record,,,"Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged.",,1,
M0-M3,2,M0,ZERO,17.985,17.96,18.02,27.3,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260907_011436.jpg,8ca7e04a6bf45ff87b89a86743e1f19655796c27292e9d2862d97024a312c2dd,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_011436.jpg,photo,,2026-09-07,user_message_via_supplement,3.237,3.236,3.237,PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml,ea37816dd44a084a23490a531bc5eaa8634403acc6a4bbe63375234b9ae4de80,V_module0_avg_V;V_module0_min_V;V_module0_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260906_232921.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232921.jpg,e8b6bc22ac43d51c9c68db25871068f32bc17f79992c092c1fe54a584b021603,no_reported_supply_contact_fault,3.279,42.000,True,source_and_module_main_in_same_record,,,"Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged.",,1,
M0-M3,2,M3,ZERO,17.922,17.89,18.05,26.4,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260907_011700.jpg,2ece96481d2739c2199b609f79e55a35fb06ad621ae6fdf2935a1fb127a24279,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_011700.jpg,user_confirmation,MIN confirmed by user as 17.89 mA on 2026-09-07; photo obscured by glare,2026-09-07,user_message_via_supplement,3.241,3.241,3.242,PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml,ea37816dd44a084a23490a531bc5eaa8634403acc6a4bbe63375234b9ae4de80,V_module3_avg_V;V_module3_min_V;V_module3_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260906_232941.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232941.jpg,3ba97cde9eaa19aeafd5a7da28470f9949eee36ad8b9a963e3db8a3d891ef514,no_reported_supply_contact_fault,3.279,38.000,True,source_and_module_main_in_same_record,,,"Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged.",,1,
